OID,Cid,Comment,TabName
1,1,,매일 혜택
100001,100001,,오픈 기념
2,2,,14일간의 특별 선물
3,3,,봄맞이 출석
10,10,,스페셜 14 Days
11,11,,데일리 출석 보상
12,12,,빛나는 출석 보상
13,13,,여름 준비 7일 출석
14,14,,100일 기념 아스티의 특별 출석
100002,100002,,데일리 보석 패키지
100003,100003,,데일리 보석 패키지 II
100004,100004,,데일리 보석 패키지 III
100005,100005,,데일리 보석 패키지 IV
15,15,,100일 기념 스페셜 7 Days
16,16,,썸머 타임 14일
17,17,,HOT SUMMER 7일
18,18,,타오르는 14일 출석
19,19,,7일 스페셜 출석
20,20,,눈부신 출석 이벤트
21,21,,7일 출석 이벤트
22,22,,총사 출시 기념
23,23,,반짝이는 7일 출석
24,24,,천고마비 출석
25,25,,가을맞이 7일 출석
100006,100006,,데일리 보석 패키지 Ⅴ
26,26,,200일 기념 출석
100007,100007,,데일리 보석 패키지 Ⅵ
27,27,,7일 출석 이벤트
28,28,,행운 가득한 14일
29,29,,축복의 7 Days
30,30,,특별 출석 이벤트
31,31,,은행빛 가득 14일
32,32,,눈부신 7일 출석
33,33,,팔로스 14일 출석
34,34,,빛나는 7일 출석
35,35,,14일간의 선물
36,36,,Lucky 7 Days
37,37,,축복 가득 14일
100008,100008,,데일리 보석 패키지 Ⅶ
38,38,,새해맞이 7일
39,39,,설원의 14일
40,40,,7일 출석
41,41,,포근포근 14일
42,42,,반짝이는 7일
43,43,,14일간의 선물
44,44,,복 가득 출석
45,45,,사랑 가득 14일
46,46,,유물 담긴 7일
47,47,,봄맞이 출석
48,48,,7일 출석
100009,100009,,데일리 보석 패키지 Ⅷ
100010,100010,,데일리 소환 패키지
49,49,,달콤한 출석
50,50,,1주년 기념
51,51,,이프나의 출석
52,52,,봄바람 살랑 출석
53,53,,14일간의 선물
100011,100011,,데일리 소환 패키지 Ⅱ
54,54,,봄날의 깜짝 출석
