OID,Cid,Comment,Desc,ExpPenalty,GoldPenalty,ItemPenalty,DurabilityPenaltyPer
1,1,소모 없음,사망 하더라도 경험치와 골드 소모가 없습니다.,0,0,0,0
2,2,안전 지역 1단계,"사망 시, 장착한 장비의 내구도 10% 감소합니다.",0,0,0,100
3,3,안전 지역 2단계,"사망 시, 장착한 장비의 내구도 10% 감소합니다.",0,0,0,100
4,4,안전 지역 3단계,"사망 시, 장착한 장비의 내구도 10% 감소합니다.",0,0,0,100
5,5,위험 지역 1단계,"사망 시, 장착한 장비의 내구도 10% 감소합니다.",0,0,100,100
6,6,위험 지역 2단계,"사망 시, 장착한 장비의 내구도 10% 감소합니다.",0,0,500,100
7,7,위험 지역 3단계,"사망 시, 장착한 장비의 내구도 10% 감소합니다.",0,0,1000,100
8,8,혼돈 지역 1단계,"사망 시, 장착한 장비의 내구도 10% 감소합니다.",0,0,3000,100
9,9,혼돈 지역 2단계,"사망 시, 장착한 장비의 내구도 10% 감소합니다.",0,0,5000,100
10,10,혼돈 지역 3단계,"사망 시, 장착한 장비의 내구도 10% 감소합니다.",0,0,10000,100
11,11,내구도 감소,"사망 시, 장착한 장비의 내구도 10% 감소합니다.",0,0,10000,100
12,12,내구도 감소_던전,"사망 시, 장착한 장비의 내구도 10% 감소합니다.",0,0,10000,100
