OID,Cid,Comment,CameraPreset,LightPreset,DisplayType,SpeakerName,SpeakerTarget,SpeakerTargetCid,NpcPortraitAssetCid,AnimAssetCid,SpeakerLookAtTarget,SpeakerLookAtTargetCid,ListenerLookAt,AllowListenerPlayer,Bubble
0,0,0,,,Monologue,,None,,,,None,,FALSE,FALSE,
1000040,1000040,이니스 섬 도피 컷신,,,DialogueBox,,None,,,,None,,FALSE,FALSE,불길이 이제야 잡혔나 본데?
1000041,1000041,이니스 섬 도피 컷신,,,DialogueBox,,None,,,,None,,FALSE,FALSE,"한밤중 습격이라니, 대체 무슨 날벼락이래?"
1000042,1000042,이니스 섬 도피 컷신,,,DialogueBox,,None,,,,None,,FALSE,FALSE,페레단 왕이 죽었다는 소문은?
1000043,1000043,이니스 섬 도피 컷신,,,DialogueBox,,None,,,,None,,FALSE,FALSE,...사실이래. 성 안에 있던 사람이 비명소리를 들었대.
1000044,1000044,이니스 섬 도피 컷신,,,DialogueBox,,None,,,,None,,FALSE,FALSE,사라진 막내 공주님도 아직 못 찾았대.
1000045,1000045,이니스 섬 도피 컷신,,,DialogueBox,,None,,,,None,,FALSE,FALSE,"납치됐는지, 죽었는지..."
1000046,1000046,이니스 섬 도피 컷신,,,DialogueBox,,None,,,,None,,FALSE,FALSE,저기는 한동안 난리겠어. 그때 수도를 빠져나와 다행이지...
1000047,1000047,이니스 섬 도피 컷신,,,DialogueBox,,None,,,,None,,FALSE,FALSE,그래도 이니스 섬은 외진 곳이니 안전하겠지?
1000048,1000048,이니스 섬 도피 컷신,,,DialogueBox,,None,,,,None,,FALSE,FALSE,"저기 봐, 이니스 섬이네."
1000049,1000049,이니스 섬 도피 컷신,,,DialogueBox,,None,,,,None,,FALSE,FALSE,달그늘 쉼터에 가면 밥부터 먹자고.
1000050,1000050,이니스 섬 도피 컷신,,,DialogueBox,,None,,,,None,,FALSE,FALSE,거기 해산물 스튜는 갓 잡은 해산물로 끓인다는데?
1000051,1000051,이니스 섬 도피 컷신,,,DialogueBox,,None,,,,None,,FALSE,FALSE,벌써 군침이 도네. 빨리 가자.
1000052,1000052,불타는 달그늘 쉼터,,,DialogueBox,,None,,,,None,,FALSE,FALSE,"흐음, 네놈이로군. 그분이 말한 인간이..."
1000053,1000053,불타는 달그늘 쉼터,,,DialogueBox,,None,,,,None,,FALSE,FALSE,"이 힘으로 너를 쓰러트리고,"
1000054,1000054,불타는 달그늘 쉼터,,,DialogueBox,,None,,,,None,,FALSE,FALSE,피 묻은 손 전체에 영광을 바치리라!
1000055,1000055,불타는 달그늘 쉼터,,,DialogueBox,,None,,,,None,,FALSE,FALSE,피 묻은 손이다! 애들부터 지켜!
1000056,1000056,불타는 달그늘 쉼터,,,DialogueBox,,None,,,,None,,FALSE,FALSE,엄마 손 잡아! 저들에게 잡히면... 끝이야!
1000000,1000000,"100001,progress",,,QuestBubble,메다드,Npc,100001,,1100,Player,,FALSE,FALSE,"개척자, 오랜만이네. 이렇게 다시 만나는군!"
1000001,1000001,"100001,progress",,,QuestBubble,메다드,Npc,100001,,1002,Player,,FALSE,FALSE,그렇게 멀찍이 서서 뭐 하는 건가? 설마 나랑 얘기하기 싫은 건 아니지?
1000002,1000002,"100003,progress",,,QuestBubble,메다드,Npc,100001,,1001,Player,,FALSE,FALSE,해변에서 거북이 알을 채집해오게.
1000003,1000003,"100003,progress",,,QuestBubble,메다드,Npc,100001,,1003,Player,,FALSE,FALSE,저기 동그랗게 솟은 모래가 보이나? 저 아래 바다거북이의 알이 숨겨져 있다네.
1000004,1000004,"100004,progress",,,QuestBubble,메다드,Npc,100001,,1002,Player,,FALSE,FALSE,이번엔 바위 게의 집게를 모아오도록.
1000005,1000005,"100004,progress",,,QuestBubble,메다드,Npc,100001,,1001,Player,,FALSE,FALSE,바위 게 말인가? 해변에 널려 있지 않나!
1000006,1000006,"100005,progress",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,1102,Player,,FALSE,FALSE,"좋아, 재료는 충분해 보이네. 이제 <B>모닥불</>에 불을 붙여보게."
1000007,1000007,"100006,progress",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,1002,Player,,FALSE,FALSE,이제 여기 설치해 둔 요리 솥에서 직접 스튜를 끓여보게.
1000008,1000008,"100007,progress",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,1001,Player,,FALSE,FALSE,멍하니 서 있지 말고 남은 스튜도 챙기게. 기껏 만든 스튜가 다 식겠어.
1000009,1000009,"100008,progress",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,1102,Player,,FALSE,FALSE,"오, 요리 솜씨가 제법인데? <B>스튜</>가 식기 전에 어서 먹게."
1000010,1000010,"100008,progress",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,1103,Player,,FALSE,FALSE,이니스 섬 재료로 만든 음식은 효능도 좋아서 피로가 금세 풀릴 걸세.
1000011,1000011,"100001,sequence",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,,None,,FALSE,FALSE,<B>개척자</>가 왔군. 기다리고 있었어.
1000012,1000012,"100001,sequence",,,QuestBubbleToQuestBox,메다드,Npc,100001,1,,None,,FALSE,FALSE,안쪽으로 이동하며 얘기하도록 하지. 따라오게.
