OID,Cid,Comment,Tier,InitialPhase,PreviewPhase,DescName,Extension,ScriptName
100001,100001,광맥 1T,Tier1,10000101,10000101,구리 광맥,,Doodad_100001
100002,100002,광맥 2T,Tier2,10000201,10000201,주석 광맥,,Doodad_100002
100003,100003,광맥 3T,Tier3,10000301,10000301,자수정 광맥,,Doodad_100003
100004,100004,광맥 4T,Tier4,10000401,10000401,철 광맥,,Doodad_100004
100005,100005,광맥 5T,Tier5,10000501,10000501,청수정 광맥,,Doodad_100005
100006,100006,광맥 6T,Tier1,10000601,10000601,황수정 광맥,,Doodad_100006
101001,101001,섬유 1T,Tier1,10100101,10100101,목화,,Doodad_101001
101002,101002,섬유 2T,Tier2,10100201,10100201,아마꽃,,Doodad_101002
101003,101003,섬유 3T,Tier3,10100301,10100301,모시풀,,Doodad_101003
101004,101004,섬유 4T,Tier4,10100401,10100401,별빛초,,Doodad_101004
101005,101005,섬유 5T,Tier5,10100501,10100501,달빛초,,Doodad_101005
101006,101006,섬유 6T,Tier6,10100601,10100601,햇빛초,,Doodad_101006
102001,102001,목재 1T,Tier1,10200101,10200101,참나무,,Doodad_102001
102002,102002,목재 2T,Tier2,10200201,10200201,단풍나무,,Doodad_102002
102003,102003,목재 3T,Tier3,10200301,10200301,은행나무,,Doodad_102003
102004,102004,목재 4T,Tier4,10200401,10200401,자작나무,,Doodad_102004
102005,102005,목재 5T,Tier5,10200501,10200501,호두나무,,Doodad_102005
102006,102006,목재 6T,Tier6,10200601,10200601,흑단나무,,Doodad_102006
103001,103001,가죽 1T,Tier1,10300101,10300101,토끼,,Doodad_103001
103002,103002,가죽 2T,Tier2,10300201,10300201,사슴,,Doodad_103002
103003,103003,가죽 3T,Tier3,10300301,10300301,여우,,Doodad_103003
103004,103004,가죽 4T,Tier4,10300401,10300401,멧돼지,,Doodad_103004
103005,103005,가죽 5T,Tier5,10300501,10300501,늑대,,Doodad_103005
103006,103006,가죽 6T,Tier6,10300601,10300601,무스,,Doodad_103006
103007,103007,가죽 7T,Tier7,10300701,10300701,곰,,Doodad_103007
200001,200001,무기 제작대_회수 가능,TierNone,20000101,20000101,무기 제작대,200001,Doodad_CraftRecovery
200002,200002,무기 제작대_관리실(1T만),TierNone,20000201,20000201,무기 제작대,200001,Doodad_Craft
200003,200003,장검 제작대_레벨 배치용,TierNone,20000301,20000301,장검 제작대,200003,Doodad_Craft
200004,200004,양손검 제작대_레벨 배치용,TierNone,20000401,20000401,양손검 제작대,200004,Doodad_Craft
200005,200005,단검 제작대_레벨 배치용,TierNone,20000501,20000501,단검 제작대,200005,Doodad_Craft
200006,200006,활 제작대_레벨 배치용,TierNone,20000601,20000601,활 제작대,200006,Doodad_Craft
200007,200007,지팡이 제작대_레벨 배치용,TierNone,20000701,20000701,지팡이 제작대,200007,Doodad_Craft
200008,200008,무기 제작대_레벨 배치용,TierNone,20000201,20000201,무기 제작대,200008,Doodad_Craft
201001,201001,방어구 제작대_회수 가능,TierNone,20100101,20100101,방어구 제작대,201001,Doodad_CraftRecovery
201002,201002,방어구 제작대_관리실(1T만),TierNone,20100201,20100201,방어구 제작대,201001,Doodad_Craft
201003,201003,판금 방어구 제작대_레벨 배치용,TierNone,20100301,20100301,판금 방어구 제작대,201003,Doodad_Craft
201004,201004,가죽 방어구 제작대_레벨 배치용,TierNone,20100401,20100401,가죽 방어구 제작대,201004,Doodad_Craft
201005,201005,천 방어구 제작대_레벨 배치용,TierNone,20100501,20100501,천 방어구 제작대,201005,Doodad_Craft
201006,201006,방어구 제작대_레벨 배치용,TierNone,20100201,20100201,방어구 제작대,201006,Doodad_Craft
210001,210001,요리 제작대_회수 가능(비동기),TierNone,21000101,21000101,요리 제작대,210001,Doodad_CraftRecovery
210002,210002,요리 제작대_마을 배치용(동기),TierNone,21000201,21000201,요리 제작대,210002,Doodad_Craft
210003,210003,요리 제작대_필드 배치용(동기),TierNone,21000203,21000203,요리 제작대,210002,Doodad_Craft
211001,211001,연금술 제작대_회수 가능(비동기),TierNone,21100101,21100101,연금술 제작대,211001,Doodad_CraftRecovery
211002,211002,연금술 제작대_레벨 배치용(동기),TierNone,21100201,21100201,연금술 제작대,211002,Doodad_Craft
220001,220001,광석 가공대_회수 가능(비동기),TierNone,22000101,22000101,광석 가공대,220001,Doodad_CraftRecovery
221001,221001,섬유 가공대_회수 가능(비동기),TierNone,22100101,22100101,섬유 가공대,221001,Doodad_CraftRecovery
222001,222001,통나무 가공대_회수 가능(비동기),TierNone,22200101,22200101,통나무 가공대,222001,Doodad_CraftRecovery
223001,223001,통가죽 가공대_회수 가능(비동기),TierNone,22300101,22300101,통가죽 가공대,223001,Doodad_CraftRecovery
220002,220002,광석 제작대_동기식(동기),TierNone,22000201,22000201,간이 주괴 가공대,220002,Doodad_Craft
221002,221002,섬유 제작대_동기식(동기),TierNone,22100201,22100201,간이 천 가공대,221002,Doodad_Craft
222002,222002,통나무 제작대_동기식(동기),TierNone,22200201,22200201,간이 목재 가공대,222002,Doodad_Craft
223002,223002,통가죽 제작대_동기식(동기),TierNone,22300201,22300201,간이 피혁 가공대,223002,Doodad_Craft
224001,224001,간이 재료 가공대_동기식(동기),TierNone,22400101,22400101,간이 가공대,224001,Doodad_Craft
290001,290001,특산품 제작대_레벨 배치용,TierNone,29000101,29000101,[임시]특산품 제작대,290001,Doodad_Craft
290901,290901,솔즈리드 반도 무역품 제작대_레벨 배치용(동기),TierNone,29090101,29090101,[임시]솔즈리드 반도 무역품 제작대,290901,Doodad_Craft
290902,290902,릴리엇 구릉지 무역품 제작대_레벨 배치용(동기) ,TierNone,29090201,29090201,[임시]릴리엇 구릉지 무역품 제작대 ,290902,Doodad_Craft
290903,290903,가랑돌 평원 무역품 제작대_레벨 배치용(동기) ,TierNone,29090301,29090301,[임시]가랑돌 평원 무역품 제작대 ,290903,Doodad_Craft
290904,290904,하얀 숲 무역품 제작대_레벨 배치용(동기) ,TierNone,29090401,29090401,[임시]하얀 숲 무역품 제작대 ,290904,Doodad_Craft
290905,290905,마리아노플 무역품 제작대_레벨 배치용(동기),TierNone,29090501,29090501,[임시]마리아노플 무역품 제작대,290905,Doodad_Craft
310001,310001,TEST_판매 불가 등짐,Tier1,31000101,31000101,[임시]TEST_판매 불가 등짐,310001,Doodad_Cargo
310002,310002,TEST_골드 보상 등짐,Tier2,31000201,31000201,[임시]TEST_골드 보상 등짐,310002,Doodad_Cargo
310003,310003,TEST_아이템 보상 등짐,Tier3,31000301,31000301,[임시]TEST_아이템 보상 등짐,310003,Doodad_Cargo
310004,310004,우편 수행자의 등짐,Tier1,31000401,31000401,[임시]우편 수행자의 등짐,310004,Doodad_Cargo
310101,310101,1T 무기 보급품,Tier1,31010101,31010101,[임시]1T 무기 보급품,310101,Doodad_Cargo
310102,310102,1T 방어구 보급품,Tier1,31010201,31010201,[임시]1T 방어구 보급품,310102,Doodad_Cargo
310103,310103,1T 장신구 보급품,Tier1,31010301,31010301,[임시]1T 장신구 보급품,310103,Doodad_Cargo
310104,310104,1T 요리 보급품,Tier1,31010401,31010401,[임시]1T 요리 보급품,310104,Doodad_Cargo
310105,310105,1T 연금 보급품,Tier1,31010501,31010501,[임시]1T 연금 보급품,310105,Doodad_Cargo
310106,310106,1T 주괴 보급품,Tier1,31010601,31010601,[임시]1T 주괴 보급품,310106,Doodad_Cargo
310107,310107,1T 피혁 보급품,Tier1,31010701,31010701,[임시]1T 피혁 보급품,310107,Doodad_Cargo
310108,310108,1T 천 보급품,Tier1,31010801,31010801,[임시]1T 천 보급품,310108,Doodad_Cargo
310109,310109,1T 목재 보급품,Tier1,31010901,31010901,[임시]1T 목재 보급품,310109,Doodad_Cargo
310201,310201,2T 무기 보급품,Tier2,31020101,31020101,[임시]2T 무기 보급품,310201,Doodad_Cargo
310202,310202,2T 방어구 보급품,Tier2,31020201,31020201,[임시]2T 방어구 보급품,310202,Doodad_Cargo
310203,310203,2T 장신구 보급품,Tier2,31020301,31020301,[임시]2T 장신구 보급품,310203,Doodad_Cargo
310204,310204,2T 요리 보급품,Tier2,31020401,31020401,[임시]2T 요리 보급품,310204,Doodad_Cargo
310205,310205,2T 연금 보급품,Tier2,31020501,31020501,[임시]2T 연금 보급품,310205,Doodad_Cargo
310206,310206,2T 주괴 보급품,Tier2,31020601,31020601,[임시]2T 주괴 보급품,310206,Doodad_Cargo
310207,310207,2T 피혁 보급품,Tier2,31020701,31020701,[임시]2T 피혁 보급품,310207,Doodad_Cargo
310208,310208,2T 천 보급품,Tier2,31020801,31020801,[임시]2T 천 보급품,310208,Doodad_Cargo
310209,310209,2T 목재 보급품,Tier2,31020901,31020901,[임시]2T 목재 보급품,310209,Doodad_Cargo
310301,310301,3T 무기 보급품,Tier3,31030101,31030101,[임시]3T 무기 보급품,310301,Doodad_Cargo
310302,310302,3T 방어구 보급품,Tier3,31030201,31030201,[임시]3T 방어구 보급품,310302,Doodad_Cargo
310303,310303,3T 장신구 보급품,Tier3,31030301,31030301,[임시]3T 장신구 보급품,310303,Doodad_Cargo
310304,310304,3T 요리 보급품,Tier3,31030401,31030401,[임시]3T 요리 보급품,310304,Doodad_Cargo
310305,310305,3T 연금 보급품,Tier3,31030501,31030501,[임시]3T 연금 보급품,310305,Doodad_Cargo
310306,310306,3T 주괴 보급품,Tier3,31030601,31030601,[임시]3T 주괴 보급품,310306,Doodad_Cargo
310307,310307,3T 피혁 보급품,Tier3,31030701,31030701,[임시]3T 피혁 보급품,310307,Doodad_Cargo
310308,310308,3T 천 보급품,Tier3,31030801,31030801,[임시]3T 천 보급품,310308,Doodad_Cargo
310309,310309,3T 목재 보급품,Tier3,31030901,31030901,[임시]3T 목재 보급품,310309,Doodad_Cargo
310401,310401,4T 무기 보급품,Tier4,31040101,31040101,[임시]4T 무기 보급품,310401,Doodad_Cargo
310402,310402,4T 방어구 보급품,Tier4,31040201,31040201,[임시]4T 방어구 보급품,310402,Doodad_Cargo
310403,310403,4T 장신구 보급품,Tier4,31040301,31040301,[임시]4T 장신구 보급품,310403,Doodad_Cargo
310404,310404,4T 요리 보급품,Tier4,31040401,31040401,[임시]4T 요리 보급품,310404,Doodad_Cargo
310405,310405,4T 연금 보급품,Tier4,31040501,31040501,[임시]4T 연금 보급품,310405,Doodad_Cargo
310406,310406,4T 주괴 보급품,Tier4,31040601,31040601,[임시]4T 주괴 보급품,310406,Doodad_Cargo
310407,310407,4T 피혁 보급품,Tier4,31040701,31040701,[임시]4T 피혁 보급품,310407,Doodad_Cargo
310408,310408,4T 천 보급품,Tier4,31040801,31040801,[임시]4T 천 보급품,310408,Doodad_Cargo
310409,310409,4T 목재 보급품,Tier4,31040901,31040901,[임시]4T 목재 보급품,310409,Doodad_Cargo
320001,320001,TEST_델피나드의 별 보상 등짐,Tier4,32000101,32000101,[임시]TEST_델피나드의 별 보상 등짐,320001,Doodad_Cargo
320002,320002,이니스 섬 견습생의 무기 군수품,Tier2,32000201,32000201,[임시]이니스 섬 견습생의 무기 군수품,320002,Doodad_Cargo
320501,320501,5T 무기 교역품,Tier5,32050101,32050101,[임시]5T 무기 교역품,320501,Doodad_Cargo
320502,320502,5T 방어구 교역품,Tier5,32050201,32050201,[임시]5T 방어구 교역품,320502,Doodad_Cargo
320503,320503,5T 장신구 교역품,Tier5,32050301,32050301,[임시]5T 장신구 교역품,320503,Doodad_Cargo
320504,320504,5T 요리 교역품,Tier5,32050401,32050401,[임시]5T 요리 교역품,320504,Doodad_Cargo
320505,320505,5T 연금 교역품,Tier5,32050501,32050501,[임시]5T 연금 교역품,320505,Doodad_Cargo
320506,320506,5T 주괴 교역품,Tier5,32050601,32050601,[임시]5T 주괴 교역품,320506,Doodad_Cargo
320507,320507,5T 피혁 교역품,Tier5,32050701,32050701,[임시]5T 피혁 교역품,320507,Doodad_Cargo
320508,320508,5T 천 교역품,Tier5,32050801,32050801,[임시]5T 천 교역품,320508,Doodad_Cargo
320509,320509,5T 목재 교역품,Tier5,32050901,32050901,[임시]5T 목재 교역품,320509,Doodad_Cargo
320601,320601,6T 무기 교역품,Tier6,32060101,32060101,[임시]6T 무기 교역품,320601,Doodad_Cargo
320602,320602,6T 방어구 교역품,Tier6,32060201,32060201,[임시]6T 방어구 교역품,320602,Doodad_Cargo
320603,320603,6T 장신구 교역품,Tier6,32060301,32060301,[임시]6T 장신구 교역품,320603,Doodad_Cargo
320604,320604,6T 요리 교역품,Tier6,32060401,32060401,[임시]6T 요리 교역품,320604,Doodad_Cargo
320605,320605,6T 연금 교역품,Tier6,32060501,32060501,[임시]6T 연금 교역품,320605,Doodad_Cargo
320606,320606,6T 주괴 교역품,Tier6,32060601,32060601,[임시]6T 주괴 교역품,320606,Doodad_Cargo
320607,320607,6T 피혁 교역품,Tier6,32060701,32060701,[임시]6T 피혁 교역품,320607,Doodad_Cargo
320608,320608,6T 천 교역품,Tier6,32060801,32060801,[임시]6T 천 교역품,320608,Doodad_Cargo
320609,320609,6T 목재 교역품,Tier6,32060901,32060901,[임시]6T 목재 교역품,320609,Doodad_Cargo
320701,320701,7T 무기 교역품,Tier7,32070101,32070101,[임시]7T 무기 교역품,320701,Doodad_Cargo
320702,320702,7T 방어구 교역품,Tier7,32070201,32070201,[임시]7T 방어구 교역품,320702,Doodad_Cargo
320703,320703,7T 장신구 교역품,Tier7,32070301,32070301,[임시]7T 장신구 교역품,320703,Doodad_Cargo
320704,320704,7T 요리 교역품,Tier7,32070401,32070401,[임시]7T 요리 교역품,320704,Doodad_Cargo
320705,320705,7T 연금 교역품,Tier7,32070501,32070501,[임시]7T 연금 교역품,320705,Doodad_Cargo
320706,320706,7T 주괴 교역품,Tier7,32070601,32070601,[임시]7T 주괴 교역품,320706,Doodad_Cargo
320707,320707,7T 피혁 교역품,Tier7,32070701,32070701,[임시]7T 피혁 교역품,320707,Doodad_Cargo
320708,320708,7T 천 교역품,Tier7,32070801,32070801,[임시]7T 천 교역품,320708,Doodad_Cargo
320709,320709,7T 목재 교역품,Tier7,32070901,32070901,[임시]7T 목재 교역품,320709,Doodad_Cargo
330001,330001,TEST_에노아의 태양 보상 등짐,Tier5,33000101,33000101,[임시]TEST_에노아의 태양 보상 등짐,330001,Doodad_Cargo
401001,401001,솔로 던전 3티어_M11 스펙,TierNone,40100101,40100101,이즈나의 메아리,40100101,Doodad_DungeonPortal
401002,401002,솔로 던전 4티어_M11 스펙,TierNone,40100203,40100203,망자의 균열: 4단계,40100201,Doodad_DungeonPortal
401003,401003,솔로 던전 5티어_M11 스펙,TierNone,40100303,40100303,망자의 균열: 5단계,40100301,Doodad_DungeonPortal
401004,401004,파티 던전 6티어_M11 스펙,TierNone,40100401,40100401,되살아난 망령의 제단 (파티),40100401,Doodad_DungeonPortal
401005,401005,오픈 던전 6티어_M11 스펙,TierNone,40100501,40100501,뒤틀린 생명의 균열 (채집),40100501,Doodad_DungeonPortal
