OID,Cid,Comment,EnhanceStatGroup,EnhanceStep,StatModifiedCids,EnchantSlot
10100,10100,1티어 무기 0강,101,0,,
10101,10101,1티어 무기 1강,101,1,[10101],
10102,10102,1티어 무기 2강,101,2,[10102],
10103,10103,1티어 무기 3강,101,3,[10103],
10104,10104,1티어 무기 4강,101,4,[10104],
10105,10105,1티어 무기 5강,101,5,[10105],
10106,10106,1티어 무기 6강,101,6,[10106],
10107,10107,1티어 무기 7강,101,7,[10107],
10108,10108,1티어 무기 8강,101,8,[10108],
10109,10109,1티어 무기 9강,101,9,[10109],
10110,10110,1티어 무기 10강,101,10,[10110],
10200,10200,1티어 무기 0강,102,0,,
10201,10201,2티어 무기 1강,102,1,[10201],
10202,10202,2티어 무기 2강,102,2,[10202],
10203,10203,2티어 무기 3강,102,3,[10203],
10204,10204,2티어 무기 4강,102,4,[10204],
10205,10205,2티어 무기 5강,102,5,[10205],
10206,10206,2티어 무기 6강,102,6,[10206],
10207,10207,2티어 무기 7강,102,7,[10207],
10208,10208,2티어 무기 8강,102,8,[10208],
10209,10209,2티어 무기 9강,102,9,[10209],
10210,10210,2티어 무기 10강,102,10,[10210],
10299,10299,3티어 무기 1강,103,0,,
10300,10300,3티어 무기 1강,103,1,,
10301,10301,3티어 무기 1강,103,1,[10301],
10302,10302,3티어 무기 2강,103,2,[10302],
10303,10303,3티어 무기 3강,103,3,[10303],
10304,10304,3티어 무기 4강,103,4,[10304],
10305,10305,3티어 무기 5강,103,5,[10305],
10306,10306,3티어 무기 6강,103,6,[10306],
10307,10307,3티어 무기 7강,103,7,[10307],
10308,10308,3티어 무기 8강,103,8,[10308],
10309,10309,3티어 무기 9강,103,9,[10309],
10310,10310,3티어 무기 10강,103,10,[10310],
10400,10400,4티어 무기 1강,104,0,,
10401,10401,4티어 무기 1강,104,1,[10401],
10402,10402,4티어 무기 2강,104,2,[10402],
10403,10403,4티어 무기 3강,104,3,[10403],
10404,10404,4티어 무기 4강,104,4,[10404],
10405,10405,4티어 무기 5강,104,5,[10405],
10406,10406,4티어 무기 6강,104,6,[10406],
10407,10407,4티어 무기 7강,104,7,[10407],
10408,10408,4티어 무기 8강,104,8,[10408],
10409,10409,4티어 무기 9강,104,9,[10409],
10410,10410,4티어 무기 10강,104,10,[10410],
10500,10500,5티어 무기 1강,105,0,,
10501,10501,5티어 무기 1강,105,1,[10501],
10502,10502,5티어 무기 2강,105,2,[10502],
10503,10503,5티어 무기 3강,105,3,[10503],
10504,10504,5티어 무기 4강,105,4,[10504],
10505,10505,5티어 무기 5강,105,5,[10505],
10506,10506,5티어 무기 6강,105,6,[10506],
10507,10507,5티어 무기 7강,105,7,[10507],
10508,10508,5티어 무기 8강,105,8,[10508],
10509,10509,5티어 무기 9강,105,9,[10509],
10510,10510,5티어 무기 10강,105,10,[10510],
10600,10600,6티어 무기 1강,106,0,,
10601,10601,6티어 무기 1강,106,1,[10601],
10602,10602,6티어 무기 2강,106,2,[10602],
10603,10603,6티어 무기 3강,106,3,[10603],
10604,10604,6티어 무기 4강,106,4,[10604],
10605,10605,6티어 무기 5강,106,5,[10605],
10606,10606,6티어 무기 6강,106,6,[10606],
10607,10607,6티어 무기 7강,106,7,[10607],
10608,10608,6티어 무기 8강,106,8,[10608],
10609,10609,6티어 무기 9강,106,9,[10609],
10610,10610,6티어 무기 10강,106,10,[10610],
10700,10700,7티어 무기 1강,107,0,,
10701,10701,7티어 무기 1강,107,1,[10701],
10702,10702,7티어 무기 2강,107,2,[10702],
10703,10703,7티어 무기 3강,107,3,[10703],
10704,10704,7티어 무기 4강,107,4,[10704],
10705,10705,7티어 무기 5강,107,5,[10705],
10706,10706,7티어 무기 6강,107,6,[10706],
10707,10707,7티어 무기 7강,107,7,[10707],
10708,10708,7티어 무기 8강,107,8,[10708],
10709,10709,7티어 무기 9강,107,9,[10709],
10710,10710,7티어 무기 10강,107,10,[10710],
20100,20100,1티어 방어구 1강,201,0,,
20101,20101,1티어 방어구 1강,201,1,[20101],
20102,20102,1티어 방어구 2강,201,2,[20102],
20103,20103,1티어 방어구 3강,201,3,[20103],
20104,20104,1티어 방어구 4강,201,4,[20104],
20105,20105,1티어 방어구 5강,201,5,[20105],
20106,20106,1티어 방어구 6강,201,6,[20106],
20107,20107,1티어 방어구 7강,201,7,[20107],
20108,20108,1티어 방어구 8강,201,8,[20108],
20109,20109,1티어 방어구 9강,201,9,[20109],
20110,20110,1티어 방어구 10강,201,10,[20110],
20200,20200,2티어 방어구 1강,202,0,,
20201,20201,2티어 방어구 1강,202,1,[20201],
20202,20202,2티어 방어구 2강,202,2,[20202],
20203,20203,2티어 방어구 3강,202,3,[20203],
20204,20204,2티어 방어구 4강,202,4,[20204],
20205,20205,2티어 방어구 5강,202,5,[20205],
20206,20206,2티어 방어구 6강,202,6,[20206],
20207,20207,2티어 방어구 7강,202,7,[20207],
20208,20208,2티어 방어구 8강,202,8,[20208],
20209,20209,2티어 방어구 9강,202,9,[20209],
20210,20210,2티어 방어구 10강,202,10,[20210],
20300,20300,3티어 방어구 1강,203,0,,
20301,20301,3티어 방어구 1강,203,1,[20301],
20302,20302,3티어 방어구 2강,203,2,[20302],
20303,20303,3티어 방어구 3강,203,3,[20303],
20304,20304,3티어 방어구 4강,203,4,[20304],
20305,20305,3티어 방어구 5강,203,5,[20305],
20306,20306,3티어 방어구 6강,203,6,[20306],
20307,20307,3티어 방어구 7강,203,7,[20307],
20308,20308,3티어 방어구 8강,203,8,[20308],
20309,20309,3티어 방어구 9강,203,9,[20309],
