OID,Cid,Comment,DescName,SortOrder,EquipmentCategories,ShipEquipmentCategories,ConsumeKinds,EtcKinds,MonsterCardCategories
1,1,,장검,1,[OnehandSword],,,,
2,2,,양손검,2,[TwohandSword],,,,
3,3,,단검,3,[Dagger],,,,
4,4,,활,4,[Bow],,,,
5,5,,지팡이,5,[Staff],,,,
6,6,,판금 투구,7,[PlateHelm],,,,
7,7,,가죽 투구,8,[LeatherHelm],,,,
8,8,,천 투구,6,[ClothHelm],,,,
9,9,,판금 갑옷,10,[PlateArmor],,,,
10,10,,가죽 갑옷,11,[LeatherArmor],,,,
11,11,,천 갑옷,9,[ClothArmor],,,,
12,12,,판금 장갑,13,[PlateGloves],,,,
13,13,,가죽 장갑,14,[LeatherGloves],,,,
14,14,,천 장갑,12,[ClothGloves],,,,
15,15,,판금 신발,16,[PlateShoes],,,,
16,16,,가죽 신발,17,[LeatherShoes],,,,
17,17,,천 신발,15,[ClothShoes],,,,
18,18,,망토,18,[Cloak],,,,
19,19,,반지,19,[Ring],,,,
20,20,,목걸이,20,[Necklace],,,,
21,21,,귀걸이,21,[Earring],,,,
22,22,,물약,22,,,[Potion],,
23,23,,음식,23,,,[Food],,
24,24,,강화 주문서,24,,,"[EquipmentEnhance,SkillUpgrade]",,
25,25,,기타 소모품,25,,,"[Etc,Scroll,Teleport,MasteryExpBook]",,
26,26,,원재료,26,,,,"[RawMaterial,Ore,Fiber,Wood,Tanning,Hub,Fruit,Meat]",
27,27,,재료,27,,,,"[Material,Ingot,Fabric,Lumber,Leather]",
28,28,,특수재료,28,,,,"[SpecialMaterial,Core,Loot,Event,Quest]",
29,29,,범용 카드,29,,,,,[All]
30,30,,공격용 카드,30,,,,,[Attack]
31,31,,방어용 카드,31,,,,,[Defense]
32,32,,펫 등록,32,,,[PetEgg],,
33,33,,탈 것 등록,33,,,[Mount],,
34,34,,가구,34,,,[Furniture],,
35,35,,기타,35,,"[Cannon,Ram,Mast,Sail,Rudder,FigureHead,Cargo,LookOut,Lamp,Barrel,Flag]","[Doodad,Quest,Coupon]",,
