OID,Cid,Comment,SourceFactionId,TargetFactionId,Relation
1020001,1020001,누이아(PC)-몬스터,101,201,Hostile
1020002,1020002,누이아(PC)-전부 적대관계,101,202,Hostile
1020003,1020003,누이아(PC)-두들링,101,203,Hostile
1020004,1020004,"누이아(PC)-놀, 오크",101,204,Hostile
1020005,1020005,누이아(PC)-피 묻은 손,101,205,Hostile
1011001,1011001,누이아(PC)-경비병,101,111,Friendly
1011002,1011002,누이아(PC)-마리아노플 상인회,101,112,Neutral
1011003,1011003,누이아(PC)-연출용 중립 NPC,101,113,Neutral
1120001,1120001,경비병-몬스터,111,201,Hostile
1120002,1120002,경비병-전부 적대관계,111,202,Hostile
1120003,1120003,경비병-두들링,111,203,Hostile
1120004,1120004,"경비병-놀, 오크",111,204,Hostile
1120005,1120005,경비병-피 묻은 손,111,205,Hostile
1120006,1120006,마리아노플 상인회-몬스터,112,201,Hostile
1120007,1120007,마리아노플 상인회-전부 적대관계,112,202,Hostile
1120008,1120008,마리아노플 상인회-두들링,112,203,Hostile
1120009,1120009,"마리아노플 상인회-놀, 오크",112,204,Hostile
1120010,1120010,마리아노플 상인회-피 묻은 손,112,205,Hostile
1120011,1120011,연출용 중립 NPC-몬스터,113,201,Neutral
1120012,1120012,연출용 중립 NPC-전부 적대관계,113,202,Neutral
1120013,1120013,연출용 중립 NPC-두들링,113,203,Neutral
1120014,1120014,"연출용 중립 NPC-놀, 오크",113,204,Neutral
2020001,2020001,몬스터-전부 적대관계,201,202,Hostile
2020002,2020002,몬스터-두들링,201,203,Friendly
2020003,2020003,"몬스터-놀, 오크",201,204,Friendly
2020004,2020004,몬스터-피 묻은 손,201,205,Neutral
2020005,2020005,전부 적대관계-전부 적대관계,202,202,Hostile
2020006,2020006,전부 적대관계-두들링,202,203,Hostile
2020007,2020007,"전부 적대관계-놀, 오크",202,204,Hostile
2020008,2020008,전부 적대관계-피 묻은 손,202,205,Hostile
2020009,2020009,"두들링-놀, 오크",203,204,Friendly
