OID,Cid,Comment,Category,EquipmentCategory,ShipEquipmentCategory,ConsumeKind,EtcKind,MonsterCardCategory,SortOrder
1001,1001,양손검,Equipment,TwohandSword,None,Max,Max,Max,1001
1002,1002,한손검,Equipment,OnehandSword,None,Max,Max,Max,1002
1003,1003,단검,Equipment,Dagger,None,Max,Max,Max,1003
1004,1004,지팡이,Equipment,Staff,None,Max,Max,Max,1004
1005,1005,활,Equipment,Bow,None,Max,Max,Max,1005
1006,1006,판금 투구,Equipment,PlateHelm,None,Max,Max,Max,1006
1007,1007,가죽 투구,Equipment,LeatherHelm,None,Max,Max,Max,1007
1008,1008,천 투구,Equipment,ClothHelm,None,Max,Max,Max,1008
1009,1009,판금 갑옷,Equipment,PlateArmor,None,Max,Max,Max,1009
1010,1010,가죽 갑옷,Equipment,LeatherArmor,None,Max,Max,Max,1010
1011,1011,천 갑옷,Equipment,ClothArmor,None,Max,Max,Max,1011
1012,1012,판금 신발,Equipment,PlateShoes,None,Max,Max,Max,1012
1013,1013,가죽 신발,Equipment,LeatherShoes,None,Max,Max,Max,1013
1014,1014,천 신발,Equipment,ClothShoes,None,Max,Max,Max,1014
1015,1015,판금 장갑,Equipment,PlateGloves,None,Max,Max,Max,1015
1016,1016,가죽 장갑,Equipment,LeatherGloves,None,Max,Max,Max,1016
1017,1017,천 장갑,Equipment,ClothGloves,None,Max,Max,Max,1017
1018,1018,망토,Equipment,Cloak,None,Max,Max,Max,1018
1019,1019,반지,Equipment,Ring,None,Max,Max,Max,1019
1020,1020,목걸이,Equipment,Necklace,None,Max,Max,Max,1020
1021,1021,귀걸이,Equipment,Earring,None,Max,Max,Max,1021
2001,2001,대포,ShipEquipment,None,Cannon,Max,Max,Max,2001
2002,2002,충각,ShipEquipment,None,Ram,Max,Max,Max,2002
2003,2003,돛대,ShipEquipment,None,Mast,Max,Max,Max,2003
2004,2004,키,ShipEquipment,None,Rudder,Max,Max,Max,2004
2005,2005,선수상,ShipEquipment,None,FigureHead,Max,Max,Max,2005
2006,2006,보관함,ShipEquipment,None,Cargo,Max,Max,Max,2006
2007,2007,탐지,ShipEquipment,None,LookOut,Max,Max,Max,2007
2008,2008,등불,ShipEquipment,None,Lamp,Max,Max,Max,2008
2009,2009,통,ShipEquipment,None,Barrel,Max,Max,Max,2009
2010,2010,깃발,ShipEquipment,None,Flag,Max,Max,Max,2010
3001,3001,물약,Consume,None,None,Potion,Max,Max,3001
3002,3002,음식,Consume,None,None,Food,Max,Max,3002
3003,3003,장비 성장,Consume,None,None,EquipmentEnhance,Max,Max,3003
3004,3004,기술 성장,Consume,None,None,SkillUpgrade,Max,Max,3004
3005,3005,탈 것 등록,Consume,None,None,Mount,Max,Max,3005
3006,3006,펫 등록,Consume,None,None,PetEgg,Max,Max,3006
3007,3007,상자,Consume,None,None,LootBox,Max,Max,3007
3008,3008,주문서,Consume,None,None,Scroll,Max,Max,3008
3009,3009,순간이동 주문서,Consume,None,None,Teleport,Max,Max,3009
3010,3010,두다드,Consume,None,None,Doodad,Max,Max,3010
3011,3011,숙련도 책,Consume,None,None,MasteryExpBook,Max,Max,3011
3012,3012,쿠폰,Consume,None,None,Coupon,Max,Max,3012
3013,3013,퀘스트,Consume,None,None,Quest,Max,Max,3013
3014,3014,포탄,Consume,None,None,Cannonball,Max,Max,3014
3015,3015,가구,Consume,None,None,Furniture,Max,Max,3015
3016,3016,기타,Consume,None,None,Etc,Max,Max,3016
4001,4001,원재료,Etc,None,None,Max,RawMaterial,Max,4001
4002,4002,광석,Etc,None,None,Max,Ore,Max,4002
4003,4003,섬유,Etc,None,None,Max,Fiber,Max,4003
4004,4004,통나무,Etc,None,None,Max,Wood,Max,4004
4005,4005,통가죽,Etc,None,None,Max,Tanning,Max,4005
4006,4006,약초,Etc,None,None,Max,Hub,Max,4006
4007,4007,과일,Etc,None,None,Max,Fruit,Max,4007
4008,4008,고기,Etc,None,None,Max,Meat,Max,4008
4009,4009,재료,Etc,None,None,Max,Material,Max,4009
4010,4010,주조 (캐스팅),Etc,None,None,Max,Castings,Max,4010
4011,4011,주괴 (잉곳),Etc,None,None,Max,Ingot,Max,4011
4012,4012,피혁,Etc,None,None,Max,Leather,Max,4012
4013,4013,천,Etc,None,None,Max,Fabric,Max,4013
4014,4014,목재,Etc,None,None,Max,Lumber,Max,4014
4015,4015,핵심 재료,Etc,None,None,Max,Core,Max,4015
4016,4016,특수 재료,Etc,None,None,Max,SpecialMaterial,Max,4016
4017,4017,스포일,Etc,None,None,Max,Spoil,Max,4017
4018,4018,이벤트,Etc,None,None,Max,Event,Max,4018
4019,4019,퀘스트,Etc,None,None,Max,Quest,Max,4019
4020,4020,획득물 (루트),Etc,None,None,Max,Loot,Max,4020
5001,5001,범용,MonsterCard,None,None,Max,Max,All,1501
5002,5002,공격용,MonsterCard,None,None,Max,Max,Attack,1502
5003,5003,방어용,MonsterCard,None,None,Max,Max,Defense,1503
