OID,Cid,Comment,SystemStringKey
22,22,,ItemConsume22
27,27,,ItemConsume22
401,401,,ItemConsume401
402,402,,ItemConsume402
1089,1089,,ItemConsume1089
5004,5004,,ItemConsume5004
5034,5034,,ItemConsume5004
5005,5005,,ItemConsume5005
5035,5035,,ItemConsume5005
5008,5008,,ItemConsume5008
5036,5036,,ItemConsume5008
5012,5012,,ItemConsume5012
5013,5013,,ItemConsume5013
5014,5014,,ItemConsume5014
5021,5021,,ItemConsume5021
5100,5100,,ItemConsume5100
5110,5110,,ItemConsume5100
5101,5101,,ItemConsume5101
5111,5111,,ItemConsume5101
5102,5102,,ItemConsume5102
5112,5112,,ItemConsume5102
5103,5103,,ItemConsume5103
5113,5113,,ItemConsume5103
5200,5200,,ItemConsume5200
5250,5250,,ItemConsume5200
5201,5201,,ItemConsume5201
5251,5251,,ItemConsume5201
5202,5202,,ItemConsume5202
5252,5252,,ItemConsume5202
5203,5203,,ItemConsume5203
5253,5253,,ItemConsume5203
5204,5204,,ItemConsume5204
5254,5254,,ItemConsume5204
5205,5205,,ItemConsume5205
5255,5255,,ItemConsume5205
5206,5206,,ItemConsume5206
5256,5256,,ItemConsume5206
5207,5207,,ItemConsume5207
5257,5257,,ItemConsume5207
5208,5208,,ItemConsume5208
5258,5258,,ItemConsume5208
5209,5209,,ItemConsume5209
5259,5259,,ItemConsume5209
2122722,2122722,,ItemConsume22
