OID,Cid,Milestone,Comment,EtcCategory,EtcKind
50110001,50110001,Dev,하급 숫돌,RawMaterial,Material
50130001,50130001,Dev,중급 숫돌,RawMaterial,Material
50160001,50160001,Dev,상급 숫돌,RawMaterial,Material
51010001,51010001,Dev,1T 광석,RawMaterial,Ore
51010002,51010002,Dev,1T 섬유,RawMaterial,Fiber
51010003,51010003,Dev,1T 통나무,RawMaterial,Wood
51010004,51010004,Dev,1T 가죽,RawMaterial,Tanning
51010005,51010005,Dev,1T허브_섬유 부산물,RawMaterial,Hub
51010006,51010006,Dev,1T열매_나무 부산물,RawMaterial,Fruit
51010007,51010007,Dev,1T고기_무두질 부산물,RawMaterial,Meat
51020001,51020001,Dev,2T 광석,RawMaterial,Ore
51020002,51020002,Dev,2T 섬유,RawMaterial,Fiber
51020003,51020003,Dev,2T 통나무,RawMaterial,Wood
51020004,51020004,Dev,2T 가죽,RawMaterial,Tanning
51030001,51030001,Dev,3T 광석,RawMaterial,Ore
51030002,51030002,Dev,3T 섬유,RawMaterial,Fiber
51030003,51030003,Dev,3T 통나무,RawMaterial,Wood
51030004,51030004,Dev,3T 가죽,RawMaterial,Tanning
51030005,51030005,Dev,3T허브_섬유 부산물,RawMaterial,Hub
51030006,51030006,Dev,3T열매_나무 부산물,RawMaterial,Fruit
51030007,51030007,Dev,3T고기_무두질 부산물,RawMaterial,Meat
51040001,51040001,Dev,4T 광석,RawMaterial,Ore
51040002,51040002,Dev,4T 섬유,RawMaterial,Fiber
51040003,51040003,Dev,4T 통나무,RawMaterial,Wood
51040004,51040004,Dev,4T 가죽,RawMaterial,Tanning
51050001,51050001,Dev,5T 광석,RawMaterial,Ore
51050002,51050002,Dev,5T 섬유,RawMaterial,Fiber
51050003,51050003,Dev,5T 통나무,RawMaterial,Wood
51050004,51050004,Dev,5T 가죽,RawMaterial,Tanning
51050005,51050005,Dev,5T허브_섬유 부산물,RawMaterial,Hub
51050006,51050006,Dev,5T열매_나무 부산물,RawMaterial,Fruit
51050007,51050007,Dev,5T고기_무두질 부산물,RawMaterial,Meat
51060001,51060001,Dev,6T 광석,RawMaterial,Ore
51060002,51060002,Dev,6T 섬유,RawMaterial,Fiber
51060003,51060003,Dev,6T 통나무,RawMaterial,Wood
51060004,51060004,Dev,6T 가죽,RawMaterial,Tanning
51070001,51070001,Dev,7T 광석,RawMaterial,Ore
51070002,51070002,Dev,7T 섬유,RawMaterial,Fiber
51070003,51070003,Dev,7T 통나무,RawMaterial,Wood
51070004,51070004,Dev,7T 가죽,RawMaterial,Tanning
51070005,51070005,Dev,7T허브_섬유 부산물,RawMaterial,Hub
51070006,51070006,Dev,7T열매_나무 부산물,RawMaterial,Fruit
51070007,51070007,Dev,7T고기_무두질 부산물,RawMaterial,Meat
52010001,52010001,Dev,구리 주괴,Material,Ingot
52010002,52010002,Dev,목화 천,Material,Fabric
52010003,52010003,Dev,삼나무 목재,Material,Lumber
52010004,52010004,Dev,1T 피혁,Material,Leather
52020001,52020001,Dev,주석 주괴,Material,Ingot
52020002,52020002,Dev,아마꽃 천,Material,Fabric
52020003,52020003,Dev,단풍나무 목재,Material,Lumber
