OID,Cid,Milestone,Comment,ItemGrade,GroupId,NeedExp
101,101,Dev,일반,Common,100,1000
102,102,Dev,고급,Uncommon,100,
201,201,Dev,일반,Common,200,1000
202,202,Dev,고급,Uncommon,200,2000
203,203,Dev,희귀,Rare,200,
301,301,Dev,일반,Common,300,1000
302,302,Dev,고급,Uncommon,300,2000
303,303,Dev,희귀,Rare,300,4000
304,304,Dev,고대,Heroic,300,
401,401,Dev,일반,Common,400,1000
402,402,Dev,고급,Uncommon,400,2000
403,403,Dev,희귀,Rare,400,4000
404,404,Dev,고대,Ancient,400,10000
405,405,Dev,영웅,Heroic,400,
501,501,Dev,일반,Common,400,1000
502,502,Dev,고급,Uncommon,500,2000
503,503,Dev,희귀,Rare,500,4000
504,504,Dev,고대,Ancient,500,10000
505,505,Dev,영웅,Heroic,500,25000
506,506,Dev,유일,Unique,500,
601,601,Dev,일반,Common,400,1000
602,602,Dev,고급,Uncommon,400,2000
603,603,Dev,희귀,Rare,600,4000
604,604,Dev,고대,Ancient,600,10000
605,605,Dev,영웅,Heroic,600,25000
606,606,Dev,유일,Unique,600,75000
607,607,Dev,유물,Relic,600,
701,701,Dev,일반,Common,400,1000
702,702,Dev,고급,Uncommon,400,2000
703,703,Dev,희귀,Rare,600,4000
704,704,Dev,고대,Ancient,700,10000
705,705,Dev,영웅,Heroic,700,25000
706,706,Dev,유일,Unique,700,75000
707,707,Dev,유물,Relic,600,
