OID,Cid,Milestone,Comment,ItemGrade,GroupId,GetSkillPoint,StatModifiedCids
2101,2101,Dev,무기_일반 등급 능력치,Common,100,0,
2102,2102,Dev,무기_고급 등급 능력치,Uncommon,100,3,[2102]
2103,2103,Dev,무기_희귀 등급 능력치,Rare,100,3,[2103]
2104,2104,Dev,무기_영웅 등급 능력치,Ancient,100,3,[2104]
2105,2105,Dev,무기_고대 등급 능력치,Heroic,100,3,[2105]
2106,2106,Dev,무기_유일 등급 능력치,Unique,100,3,[2106]
2107,2107,Dev,무기_유물 등급 능력치,Relic,100,3,[2107]
2201,2201,Dev,방어구_일반 등급 능력치,Common,200,0,
2202,2202,Dev,방어구_고급 등급 능력치,Uncommon,200,3,[2202]
2203,2203,Dev,방어구_희귀 등급 능력치,Rare,200,3,[2203]
2204,2204,Dev,방어구_영웅 등급 능력치,Ancient,200,3,[2204]
2205,2205,Dev,방어구_고대 등급 능력치,Heroic,200,3,[2205]
2206,2206,Dev,방어구_유일 등급 능력치,Unique,200,3,[2206]
2207,2207,Dev,방어구_유물 등급 능력치,Relic,200,3,[2207]
2301,2301,Dev,장신구(공격력)_일반 등급 능력치,Common,300,0,
2302,2302,Dev,장신구(공격력)_고급 등급 능력치,Uncommon,300,3,[2302]
2303,2303,Dev,장신구(공격력)_희귀 등급 능력치,Rare,300,3,[2303]
2304,2304,Dev,장신구(공격력)_영웅 등급 능력치,Ancient,300,3,[2304]
2305,2305,Dev,장신구(공격력)_고대 등급 능력치,Heroic,300,3,[2305]
2306,2306,Dev,장신구(공격력)_유일 등급 능력치,Unique,300,3,[2306]
2307,2307,Dev,장신구(공격력)_유물 등급 능력치,Relic,300,3,[2307]
2401,2401,Dev,장신구(방어력)_일반 등급 능력치,Common,400,0,
2402,2402,Dev,장신구(방어력)_고급 등급 능력치,Uncommon,400,3,[2402]
2403,2403,Dev,장신구(방어력)_희귀 등급 능력치,Rare,400,3,[2403]
2404,2404,Dev,장신구(방어력)_영웅 등급 능력치,Ancient,400,3,[2404]
2405,2405,Dev,장신구(방어력)_고대 등급 능력치,Heroic,400,3,[2405]
2406,2406,Dev,장신구(방어력)_유일 등급 능력치,Unique,400,3,[2406]
2407,2407,Dev,장신구(방어력)_유물 등급 능력치,Relic,400,3,[2407]
