OID,Cid,Comment,Category,EnhanceGroup
17010001,17010001,누이안 카드,All,1
17010002,17010002,오크 카드,All,1
17010003,17010003,놀 카드,All,1
17010004,17010004,스켈레톤 카드,All,1
17010005,17010005,팬텀 카드,All,1
17010006,17010006,물 정령 카드,All,1
17010007,17010007,나무 정령 카드,All,1
17010008,17010008,바위 정령 카드,All,1
17010009,17010009,이끼 정령 카드,All,1
17020001,17020001,오크 족장 카드,All,1
17020002,17020002,놀 우두머리 카드,All,1
17030001,17030001,스칼니토스 카드,All,1
17030002,17030002,말카바돈 카드,All,1
17010010,17010010,거북 카드,All,1
17010011,17010011,게 카드,All,1
17020003,17020003,거미 카드,All,1
17020005,17020005,두들링 카드,All,1
17020006,17020006,멧돼지 카드,All,1
17020007,17020007,벌 카드,All,1
17020009,17020009,불곰 카드,All,1
17020011,17020011,오우거 카드,All,1
17020012,17020012,원혼 카드,All,1
17020014,17020014,흙정령 카드,All,1
17030004,17030004,모르가리스 카드,All,1
17030005,17030005,페르눈 카드,All,1
17030006,17030006,피묻은손 카드,All,1
