OID,Cid,Milestone,Comment,SetCid,TotalEnhance,StatusChangeId
100100,100100,Dev,스칼티노스와 오크,10010,0,10010
100103,100103,Dev,스칼티노스와 오크,10010,3,10013
100105,100105,Dev,스칼티노스와 오크,10010,5,10015
100200,100200,Dev,스칼티노스와 놀,10020,0,10020
100203,100203,Dev,스칼티노스와 놀,10020,3,10023
100205,100205,Dev,스칼티노스와 놀,10020,5,10025
100300,100300,Dev,누이안과 오크,10030,0,10030
100303,100303,Dev,누이안과 오크,10030,3,10033
100305,100305,Dev,누이안과 오크,10030,5,10035
100400,100400,Dev,누이안과 놀,10040,0,10040
100403,100403,Dev,누이안과 놀,10040,3,10043
100405,100405,Dev,누이안과 놀,10040,5,10045
100500,100500,Dev,숲속 친구들,10050,0,10050
100503,100503,Dev,숲속 친구들,10050,3,10053
100505,100505,Dev,숲속 친구들,10050,5,10055
100600,100600,Dev,어깨 동무,10060,0,10060
100603,100603,Dev,어깨 동무,10060,3,10063
100605,100605,Dev,어깨 동무,10060,5,10065
100700,100700,Dev,3대 500,10070,0,10070
100703,100703,Dev,3대 500,10070,3,10073
100705,100705,Dev,3대 500,10070,5,10075
100800,100800,Dev,이니스의 지배자,10080,0,10080
100803,100803,Dev,이니스의 지배자,10080,3,10083
100805,100805,Dev,이니스의 지배자,10080,5,10085
100900,100900,Dev,악의 무리,10090,0,10090
100903,100903,Dev,악의 무리,10090,3,10093
100905,100905,Dev,악의 무리,10090,5,10095
101000,101000,Dev,뼈다구와 멍멍이,10100,0,10100
101003,101003,Dev,뼈다구와 멍멍이,10100,3,10103
101005,101005,Dev,뼈다구와 멍멍이,10100,5,10105
101100,101100,Dev,덩치들,10110,0,10110
101103,101103,Dev,덩치들,10110,3,10113
101105,101105,Dev,덩치들,10110,5,10115
101200,101200,Dev,언데드 친구들,10120,0,10120
101203,101203,Dev,언데드 친구들,10120,3,10123
101205,101205,Dev,언데드 친구들,10120,5,10125
