OID,Cid,Milestone,Comment,ShipEquipmentCategory,Kind,IsDeathPenaltyLoss,ItemImbueId,BlessedItemImbueId,WearGroup
20000001,20000001,M15,,Ram,Weapon,TRUE,,,510101
20000002,20000002,M15,,Cannon,Weapon,TRUE,,,510201
20000003,20000003,M15,,Mast,Armor,TRUE,,,510301
20000004,20000004,M15,,Sail,Armor,TRUE,,,510401
20000005,20000005,M15,,Rudder,Armor,TRUE,,,510501
20000006,20000006,M15,,FigureHead,Armor,TRUE,,,510601
20000007,20000007,M15,,Cargo,Armor,TRUE,,,510701
20000008,20000008,M15,,LookOut,Accessory,TRUE,,,510801
20000009,20000009,M15,,Lamp,Accessory,TRUE,,,510901
20000010,20000010,M15,,Barrel,Accessory,TRUE,,,511001
20000011,20000011,M15,,Flag,Accessory,TRUE,,,511101
