OID,Cid,Milestone,Comment,SkillSlotType,SkillLevelGroupCid
1,1,Dev,,WeaponSkill1,22
2,2,Dev,,WeaponSkill2,26
3,3,Dev,,WeaponSkill3,27
4,4,Dev,,WeaponSkill1,28
5,5,Dev,,WeaponSkill2,29
6,6,Dev,,WeaponSkill3,30
7,7,Dev,,ItemSlot2,10
8,8,Dev,,WeaponSkill1,201
9,9,Dev,,WeaponSkill2,203
10,10,Dev,,WeaponSkill4,202
11,11,Dev,,WeaponSkill3,202
12,12,Dev,,WeaponSkill1,201
13,13,Dev,,WeaponSkill2,203
14,14,Dev,,WeaponSkill3,202
21,21,Dev,,WeaponSkill2,74
10001,10001,Dev,어둠의 일격 타겟팅_테스트 데이터,WeaponSkill1,10001
10002,10002,Dev,테스트 스킬 2,WeaponSkill2,10002
100001,100001,Dev,신비한 가시 나무 Lv.1,WeaponSkill1,100001
100051,100051,Dev,가시 나무 덩쿨 Lv.1,WeaponSkill2,100051
100101,100101,Dev,치유의 꽃잎 Lv.1,WeaponSkill3,100101
100150,100150,Dev,치유의 바람 Lv.1,WeaponSkill4,100150
100201,100201,Dev,휘두르기 Lv.1,WeaponSkill1,100201
100251,100251,Dev,방패 돌격 Lv.1,WeaponSkill2,100251
100301,100301,Dev,방패 투척 Lv.1,WeaponSkill3,100301
100351,100351,Dev,파멸의 징벌 Lv.1,WeaponSkill4,100351
100401,100401,Dev,제압 Lv.1,WeaponSkill1,100401
100451,100451,Dev,복수의 갑옷 Lv.1,WeaponSkill2,100451
100501,100501,Dev,모두 쉿 Lv.1,WeaponSkill3,100501
100551,100551,Dev,진공 폭발 Lv.1,WeaponSkill4,100551
100601,100601,Dev,성스러운 일격 Lv.1,WeaponSkill1,100601
100651,100651,Dev,가호의 빛 Lv.1,WeaponSkill2,100651
100701,100701,Dev,폭주하는 광휘 Lv.1,WeaponSkill3,100701
100751,100751,Dev,광휘의 심판 Lv.1,WeaponSkill4,100751
200000,200000,Dev,가벼운 손놀림,WeaponSkill1,200000
200051,200051,Dev,대지 가르기,WeaponSkill2,200051
200101,200101,Dev,회오리 베기,WeaponSkill3,200101
200151,200151,Dev,적진으로,WeaponSkill4,200151
200201,200201,Dev,미사용,WeaponSkill1,200201
200251,200251,Dev,미사용,WeaponSkill2,200251
200301,200301,Dev,미사용,WeaponSkill3,200301
200351,200351,Dev,미사용,WeaponSkill4,200351
200401,200401,Dev,폭주 Lv.1,WeaponSkill1,200401
200451,200451,Dev,분노의 일격 Lv.1,WeaponSkill2,200451
200501,200501,Dev,대지 분쇄 Lv.1,WeaponSkill3,200501
200551,200551,Dev,공간 가르기 Lv.1,WeaponSkill4,200551
200601,200601,Dev,몰아치기 Lv.1,WeaponSkill1,200601
200651,200651,Dev,찌르기 Lv.1,WeaponSkill2,200651
200701,200701,Dev,결투 돌입 Lv.1,WeaponSkill3,200701
200751,200751,Dev,섬광의 길 Lv.1,WeaponSkill4,200751
300001,300001,Dev,충격 사격,WeaponSkill1,300001
300051,300051,Dev,발묶음,WeaponSkill4,300051
300101,300101,Dev,미사용,WeaponSkill3,300101
300151,300151,Dev,급습,WeaponSkill3,300151
300201,300201,Dev,미사용,WeaponSkill1,300201
300251,300251,Dev,미사용,WeaponSkill2,300251
300301,300301,Dev,연속 쏘기,WeaponSkill2,300301
300351,300351,Dev,미사용,WeaponSkill4,300351
300401,300401,Dev,저격 Lv.1,WeaponSkill1,300401
300451,300451,Dev,부채 사격 Lv.1,WeaponSkill2,300451
300501,300501,Dev,불화살 소나기 Lv.1,WeaponSkill3,300501
300551,300551,Dev,폭탄 화살 Lv.1,WeaponSkill4,300551
300601,300601,Dev,섬광 화살 Lv.1,WeaponSkill1,300601
300651,300651,Dev,천상의 그물 Lv.1,WeaponSkill2,300651
300701,300701,Dev,재정비 도약 Lv.1,WeaponSkill3,300701
300751,300751,Dev,금빛 섬광 Lv.1,WeaponSkill4,300751
400001,400001,Dev,얼음 화살,WeaponSkill1,400001
400051,400051,Dev,다후타의 손짓,WeaponSkill2,400051
400101,400101,Dev,방울방울,WeaponSkill4,400101
400151,400151,Dev,심판의 낙뢰,WeaponSkill3,400151
400201,400201,Dev,화염 장막 Lv.1,WeaponSkill1,400201
400251,400251,Dev,불의 비 Lv.1,WeaponSkill2,400251
400301,400301,Dev,화염 폭발 Lv.1,WeaponSkill3,400301
400351,400351,Dev,별똥별 Lv.1,WeaponSkill4,400351
500201,500201,Dev,질풍 가르기 Lv.1,WeaponSkill1,500201
500251,500251,Dev,무기 연마 Lv.1,WeaponSkill2,500251
500301,500301,Dev,쌍수 달인 Lv.1,WeaponSkill3,500301
500351,500351,Dev,암살자의 분노 Lv1,WeaponSkill4,500351
500401,500401,Dev,내리꽂기 Lv.1,WeaponSkill1,500401
500451,500451,Dev,어둠의 일격 Lv.1,WeaponSkill2,500451
500501,500501,Dev,단검 투척 Lv.1,WeaponSkill3,500501
500551,500551,Dev,난무 Lv1,WeaponSkill4,500551
500601,500601,Dev,추격자의 발톱 Lv.1,WeaponSkill1,500601
500651,500651,Dev,침묵의 일격 Lv.1,WeaponSkill2,500651
500701,500701,Dev,사방의 비수 Lv.1,WeaponSkill3,500701
500751,500751,Dev,유혈의 장막 Lv1,WeaponSkill4,500751
700000,700000,Dev,충격파 Lv1,ArmorSkill3,700000
700001,700001,Dev,충격파 Lv2,ArmorSkill3,700000
700002,700002,Dev,충격파 Lv3,ArmorSkill3,700000
700003,700003,Dev,충격파 Lv4,ArmorSkill3,700000
700010,700010,Dev,얼음 갑옷 Lv.1,ArmorSkill2,700010
700030,700030,Dev,지면 강타 Lv.1,ArmorSkill1,700030
700050,700050,Dev,광전사의 폭주 Lv.1,ArmorSkill3,700050
700060,700060,Dev,돌진 Lv.1,ArmorSkill4,700060
700500,700500,Dev,반격 치유 Lv.1,ArmorPassiveSkill2,700500
700501,700501,Dev,반격 치유 Lv.1,ArmorPassiveSkill3,700500
700502,700502,Dev,반격 치유 Lv.1,ArmorPassiveSkill4,700500
710000,710000,Dev,모두 치유 Lv.1,ArmorSkill4,710000
710010,710010,Dev,선조의 지팡이 Lv.1 ,ArmorSkill2,710010
710020,710020,Dev,주문 가속 Lv.1,ArmorSkill3,710020
720000,720000,Dev,유연한 몸놀림 Lv.1,ArmorSkill2,720000
720010,720010,Dev,집중 Lv.1,WeaponSkill3,720010
720020,720020,Dev,침묵 Lv.1,ArmorSkill1,720020
750000,750000,Dev,생명력 Lv.1,ArmorPassiveSkill1,750000
750001,750001,Dev,생명력 Lv.2,ArmorPassiveSkill1,750000
750002,750002,Dev,강타 Lv.1,ArmorPassiveSkill1,750002
750003,750003,Dev,강타 Lv.2,ArmorPassiveSkill1,750002
750004,750004,Dev,광속 Lv.1,ArmorPassiveSkill1,750004
750005,750005,Dev,광속 Lv.2,ArmorPassiveSkill1,750004
750006,750006,Dev,정밀함 Lv.1,ArmorPassiveSkill1,750006
750007,750007,Dev,정밀함 Lv.2,ArmorPassiveSkill1,750006
750008,750008,Dev,마력 저장 Lv.1,ArmorPassiveSkill1,750008
750009,750009,Dev,마력 저장 Lv.2,ArmorPassiveSkill1,750008
750010,750010,Dev,마력 회복 Lv.1,ArmorPassiveSkill1,750010
750011,750011,Dev,마력 회복 Lv.2,ArmorPassiveSkill1,750010
750012,750012,Dev,강타 Lv.1,ArmorPassiveSkill1,750012
750013,750013,Dev,강타 Lv.2,ArmorPassiveSkill1,750012
750014,750014,Dev,마력 회복 Lv.1,ArmorPassiveSkill1,750014
750015,750015,Dev,마력 회복 Lv.2,ArmorPassiveSkill1,750014
750016,750016,Dev,강인함 Lv.1,ArmorPassiveSkill1,750016
750017,750017,Dev,강인함 Lv.2,ArmorPassiveSkill1,750016
750018,750018,Dev,수호 Lv.1,ArmorPassiveSkill1,750018
750019,750019,Dev,수호 Lv.2,ArmorPassiveSkill1,750018
750020,750020,Dev,생명력 Lv.1,ArmorPassiveSkill1,750020
750021,750021,Dev,생명력 Lv.2,ArmorPassiveSkill1,750020
750022,750022,Dev,재생력 Lv.1,ArmorPassiveSkill1,750022
750023,750023,Dev,재생력 Lv.2,ArmorPassiveSkill1,750022
750024,750024,Dev,전투 지속 Lv.1,ArmorPassiveSkill1,750024
750025,750025,Dev,전투 지속 Lv.2,ArmorPassiveSkill1,750024
750026,750026,Dev,전투 지속 Lv.3,ArmorPassiveSkill1,750024
750027,750027,Dev,광기의 심장 Lv.1,ArmorPassiveSkill1,750027
750028,750028,Dev,광기의 심장 Lv.2,ArmorPassiveSkill1,750027
750029,750029,Dev,광기의 심장 Lv.3,ArmorPassiveSkill1,750027
750030,750030,Dev,정밀 타격 Lv.1,ArmorPassiveSkill1,750030
750031,750031,Dev,정밀 타격 Lv.2,ArmorPassiveSkill1,750030
750032,750032,Dev,정밀 타격 Lv.3,ArmorPassiveSkill1,750030
750033,750033,Dev,투쟁 본능 Lv.1,ArmorPassiveSkill1,750033
750034,750034,Dev,투쟁 본능 Lv.2,ArmorPassiveSkill1,750033
750035,750035,Dev,투쟁 본능 Lv.3,ArmorPassiveSkill1,750033
750036,750036,Dev,잔혹한 연격 Lv.1,ArmorPassiveSkill1,750036
