OID,Cid,Comment,Action,ActionName,Label,LabelName,Category
1,1,,AccountLogin,로그인,account,계정,1
2,2,,AccountLogout,로그아웃,account,계정,1
3,3,,AccountDisconnect,종료,account,계정,1
4,4,,AccountDuplicate,중복,account,계정,1
5,5,,AccountDb,디비,account,계정,1
6,6,,AccountHandler,요청 처리,account,계정,1
7,7,,AccountSystem,시스템,account,계정,1
101,101,,CharacterCreate,생성,character,캐릭터,2
102,102,,CharacterDelete,삭제,character,캐릭터,2
103,103,,CharacterRestore,복구,character,캐릭터,2
104,104,,CharacterNameUpdate,이름 변경,character,캐릭터,2
111,111,,ItemAdd,증가,item,아이템,2
112,112,,ItemSub,감소,item,아이템,2
113,113,,ItemNa,변동없음,item,아이템,2
114,114,,ResourceAdd,증가,resource,재화,2
115,115,,ResourceSub,감소,resource,재화,2
116,116,,ResourceNa,변동없음,resource,재화,2
117,117,,BossParticipant,필드 보스,boss,보스전,2
118,118,,WorldBossParticipant,월드 보스,boss,보스전,2
119,119,,Backpack,등짐,gimmick,기믹,2
120,120,,Flag,깃발,gimmick,기믹,2
201,201,,GrowthIncreaseExp,경험치 획득,growth,성장,2
202,202,,GrowthDecreaseExp,경험치 손실,growth,성장,2
203,203,,GrowthDeath,죽음,growth,성장,2
204,204,,GrowthRevival,부활,growth,성장,2
205,205,,GrowthLevelUp,레벨 업,growth,성장,2
206,206,,GrowthLevelDown,레벨 다운,growth,성장,2
207,207,,GrowthLearnSkill,스킬 습득,growth,성장,2
208,208,,GrowthResetSkill,스킬 재설정,growth,성장,2
209,209,,GrowthLearnStatusChange,상태 변화 습득,growth,성장,2
210,210,,GrowthResetStatusChange,상태 변화 재설정,growth,성장,2
211,211,,GrowthMonsterKill,몬스터 사냥,growth,성장,2
220,220,,TutorialDone,수행,tutorial,튜토리얼,2
221,221,,TutorialUndone,수행 취소,tutorial,튜토리얼,2
222,222,,TutorialIntroUpdate,인트로,tutorial,튜토리얼,2
223,223,,TutorialForcedUpdate,강제,tutorial,튜토리얼,2
224,224,,RedDotCharCreate,캐릭터 생성,red_dot,빨콩,2
225,225,,RedDotCharRemove,캐릭터 제거,red_dot,빨콩,2
226,226,,RedDotAccCreate,계정 생성,red_dot,빨콩,2
227,227,,RedDotAccRemove,계정 제거,red_dot,빨콩,2
301,301,,ShipCreate,건조,ship,선박,2
302,302,,ShipRegist,등록,ship,선박,2
303,303,,ShipRemove,삭제,ship,선박,2
304,304,,ShipEquip,장착,ship,선박,2
305,305,,ShipUnequip,해제,ship,선박,2
306,306,,ShipReset,재설정,ship,선박,2
401,401,,CraftCreate,제작,craft,제작,2
402,402,,CraftAddCount,추가,craft,제작,2
403,403,,CraftReset,재설정,craft,제작,2
404,404,,CraftFinish,종료,craft,제작,2
405,405,,CraftCancel,취소,craft,제작,2
501,501,,MailWrite,작성,mail,우편,2
502,502,,MailCountCharacter,개인 개수,mail,우편,2
503,503,,MailCountGuild,길드 개수,mail,우편,2
504,504,,MailUpdate,수정,mail,우편,2
505,505,,MailRemove,삭제,mail,우편,2
604,604,,UserExpandBag,가방 확장,user_action,액션,2
607,607,,UserHonorScore,명예 점수,user_action,액션,2
701,701,,EnterZoneLogin,로그인,enter_zone,존 진입,2
702,702,,EnterZoneTeleport,텔레포트,enter_zone,존 진입,2
703,703,,EnterZoneCrossZone,횡단,enter_zone,존 진입,2
704,704,,EnterZoneReenterZone,재진입,enter_zone,존 진입,2
705,705,,PlayerLeft,나가기,leave_zone,존 이탈,2
901,901,,MountCreate,생성,mount,탈것,2
902,902,,MountRegist,등록,mount,탈것,2
903,903,,MountRemove,제거,mount,탈것,2
904,904,,MountUse,사용,mount,탈것,2
905,905,,MountReset,재설정,mount,탈것,2
