OID,Cid,Comment,PacketName,Name
1,1,,Unknown,설정되지 않음
2,2,,C2LLoginReq,계정 로그인
3,3,,S2WNetEvent,네트워크 단절
4,4,,W2SToClientDisconnectOrder,접속 종료 요청
5,5,,C2WLogin,로그인
6,6,,C2WLogout,로그아웃
7,7,,C2WCharCreate,캐릭터 생성
8,8,,C2WCharDelete,캐릭터 삭제
9,9,,C2WCharRestore,캐릭터 복구
10,10,,C2WStorageAutoStashSet,창고 자동 입고 설정
11,11,,C2WStorageAutoStashRemove,창고 자동 입고 설정 삭제
12,12,,C2WTutorialDone,길잡이 수행
13,13,,C2WRedDot,빨콩 설정
14,14,,C2WRedDotAccount,서버 빨콩 설정
15,15,,C2WIntroTutorial,도입 길잡이 수행
16,16,,C2WMailWrite,우편 작성
17,17,,C2WFriendReq,친구 요청
18,18,,C2WFriendReqCancel,친구 요청 취소
19,19,,C2WFriendReqRefuse,친구 요청 거절
20,20,,C2WFriendReqApprove,친구 요청 수락
21,21,,C2WFriendRemove,친구 삭제
22,22,,C2WBlockAdd,차단 추가
23,23,,C2WBlockRemove,차단 삭제
24,24,,C2WGuildDailyRank,길드 일일 랭크 정보 요청
25,25,,Z2WGuildMakeCost,길드 생성
26,26,,C2WGuildBreakup,길드 해체
27,27,,C2WGuildRecommend,길드 추천
28,28,,C2WGuildSearch,길드 검색
29,29,,C2WGuildJoin,길드 가입 요청
30,30,,C2WGuildApplyCancel,길드 가입 요청 취소
31,31,,C2WGuildJoinApprove,길드 가입 요청 수락
32,32,,C2WGuildJoinReject,길드 가입 요청 거절
33,33,,C2WGuildQuit,길드 탈퇴
34,34,,C2WGuildKick,길드 추방
35,35,,C2WGuildAppoint,길드 직책 설정
36,36,,C2WGuildConfig,길드 설정
37,37,,C2WGuildEnemyReg,적길드 등록
38,38,,C2WGuildEnemyUnreg,적길드 등록 해제
39,39,,C2WGuildAllianceReq,동맹 길드 요청
40,40,,C2WGuildAllianceApprove,동맹 요청 수락
41,41,,C2WGuildAllianceReqCancel,동맹 요청 취소
42,42,,C2WGuildAllianceReqReject,동맹 요청 거절
43,43,,C2WGuildAllianceBreakoff,동맹 파기
44,44,,C2WGuildAttend,길드 출석
45,45,,C2WGuildAttendReward,길드 출석 보상 수령
46,46,,C2WGuildIntro,길드 소개
47,47,,C2WGuildDonate,길드 기부
48,48,,C2WGuildHouseRentalExtend,길드 하우스 임대 연장
49,49,,C2WGuildBuyMaterial,길드 소환 재료 구매
50,50,,C2WGuildResetMaterial,길드 소환 재료 재설정
51,51,,C2WGuildSummon,길드 소환
52,52,,C2WTradeCancel,거래소 등록 취소
53,53,,C2WTradeBuy,거래소 구매
54,54,,C2WTradeClaim,거래소 결과물 수취
55,55,,C2WTradeSearch,거래소 검색
56,56,,C2WTradeSearchBoard,거래소 시세 검색
57,57,,C2WTradePoll,거래소 완료 건 조회
58,58,,C2WTradeBookmarkAdd,거래소 북마크 추가
59,59,,C2WTradeBookmarkRemove,거래소 북마크 제거
60,60,,C2WTradeKeywordAdd,거래소 키워드 추가
61,61,,C2WZoneLeave,존 퇴장
62,62,,C2WShopAutoSellUpdate,상점 자동 판매 갱신
63,63,,C2WShopAutoSellSet,상점 자동 판매 설정
64,64,,C2WShopAutoSellRemove,상점 자동 판매 제거
65,65,,C2WShopAutoBuySet,상점 자동 구매 설정
66,66,,C2WShopBuy,상점 구매
67,67,,C2WPartyCreate,파티 생성
68,68,,C2WPartyInvite,파티 초대
69,69,,C2WPartyCancelInviting,파티 초대 취소
70,70,,C2WPartyAccept,파티 수락
71,71,,C2WPartyLeave,파티 탈퇴
72,72,,C2WPartyOption,파티 설정
73,73,,C2WPartyChangeHost,파티장 변경
74,74,,C2WPartyKick,파티 추방
75,75,,C2WPartyShareTarget,파티 목표 공유
76,76,,C2WPartyShareScanList,파티 검색 목록 공유
77,77,,C2WPartyShareScanListCancel,파티 검색 목록 공유 취소
78,78,,C2WDungeonChargeTimeReload,던젼 충전 시간 새로고침
79,79,,C2WQuickSlotSet,큇슬롯 설정
80,80,,C2WAutoUseAdd,자동 사용 추가
81,81,,C2WAutoUseRemove,자동 사용 제거
82,82,,C2WSkillUseCycleTimeSet,스킬 사용 순환 시간 설정
83,83,,C2WSkillAutoUseCondSet,스킬 자동 사용 조건 설정
84,84,,C2WTeleportMemoryShare,순간이동 저장 공유
85,85,,C2WTeleportMemoryAccept,순간이동 저장 수락
86,86,,C2WFindUser,사용자 찾기
87,87,,C2WChatMessageAdd,채팅
88,88,,C2WEmoticonAdd,이모티콘 사용
89,89,,C2WRankLoadDaily,일일 랭킹 조회
90,90,,C2WRankLoadLive,라이브 랭킹 조회
91,91,,C2WPvpRankLoad,PVP 랭킹 조회
92,92,,C2WPveRankLoad,PVE 랭킹 조회
93,93,,C2WPVPMessageSet,PVP 메세지 설정
94,94,,C2WCharLoadAndEnterZone,존 조회 및 입장
95,95,,C2WWaitingLineCancelReq,대기열 취소
96,96,,C2WWaitingLineCountReq,대기열 수 조회
97,97,,C2WPVPRevenge,PVP 복수
98,98,,C2WSiegeProclaim,공성 선포
99,99,,C2WSiegeSetAlly,공성 동맹 설정
100,100,,C2WSiegeProclaimListReq,공성 선포 목록
101,101,,C2WSiegeAssemblePointPin,공성 집결지 설정
102,102,,C2WSiegeAssemblePointUnpin,공성 집결지 설정 해제
103,103,,C2WSystemMessage,시스템 메세지 전송
104,104,,C2WGuildRefreshInfo,길드 정보 갱신
105,105,,C2WCraftServerCountUpdate,제작 서버 개수 갱신
106,106,,C2WTaxChange,세금 변경
107,107,,C2WCharacterServerMoveState,서버 이전 상태
108,108,,C2WCharacterServerMoveServerList,서버 이전 목록
109,109,,C2WCharacterServerMoveServerSelect,서버 이전 선택
110,110,,C2WCharSlotExpand,캐릭터 슬롯 확장
111,111,,C2WCharacterServerMoveRequest,서버 이전 요청
112,112,,C2WCharNameUpdate,캐릭터 이름 변경
113,113,,C2WXigncodeValidation,Xigncode 인증
114,114,,C2WCashShopBuy,캐시 상점 구매
115,115,,C2WCheckConsumedReceipt,소모 제작법 확인
116,116,,C2WCashShopBuyForPc,PC 캐시 상점 구매
117,117,,C2WUnregister,등록 해제
118,118,,C2WCashShopRestore,캐시 상점 복구
119,119,,C2WCashShopBuyableForPc,PC 캐시 상점 구매 가능
120,120,,C2WCheckConsumedReceiptForPc,PC 소모 제작법 확인
121,121,,C2WRecoverCoupon,쿠폰 복원
122,122,,C2WRecomposeCoupon,쿠폰 재조합
123,123,,C2WRecoverItem,아이템 복구
124,124,,C2WRecoverCompose,조합 복구
125,125,,C2WUpdateGroupMail,그룹 우편 갱신
126,126,,C2WCashShopRefund,캐시 상점 환불
127,127,,C2WTradeItemInfosFind,거래소 아이템 정보 찾기
128,128,,C2WCheckUnregisterCondition,등록 해제 조건 확인
129,129,,C2ZUseSkill,스킬 사용
130,130,,C2ZUseMountSkill,탑승
131,131,,C2ZRequestRevival,부활 요청
132,132,,C2ZBreakItem,아이템 파괴
133,133,,C2ZTradeRegister,거래소 등록
134,134,,C2ZTradeRenewal,거래소 갱신
135,135,,C2ZEnterQuestArea,퀘스트 영역 진입
136,136,,C2ZDungeonEnter,던젼 진입
137,137,,C2ZDungeonLeave,던젼 퇴장
138,138,,C2ZGuildHouseEnter,길드 하우스 진입
139,139,,C2ZGuildHouseLeave,길드 하우스 퇴장
140,140,,C2ZItemImbue,마법 부여
141,141,,C2ZDeathPenaltyExpRecover,패널티 경험치 복구
142,142,,C2ZDeathPenaltyItemRecover,패널티 아이템 복구
143,143,,Z2CHonorRankUpdate,명예 랭크 갱신
144,144,,C2ZMountRegister,탈것 등록
145,145,,C2ZMountUse,탈것 사용
146,146,,C2ZMountDecisionWaitCheck,탈것 결정 확인
147,147,,C2ZMountDecisionWaitChange,탈것 결정 변경
148,148,,C2ZMountDecisionWaitConfirm,탈것 결정 확인
149,149,,C2ZMountCompose,탈것 조합
150,150,,C2ZMountTrain,탈것 훈련
151,151,,C2ZShipRegister,선박 등록
152,152,,Z2CItemBoxOpen,아이템 박스 개봉
153,153,,C2ZMerchantSlotOpen,무역 슬롯 개방
