OID,Cid,Comment,IsDuplicate,LootCount,LootDataSetCids,Proportions,DropProportion
1,1,논드랍,FALSE,0,,,10000000
2,2,돈1드랍,FALSE,1,[2],[100],10000000
19,19,등짐,FALSE,1,[23],[100],10000000
20,20,등짐테스트,FALSE,3,"[24,25,26]","[100,100,100]",10000000
23,23,개 두다드가 물고 오는 아이템들,FALSE,1,"[1500,40005,99923,99924,99925,99926,4051,4052]","[10,10,10,10,10,10,20,20]",10000000
31,31,캐릭터 생성 시 지급템 (양손검),FALSE,2,"[10,422]","[100,100]",10000000
32,32,캐릭터 생성 시 지급템 (활),FALSE,2,"[10,422]","[100,100]",10000000
33,33,캐릭터 생성 시 지급템 (지팡이),FALSE,2,"[10,422]","[100,100]",10000000
34,34,몬스터 카드 상자,FALSE,6,"[405000,405001,100000,415001,424000,424001]","[100,100,100,100,100,100]",10000000
40,40,클리오네,FALSE,1,[90],[100],10000000
41,41,페피,FALSE,1,[91],[100],10000000
42,42,파피리스,FALSE,1,[92],[100],10000000
43,43,붉은용,FALSE,1,[93],[100],10000000
44,44,빛의 사도 위니,FALSE,1,[94],[100],10000000
45,45,안탈론,FALSE,1,[95],[100],10000000
46,46,축복의 다그란,FALSE,1,[96],[100],10000000
47,47,마정령 엘룬드,FALSE,1,[97],[100],10000000
48,48,사도 아로마르,FALSE,1,[98],[100],10000000
49,49,검은 잔재 칼루안,FALSE,1,[99],[100],10000000
50,50,펫 상자,FALSE,1,"[90,91,92,93,94]","[20,20,20,20,20]",10000000
51,51,5티어 펫 상자,FALSE,5,"[95,96,97,98,99]","[100,100,100,100,100]",10000000
68,68,1티어 펫알,FALSE,1,[60],[100],10000000
100,100,[알] 클리오네,FALSE,1,[100],[100],10000000
101,101,[알] 페피,FALSE,1,[101],[100],10000000
102,102,[알] 파피리스,FALSE,1,[102],[100],10000000
103,103,[알] 붉은용,FALSE,1,[103],[100],10000000
104,104,[알] 빛의 사도 위니,FALSE,1,[104],[100],10000000
105,105,[알] 안탈론,FALSE,1,[105],[100],10000000
106,106,[알] 축복의 다그란,FALSE,1,[106],[100],10000000
107,107,[알] 마정령 엘룬드,FALSE,1,[107],[100],10000000
108,108,[알] 사도 아로마르,FALSE,1,[108],[100],10000000
109,109,[알] 검은 잔재 칼루안,FALSE,1,[109],[100],10000000
110,110,Tier1티어 합성_+0강 이상,FALSE,1,"[111,112]","[80,20]",10000000
113,113,Tier1티어 합성_+3강 이상,FALSE,1,"[111,112]","[70,30]",10000000
116,116,Tier1티어 합성_+6강 이상,FALSE,1,"[111,112]","[60,40]",10000000
120,120,Tier2티어 합성_+0강 이상,FALSE,1,"[112,113]","[90,10]",10000000
123,123,Tier2티어 합성_+3강 이상,FALSE,1,"[112,113]","[90,10]",10000000
126,126,Tier2티어 합성_+6강 이상,FALSE,1,"[112,113]","[90,10]",10000000
130,130,Tier3티어 합성_+0강 이상,FALSE,1,"[405000,415001]","[100,100]",10000000
140,140,Tier4티어 합성_+0강 이상,FALSE,1,"[114,115]","[90,10]",10000000
141,141,Tier4티어 합성_+0강 이상,FALSE,1,"[114,115]","[70,30]",10000000
150,150,Tier5티어 합성_+6강 이상,FALSE,1,"[115,116]","[90,10]",10000000
151,151,Tier5티어 합성_+6강 이상,FALSE,1,"[115,116]","[70,30]",10000000
160,160,Tier6티어 합성,FALSE,1,"[116,117]","[90,10]",10000000
170,170,Tier7티어 합성,FALSE,1,[117],[100],10000000
401,401,여명의 시작 무기 상자,FALSE,5,"[110401,110402,110403,110404,110405]","[100,100,100,100,100]",10000000
421,421,제작대 상자(구성품),FALSE,1,[421],[100],
531,531,초보자의 골드 가방,FALSE,1,[531],[100],
541,541,전문가의 골드 가방,FALSE,1,[541],[100],
551,551,대가의 골드 골드 가방,FALSE,1,[551],[100],
552,552,목재상자,FALSE,7,"[1002261,1002262,1002263,1002264,1002265,1002266,1002267]","[100,100,100,100,100,100,100]",
553,553,주괴상자,FALSE,7,"[1002241,1002242,1002243,1002244,1002245,1002246,1002247]","[100,100,100,100,100,100,100]",
554,554,천상자,FALSE,7,"[1002251,1002252,1002253,1002254,1002255,1002256,1002257]","[100,100,100,100,100,100,100]",
555,555,1티 원재료 상자,FALSE,3,"[1002211,1002221,1002231]","[100,100,100]",
556,556,2티 원재료 상자,FALSE,3,"[1002212,1002222,1002232]","[100,100,100]",
557,557,3티 원재료 상자,FALSE,3,"[1002213,1002223,1002233]","[100,100,100]",
558,558,4티 원재료 상자,FALSE,3,"[1002214,1002224,1002234]","[100,100,100]",
559,559,5티 원재료 상자,FALSE,3,"[1002215,1002225,1002235]","[100,100,100]",
560,560,6티 원재료 상자,FALSE,3,"[1002216,1002226,1002236]","[100,100,100]",
561,561,7티 원재료 상자,FALSE,3,"[1002217,1002227,1002237]","[100,100,100]",
611,611,1티 장비 상자,FALSE,4,"[611,612,613,614]","[100,100,100,100]",
621,621,2티 장비 상자,FALSE,4,"[621,622,623,624]","[100,100,100,100]",
631,631,3티 장비 상자,FALSE,5,"[631,632,633,634,635]","[100,100,100,100,100]",
641,641,4티 장비 상자,FALSE,5,"[641,642,643,644,645]","[100,100,100,100,100]",
