OID,Cid,Comment,TargetMasteryCids,ConditionCheck,Value
1001,1001,전투 숙련도 책(소),"[202,203,204,205,301,302,303]",1,1000
1002,1002,전투 숙련도 책(중),"[202,203,204,205,301,302,303]",1,10000
1003,1003,전투 숙련도 책(대),"[202,203,204,205,301,302,303]",1,100000
1004,1004,전투 숙련도 책 (특대),"[202,203,204,205,301,302,303]",1,1000000
1005,1005,전투 숙련도 책 (특특대),"[202,203,204,205,301,302,303]",1,10000000
2001,2001,채광 숙련도(소),[401],0,1000
2002,2002,채광 숙련도(중),[401],0,10000
2003,2003,채광 숙련도(대),[401],0,100000
2004,2004,채광 숙련도(특대),[401],0,1000000
2005,2005,채광 숙련도(특특대),[401],0,10000000
2101,2101,섬유 숙련도(소),[402],0,1000
2102,2102,섬유 숙련도(중),[402],0,10000
2103,2103,섬유 숙련도(대),[402],0,100000
2104,2104,섬유 숙련도(특대),[402],0,1000000
2105,2105,섬유 숙련도(특특대),[402],0,10000000
2201,2201,벌목 숙련도(소),[403],0,1000
2202,2202,벌목 숙련도(중),[403],0,10000
2203,2203,벌목 숙련도(대),[403],0,100000
2204,2204,벌목 숙련도(특대),[403],0,1000000
2205,2205,벌목 숙련도(특특대),[403],0,10000000
2301,2301,무두질(소),[404],0,1000
2302,2302,무두질(중),[404],0,10000
2303,2303,무두질(대),[404],0,100000
2304,2304,무두질(특대),[404],0,1000000
2305,2305,무두질(특특대),[404],0,10000000
3001,3001,판금 제작(소),[601],0,1000
3002,3002,판금 제작(중),[601],0,10000
3003,3003,판금 제작(대),[601],0,100000
3004,3004,판금 제작(특대),[601],0,1000000
3005,3005,판금 제작(특특대),[601],0,10000000
3101,3101,가죽 제작(소),[602],0,1000
3102,3102,가죽 제작(중),[602],0,10000
3103,3103,가죽 제작(대),[602],0,100000
3104,3104,가죽 제작(특대),[602],0,1000000
3105,3105,가죽 제작(특특대),[602],0,10000000
3201,3201,천 제작(소),[603],0,1000
3202,3202,천 제작(중),[603],0,10000
3203,3203,천 제작(대),[603],0,100000
3204,3204,천 제작(특대),[603],0,1000000
3205,3205,천 제작(특특대),[603],0,10000000
3301,3301,양손검 제작(소),[604],0,1000
3302,3302,양손검 제작(중),[604],0,10000
3303,3303,양손검 제작(대),[604],0,100000
3304,3304,양손검 제작(특대),[604],0,1000000
3305,3305,양손검 제작(특특대),[604],0,10000000
3401,3401,단도 제작(소),[605],0,1000
3402,3402,단도 제작(중),[605],0,10000
3403,3403,단도 제작(대),[605],0,100000
3404,3404,단도 제작(특대),[605],0,1000000
3405,3405,단도 제작(특특대),[605],0,10000000
3501,3501,활 제작(소),[606],0,1000
3502,3502,활 제작(중),[606],0,10000
3503,3503,활 제작(대),[606],0,100000
3504,3504,활 제작(특대),[606],0,1000000
3505,3505,활 제작(특특대),[606],0,10000000
3601,3601,지팡이 제작(소),[607],0,1000
3602,3602,지팡이 제작(중),[607],0,10000
3603,3603,지팡이 제작(대),[607],0,100000
3604,3604,지팡이 제작(특대),[607],0,1000000
3605,3605,지팡이 제작(특특대),[607],0,10000000
3701,3701,요리(소),[608],0,1000
3702,3702,요리(중),[608],0,10000
3703,3703,요리(대),[608],0,100000
3704,3704,요리(특대),[608],0,1000000
3705,3705,요리(특특대),[608],0,10000000
3801,3801,연금술(소),[609],0,1000
3802,3802,연금술(중),[609],0,10000
3803,3803,연금술(대),[609],0,100000
3804,3804,연금술(특대),[609],0,1000000
3805,3805,연금술(특특대),[609],0,10000000
4001,4001,광석 가공(소),[701],0,1000
4002,4002,광석 가공(중),[701],0,10000
4003,4003,광석 가공(대),[701],0,100000
4004,4004,광석 가공(특대),[701],0,1000000
4005,4005,광석 가공(특특대),[701],0,10000000
4101,4101,섬유 가공(소),[702],0,1000
4102,4102,섬유 가공(중),[702],0,10000
4103,4103,섬유 가공(대),[702],0,100000
4104,4104,섬유 가공(특대),[702],0,1000000
4105,4105,섬유 가공(특특대),[702],0,10000000
4201,4201,통나무 가공(소),[703],0,1000
4202,4202,통나무 가공(중),[703],0,10000
4203,4203,통나무 가공(대),[703],0,100000
4204,4204,통나무 가공(특대),[703],0,1000000
4205,4205,통나무 가공(특특대),[703],0,10000000
4301,4301,가죽 가공(소),[704],0,1000
4302,4302,가죽 가공(중),[704],0,10000
4303,4303,가죽 가공(대),[704],0,100000
4304,4304,가죽 가공(특대),[704],0,1000000
4305,4305,가죽 가공(특특대),[704],0,10000000
