OID,Cid,UserCondition,UserConditionValue,Trigger,TargetTier
10111,10111,None,None,Max,Tier1
10121,10121,None,None,Max,Tier1
10131,10131,None,None,Max,Tier1
10141,10141,None,None,Max,Tier1
10151,10151,None,None,Max,Tier1
10161,10161,None,None,Max,Tier1
10171,10171,None,None,Max,Tier1
20211,20211,Equipment,TwohandSword,KillMonster,Tier1
20221,20221,Equipment,TwohandSword,KillMonster,Tier2
20231,20231,Equipment,TwohandSword,KillMonster,Tier3
20232,20232,Equipment,TwohandSword,KillMonster,Tier3
20233,20233,Equipment,TwohandSword,KillMonster,Tier3
20241,20241,Equipment,TwohandSword,KillMonster,Tier4
20242,20242,Equipment,TwohandSword,KillMonster,Tier4
20243,20243,Equipment,TwohandSword,KillMonster,Tier4
20251,20251,Equipment,TwohandSword,KillMonster,Tier5
20252,20252,Equipment,TwohandSword,KillMonster,Tier5
20253,20253,Equipment,TwohandSword,KillMonster,Tier5
20254,20254,Equipment,TwohandSword,KillMonster,Tier5
20255,20255,Equipment,TwohandSword,KillMonster,Tier5
20261,20261,Equipment,TwohandSword,KillMonster,Tier6
20262,20262,Equipment,TwohandSword,KillMonster,Tier6
20263,20263,Equipment,TwohandSword,KillMonster,Tier6
20264,20264,Equipment,TwohandSword,KillMonster,Tier6
20265,20265,Equipment,TwohandSword,KillMonster,Tier6
20271,20271,Equipment,TwohandSword,KillMonster,Tier7
20272,20272,Equipment,TwohandSword,KillMonster,Tier7
20273,20273,Equipment,TwohandSword,KillMonster,Tier7
20274,20274,Equipment,TwohandSword,KillMonster,Tier7
20275,20275,Equipment,TwohandSword,KillMonster,Tier7
20276,20276,Equipment,TwohandSword,KillMonster,Tier7
20277,20277,Equipment,TwohandSword,KillMonster,Tier7
20278,20278,Equipment,TwohandSword,KillMonster,Tier7
20279,20279,Equipment,TwohandSword,KillMonster,Tier7
20311,20311,Equipment,Dagger,KillMonster,Tier1
20321,20321,Equipment,Dagger,KillMonster,Tier2
20331,20331,Equipment,Dagger,KillMonster,Tier3
20332,20332,Equipment,Dagger,KillMonster,Tier3
20333,20333,Equipment,Dagger,KillMonster,Tier3
20341,20341,Equipment,Dagger,KillMonster,Tier4
20342,20342,Equipment,Dagger,KillMonster,Tier4
20343,20343,Equipment,Dagger,KillMonster,Tier4
20351,20351,Equipment,Dagger,KillMonster,Tier5
20352,20352,Equipment,Dagger,KillMonster,Tier5
20353,20353,Equipment,Dagger,KillMonster,Tier5
20354,20354,Equipment,Dagger,KillMonster,Tier5
20355,20355,Equipment,Dagger,KillMonster,Tier5
20361,20361,Equipment,Dagger,KillMonster,Tier6
20362,20362,Equipment,Dagger,KillMonster,Tier6
20363,20363,Equipment,Dagger,KillMonster,Tier6
20364,20364,Equipment,Dagger,KillMonster,Tier6
20365,20365,Equipment,Dagger,KillMonster,Tier6
20371,20371,Equipment,Dagger,KillMonster,Tier7
20372,20372,Equipment,Dagger,KillMonster,Tier7
20373,20373,Equipment,Dagger,KillMonster,Tier7
20374,20374,Equipment,Dagger,KillMonster,Tier7
20375,20375,Equipment,Dagger,KillMonster,Tier7
20376,20376,Equipment,Dagger,KillMonster,Tier7
20377,20377,Equipment,Dagger,KillMonster,Tier7
20378,20378,Equipment,Dagger,KillMonster,Tier7
20379,20379,Equipment,Dagger,KillMonster,Tier7
20411,20411,Equipment,Bow,KillMonster,Tier1
20421,20421,Equipment,Bow,KillMonster,Tier2
20431,20431,Equipment,Bow,KillMonster,Tier3
20432,20432,Equipment,Bow,KillMonster,Tier3
20433,20433,Equipment,Bow,KillMonster,Tier3
20441,20441,Equipment,Bow,KillMonster,Tier4
20442,20442,Equipment,Bow,KillMonster,Tier4
20443,20443,Equipment,Bow,KillMonster,Tier4
20451,20451,Equipment,Bow,KillMonster,Tier5
20452,20452,Equipment,Bow,KillMonster,Tier5
20453,20453,Equipment,Bow,KillMonster,Tier5
20454,20454,Equipment,Bow,KillMonster,Tier5
20455,20455,Equipment,Bow,KillMonster,Tier5
20461,20461,Equipment,Bow,KillMonster,Tier6
20462,20462,Equipment,Bow,KillMonster,Tier6
20463,20463,Equipment,Bow,KillMonster,Tier6
20464,20464,Equipment,Bow,KillMonster,Tier6
20465,20465,Equipment,Bow,KillMonster,Tier6
20471,20471,Equipment,Bow,KillMonster,Tier7
20472,20472,Equipment,Bow,KillMonster,Tier7
20473,20473,Equipment,Bow,KillMonster,Tier7
20474,20474,Equipment,Bow,KillMonster,Tier7
20475,20475,Equipment,Bow,KillMonster,Tier7
20476,20476,Equipment,Bow,KillMonster,Tier7
20477,20477,Equipment,Bow,KillMonster,Tier7
20478,20478,Equipment,Bow,KillMonster,Tier7
20479,20479,Equipment,Bow,KillMonster,Tier7
20511,20511,Equipment,Staff,KillMonster,Tier1
20521,20521,Equipment,Staff,KillMonster,Tier2
20531,20531,Equipment,Staff,KillMonster,Tier3
20532,20532,Equipment,Staff,KillMonster,Tier3
20533,20533,Equipment,Staff,KillMonster,Tier3
20541,20541,Equipment,Staff,KillMonster,Tier4
20542,20542,Equipment,Staff,KillMonster,Tier4
20543,20543,Equipment,Staff,KillMonster,Tier4
20551,20551,Equipment,Staff,KillMonster,Tier5
20552,20552,Equipment,Staff,KillMonster,Tier5
20553,20553,Equipment,Staff,KillMonster,Tier5
20554,20554,Equipment,Staff,KillMonster,Tier5
20555,20555,Equipment,Staff,KillMonster,Tier5
20561,20561,Equipment,Staff,KillMonster,Tier6
20562,20562,Equipment,Staff,KillMonster,Tier6
20563,20563,Equipment,Staff,KillMonster,Tier6
20564,20564,Equipment,Staff,KillMonster,Tier6
20565,20565,Equipment,Staff,KillMonster,Tier6
20571,20571,Equipment,Staff,KillMonster,Tier7
20572,20572,Equipment,Staff,KillMonster,Tier7
20573,20573,Equipment,Staff,KillMonster,Tier7
20574,20574,Equipment,Staff,KillMonster,Tier7
20575,20575,Equipment,Staff,KillMonster,Tier7
20576,20576,Equipment,Staff,KillMonster,Tier7
20577,20577,Equipment,Staff,KillMonster,Tier7
20578,20578,Equipment,Staff,KillMonster,Tier7
20579,20579,Equipment,Staff,KillMonster,Tier7
30111,30111,Equipment,Plate,KillMonster,Tier1
30121,30121,Equipment,Plate,KillMonster,Tier2
30131,30131,Equipment,Plate,KillMonster,Tier3
30132,30132,Equipment,Plate,KillMonster,Tier3
30133,30133,Equipment,Plate,KillMonster,Tier3
30141,30141,Equipment,Plate,KillMonster,Tier4
30142,30142,Equipment,Plate,KillMonster,Tier4
30143,30143,Equipment,Plate,KillMonster,Tier4
30151,30151,Equipment,Plate,KillMonster,Tier5
30152,30152,Equipment,Plate,KillMonster,Tier5
30153,30153,Equipment,Plate,KillMonster,Tier5
30154,30154,Equipment,Plate,KillMonster,Tier5
30155,30155,Equipment,Plate,KillMonster,Tier5
30161,30161,Equipment,Plate,KillMonster,Tier6
30162,30162,Equipment,Plate,KillMonster,Tier6
30163,30163,Equipment,Plate,KillMonster,Tier6
30164,30164,Equipment,Plate,KillMonster,Tier6
30165,30165,Equipment,Plate,KillMonster,Tier6
30171,30171,Equipment,Plate,KillMonster,Tier7
30172,30172,Equipment,Plate,KillMonster,Tier7
30173,30173,Equipment,Plate,KillMonster,Tier7
30174,30174,Equipment,Plate,KillMonster,Tier7
30175,30175,Equipment,Plate,KillMonster,Tier7
30176,30176,Equipment,Plate,KillMonster,Tier7
30177,30177,Equipment,Plate,KillMonster,Tier7
30178,30178,Equipment,Plate,KillMonster,Tier7
30179,30179,Equipment,Plate,KillMonster,Tier7
30211,30211,Equipment,Leather,KillMonster,Tier1
30221,30221,Equipment,Leather,KillMonster,Tier2
30231,30231,Equipment,Leather,KillMonster,Tier3
30232,30232,Equipment,Leather,KillMonster,Tier3
30233,30233,Equipment,Leather,KillMonster,Tier3
30241,30241,Equipment,Leather,KillMonster,Tier4
30242,30242,Equipment,Leather,KillMonster,Tier4
30243,30243,Equipment,Leather,KillMonster,Tier4
30251,30251,Equipment,Leather,KillMonster,Tier5
30252,30252,Equipment,Leather,KillMonster,Tier5
30253,30253,Equipment,Leather,KillMonster,Tier5
30254,30254,Equipment,Leather,KillMonster,Tier5
30255,30255,Equipment,Leather,KillMonster,Tier5
30261,30261,Equipment,Leather,KillMonster,Tier6
30262,30262,Equipment,Leather,KillMonster,Tier6
30263,30263,Equipment,Leather,KillMonster,Tier6
30264,30264,Equipment,Leather,KillMonster,Tier6
30265,30265,Equipment,Leather,KillMonster,Tier6
30271,30271,Equipment,Leather,KillMonster,Tier7
30272,30272,Equipment,Leather,KillMonster,Tier7
30273,30273,Equipment,Leather,KillMonster,Tier7
30274,30274,Equipment,Leather,KillMonster,Tier7
30275,30275,Equipment,Leather,KillMonster,Tier7
30276,30276,Equipment,Leather,KillMonster,Tier7
30277,30277,Equipment,Leather,KillMonster,Tier7
30278,30278,Equipment,Leather,KillMonster,Tier7
30279,30279,Equipment,Leather,KillMonster,Tier7
30311,30311,Equipment,Cloth,KillMonster,Tier1
30321,30321,Equipment,Cloth,KillMonster,Tier2
30331,30331,Equipment,Cloth,KillMonster,Tier3
30332,30332,Equipment,Cloth,KillMonster,Tier3
30333,30333,Equipment,Cloth,KillMonster,Tier3
30341,30341,Equipment,Cloth,KillMonster,Tier4
30342,30342,Equipment,Cloth,KillMonster,Tier4
30343,30343,Equipment,Cloth,KillMonster,Tier4
30351,30351,Equipment,Cloth,KillMonster,Tier5
30352,30352,Equipment,Cloth,KillMonster,Tier5
30353,30353,Equipment,Cloth,KillMonster,Tier5
30354,30354,Equipment,Cloth,KillMonster,Tier5
30355,30355,Equipment,Cloth,KillMonster,Tier5
30361,30361,Equipment,Cloth,KillMonster,Tier6
30362,30362,Equipment,Cloth,KillMonster,Tier6
