OID,Cid,Comment,DescName,Description,ShipSlotId,MaxSpeed,NormalSpeed,MaxAcceleration,BrakingDeceleration,Braking,TurnAnglePerSecond
9000,9000,,1해역 소형 해적선,일반 몬스터,1,75,75,200,100,200,25
9001,9001,,1해역 중형 해적선,일반 몬스터,2,75,75,200,100,200,25
9002,9002,,1해역 대형 해적선,일반 몬스터,3,75,75,200,100,200,25
9003,9003,,2해역 소형 해적선 ,일반 몬스터,1,75,75,200,100,200,25
9004,9004,,2해역 중형 해적선 ,일반 몬스터,2,75,75,200,100,200,25
9005,9005,,2해역 대형 해적선 ,일반 몬스터,3,75,75,200,100,200,25
9006,9006,,정예유령선,정예,2,75,75,200,100,200,25
9007,9007,,보스_원혼의 해적선,보스,3,75,75,200,100,200,25
9008,9008,,보스_이즈나사령선,보스,3,75,75,200,100,200,25
9009,9009,,보스_불멸의 로스리안,보스,3,75,75,200,100,200,25
9010,9010,,소환물_망자의 돌격함,보스 소환물,3,75,75,200,100,200,25
9011,9011,,소환물_망자의 지원함,보스 소환물,3,75,75,200,100,200,25
9012,9012,,보스_해역의 수호선,보스,3,75,75,200,100,200,25
9013,9013,,해적_어선,일반 몬스터,1,75,75,200,100,200,25
9014,9014,,해적_무역선,일반 몬스터,2,75,75,200,100,200,25
9015,9015,,해적_비파 범선,일반 몬스터,3,75,75,200,100,200,25
9016,9016,,이즈나_어선,일반 몬스터,1,75,75,200,100,200,25
9017,9017,,이즈나_무역선,일반 몬스터,2,75,75,200,100,200,25
9018,9018,,이즈나_비파 범선,일반 몬스터,3,75,75,200,100,200,25
9019,9019,,다후타_어선,일반 몬스터,1,75,75,200,100,200,25
9020,9020,,다후타_무역선,일반 몬스터,2,75,75,200,100,200,25
9021,9021,,다후타_비파 범선,일반 몬스터,3,75,75,200,100,200,25
9022,9022,,보스_부귀의 선박 오르돔,보스,3,75,75,200,100,200,25
9023,9023,,6해역 소형 해적선_문어마크,일반 몬스터,1,75,75,200,100,200,25
9024,9024,,6해역 중형 해적선_문어마크,일반 몬스터,2,75,75,200,100,200,25
9025,9025,,6해역 대형 해적선_문어마크,일반 몬스터,3,75,75,200,100,200,25
9100,9100,,레비아탄,보스,3,120,120,200,100,200,15
