OID,Cid,SpawnDuration
10401101,10401101,3.266667
10401102,10401102,3.266667
10401103,10401103,3.266667
10401104,10401104,3.266667
10402301,10402301,3.933333
10402302,10402302,3.266667
10402303,10402303,3.266667
10402304,10402304,3.933333
10402305,10402305,3.266667
10402306,10402306,3.266667
10402307,10402307,3.933333
10402308,10402308,3.933333
10402309,10402309,3.933333
10402310,10402310,3.266667
10402311,10402311,3.266667
10402312,10402312,3.266667
10402313,10402313,3.266667
10402314,10402314,3.266667
10402315,10402315,3.266667
10402320,10402320,3.266667
10402321,10402321,3.266667
10402324,10402324,3.266667
10402325,10402325,3.266667
10402326,10402326,3.266667
10402327,10402327,2.666667
10402328,10402328,2.666667
10402330,10402330,2.666667
10402331,10402331,2.666667
10402332,10402332,2.666667
10402333,10402333,2.666667
10402334,10402334,2.666667
10402335,10402335,2.666667
10402336,10402336,2.666667
10402337,10402337,3.333333
10402338,10402338,3.333333
10402703,10402703,3.266667
10701101,10701101,1.983333
10701102,10701102,1.983333
10701103,10701103,1.983333
10701104,10701104,1.983333
10701105,10701105,1.983333
10701801,10701801,3.500000
10702307,10702307,5.666667
10702503,10702503,2.333333
10702505,10702505,2.333333
10702804,10702804,6.233333
10702805,10702805,6.233333
10802104,10802104,4.683333
10802105,10802105,4.683333
90001901,90001901,4.066650
90002901,90002901,6.666667
90002903,90002903,6.666667
90002904,90002904,6.666667
95001113,95001113,0.769217
