OID,Cid,Milestone,Comment,Name,Description,Grade,ModelAssetCid,MountSpeedPer,CheckStatusChangeTagsCids,TagSpeedPers,StatusChangeCid,ItemSkillSlots,ShowList
101,101,Dev,1T - 기본지급,갈색 릴리엇 말,갈색 릴리엇 말,Common,101,510,[7002],[298],,[40410001],TRUE
102,102,Dev,2T,검은색 릴리엇 말,검은색 릴리엇 말,Rare,102,540,[7002],[315],,"[40410001,40010001]",TRUE
103,103,Dev,3T,3번마,,Rare,103,570,[7002],[332],,[40410001],FALSE
104,104,Dev,4T,4번마,,Common,104,600,[7002],[350],,[40410001],FALSE
105,105,Dev,5T,5번마,,Heroic,105,645,[7002],[375],,[40410001],FALSE
106,106,Dev,6T,6번마,여행용 말과 동일한 이동 속도,Heroic,106,690,[7002],[402],,[40410001],FALSE
107,107,Dev,7T,흰색 릴리엇 말,흰색 릴리엇 말,Legendary,107,750,[7002],[437],,"[40410001,40010001,40610001,40310001]",TRUE
108,108,Dev,8T,8번마,,Legendary,108,810,[7002],[472],,[40410001],FALSE
109,109,M15,1T,짐꾼 당나귀,짐꾼 당나귀,Common,109,357,[7002],[410],,[40410001],TRUE
201,201,M15,테스트용,흰색 릴리엇 말(700),,Legendary,107,700,,,,[40410001],TRUE
202,202,M15,테스트용,흰색 릴리엇 말(800),,Legendary,107,800,,,,[40410001],TRUE
203,203,M15,테스트용,흰색 릴리엇 말(900),,Legendary,107,900,,,,[40410001],TRUE
204,204,M15,테스트용,흰색 릴리엇 말(1000),,Legendary,107,1000,,,,[40410001],TRUE
205,205,M15,테스트용,흰색 릴리엇 말(1100),,Legendary,107,1100,,,,[40410001],TRUE
206,206,M15,테스트용,흰색 릴리엇 말(1200),,Legendary,107,1200,,,,[40410001],TRUE
207,207,M15,테스트용,흰색 릴리엇 말(1300),,Legendary,107,1300,,,,[40410001],TRUE
208,208,M15,테스트용,흰색 릴리엇 말(1400),,Legendary,107,1400,,,,[40410001],TRUE
101001,101001,Dev,1T,갈색 릴리엇 말,갈색 릴리엇 말,Common,101,650,[7002],[298],,[40410001],TRUE
101002,101002,Dev,1T,검은색 릴리엇 말,검은색 릴리엇 말,Common,102,650,[7002],[298],,[40410001],TRUE
101003,101003,Dev,1T,흰색 릴리엇 말,흰색 릴리엇 말,Common,107,650,[7002],[298],,[40410001],TRUE
201001,201001,Dev,2T,윤기나는 갈색 릴리엇 말,갈색 릴리엇 말,Rare,101,650,[7002],[315],,"[40410001,40010001]",TRUE
201002,201002,Dev,2T,윤기나는 검은색 릴리엇 말,검은색 릴리엇 말,Rare,102,650,[7002],[315],,"[40410001,40010001]",TRUE
201003,201003,Dev,2T,윤기나는 흰색 릴리엇 말,흰색 릴리엇 말,Rare,107,650,[7002],[315],,"[40410001,40010001]",TRUE
301001,301001,Dev,3T,빛나는 갈색 릴리엇 말,갈색 릴리엇 말,Heroic,101,650,[7002],[437],,"[40410001,40010001,40610001]",TRUE
301002,301002,Dev,3T,빛나는 검은색 릴리엇 말,검은색 릴리엇 말,Heroic,102,650,[7002],[437],,"[40410001,40010001,40610001]",TRUE
301003,301003,Dev,3T,빛나는 흰색 릴리엇 말,흰색 릴리엇 말,Heroic,107,650,[7002],[437],,"[40410001,40010001,40610001]",TRUE
401001,401001,Dev,4T,재빠른 갈색 릴리엇 말,갈색 릴리엇 말,Heroic,101,650,[7002],[437],,"[40410001,40010001,40610001,40310001]",TRUE
401002,401002,Dev,4T,재빠른 검은색 릴리엇 말,검은색 릴리엇 말,Heroic,102,650,[7002],[437],,"[40410001,40010001,40610001,40310001]",TRUE
401003,401003,Dev,4T,재빠른 흰색 릴리엇 말,흰색 릴리엇 말,Heroic,107,650,[7002],[437],,"[40410001,40010001,40610001,40310001]",TRUE
