OID,Cid,Comment,TitleName,Name,AssetType,FactionCid,ShowNameTag,SequenceCid,TradeFixedGroupCid,Repair,NpcShopCid,InteractionPriority
1,1,투명,,,40000,112,FALSE,,,,,None
2,2,달구지,,,39000,112,FALSE,,,,,None
2009,2009,,퀘스트 테스트용 NPC,아사나,31000,112,TRUE,,,,,None
2010,2010,,퀘스트 테스트용 NPC,루키우스 퀸토,30000,112,TRUE,,,,,None
2011,2011,,등짐 구매 상인,에본브로,30000,112,TRUE,,2,TRUE,999,Repair
2012,2012,,레이어 테스트 NPC,수습 신관,30000,112,TRUE,,,,,None
2013,2013,,축제 테스트 NPC,대신관 그왈흐,30000,112,FALSE,,,,,None
2014,2014,,장비 수리공,데시,30006,112,TRUE,2016,,TRUE,,Repair
2015,2015,,장비 수리공,라스,30006,112,TRUE,2017,,TRUE,,Repair
2016,2016,,장비 수리공,코리로,31006,112,TRUE,2018,,TRUE,,Repair
100001,100001,,엘프,메다드,30000,112,TRUE,,,,,None
100002,100002,,섬 관리인,라운,30001,112,TRUE,,,,,None
100003,100003,,신관,세리안,31000,112,TRUE,,,,,None
100004,100004,,수습신관,테린,30002,112,TRUE,,,,,None
100005,100005,,대신관,5월의 그왈흐,30003,112,TRUE,,,,,None
100006,100006,,대장장이,브랜던,30005,112,TRUE,2019,,TRUE,,Repair
100007,100007,,잡화상인,몰리,31006,112,TRUE,2005,,,1,NpcShop
100008,100008,,마구간지기,개런,30006,112,TRUE,2020,,,,None
100009,100009,,,우편 수행자,31001,112,TRUE,,,,,None
100010,100010,,,우편 수행자,30004,112,TRUE,,,,,None
100011,100011,,기억술사,메다드,30000,112,TRUE,,,,,None
100012,100012,,신관,라비안,30000,112,TRUE,,,,,None
100013,100013,,이즈나의 왕,안드리온 1세,30007,112,TRUE,,,,,None
100014,100014,,신도,타렌,30000,112,TRUE,,,,,None
100015,100015,,신관,브린,30002,112,TRUE,2000,,,,None
100016,100016,,우편 수행자,피오르,30004,112,TRUE,2001,,,,None
100017,100017,,신관,케일런,30002,112,TRUE,2002,,,,None
100018,100018,,주민,엘시아,31002,112,TRUE,2003,,,,None
100019,100019,,어린아이,리아,31013,112,TRUE,2004,,,,None
100020,100020,,전 왕족,모네스,31008,112,TRUE,2006,,,,None
100021,100021,,약초꾼,메이비스,30008,112,TRUE,2007,,,,None
100022,100022,,남자아이,피넬,31013,112,TRUE,2008,,,,None
100023,100023,,여자아이,리오나,31013,112,TRUE,2009,,,,None
100024,100024,,신관,엘로웬,31000,112,TRUE,2010,,,,None
100025,100025,,신도,올레이,31002,112,TRUE,2011,,,,None
100026,100026,,우편 수행자,슬레인,31001,112,TRUE,2013,,,,None
100027,100027,,고양이,푸딩,10081,112,TRUE,,,,,None
100028,100028,,신관,할레스,31000,112,TRUE,2014,,,,None
100029,100029,,신관,시오라,31000,112,TRUE,2015,,,,None
100030,100030,,신도,마렌,31003,112,TRUE,2012,,,,None
100031,100031,여,,포로로 잡힌 신관,31000,112,FALSE,,,,,None
100032,100032,남,,포로로 잡힌 신관,30002,112,FALSE,,,,,None
100033,100033,여,,포로로 잡힌 신관,31000,112,FALSE,,,,,None
100034,100034,여,,포로로 잡힌 주민,31011,112,FALSE,,,,,None
100035,100035,여,,포로로 잡힌 주민,31009,112,FALSE,,,,,None
100036,100036,남,,포로로 잡힌 주민,30005,112,FALSE,,,,,None
100037,100037,남,,포로로 잡힌 주민,30006,112,FALSE,,,,,None
100038,100038,여,,포로로 잡힌 주민,31006,112,FALSE,,,,,None
100039,100039,남,,포로로 잡힌 주민,30009,112,FALSE,,,,,None
101000,101000,여,확인용,바라기 마을,31009,112,FALSE,,,,,None
101001,101001,남,확인용,바라기 농가,30005,112,FALSE,,,,,None
101002,101002,여,확인용,바라기 언덕,31009,112,FALSE,,,,,None
101003,101003,남,확인용,푸른 안개 숲,30005,112,FALSE,,,,,None
101004,101004,여,확인용,가라앉은 만,31009,112,FALSE,,,,,None
101005,101005,남,확인용,초승달 왕좌,30005,112,FALSE,,,,,None
101006,101006,여,확인용,파수 마을,31009,112,FALSE,,,,,None
101007,101007,남,확인용,백월만,30005,112,FALSE,,,,,None
101008,101008,여,확인용,우윳빛 강 마을,31009,112,FALSE,,,,,None
101009,101009,남,확인용,잊혀진 성,30005,112,FALSE,,,,,None
101010,101010,여,확인용,앰리아 마을,31009,112,FALSE,,,,,None
101011,101011,남,확인용,요정의 은신처,30005,112,FALSE,,,,,None
101012,101012,여,확인용,일벌백계의 폐허 1,31009,112,FALSE,,,,,None
101013,101013,남,확인용,일벌백계의 폐허 2,30005,112,FALSE,,,,,None
101014,101014,여,확인용,일벌백계의 폐허 3,31009,112,FALSE,,,,,None
101015,101015,,이니스 부두,선원,31014,112,FALSE,,,,,None
