OID,Cid,Milestone,Comment,ContentType,Episode,Stage,QuestStartCid,QuestTitle,QuestTitleIpnish,QuestGoal,QuestDesc,QuestStepCids,QuestFailCids,LayerRuleSetCids,GoalWorldLocationCid,CanAbandon,NextQuestCids,StatusChangeCids,NormalLootGroupCid,SelectLootGroupCid,Exp,Gold,Labor,Mastery
123,123,Dev,,Sub,,,1,테스트퀘스트1,,아이템 업그레이드 테스트,,"[100,101,102,103]",[],[],0,1,[],[],554,,5,100,0,[]
129,129,Dev,,Sub,,,0,필드 퀘스트 조건 테스트,,불타는 달그늘 조건 퀘,,"[12901,12902]",[],[],0,1,[],[],554,,5,100,0,[]
130,130,Dev,,Dungeon,0,0,0,필드 퀘스트 테스트 (필드 진입),,불타는 달그늘 해방하기,,"[13001,13002,13004,13005]","[5,6,7,8]",[1],0,1,[],[],554,,5,100,0,[]
131,131,Dev,,Dungeon,0,0,2,필드 퀘스트 테스트 (필드 내부 진행),,해방된 달그늘 마을,,[13101],"[5,6,7,8]",[],0,1,[],[],554,,5,100,0,[]
132,132,Dev,,Dungeon,0,0,0,이즈나의 메아리 던전 목표,,이즈나의 메아리 정화하기,,"[13201,13202,13203,13204]","[5,6,7,8]",[],0,1,[],[],554,,5,100,0,[]
134,134,Dev,,Dungeon,0,0,0,인스턴스 필드 테스트,,성공과 실패 확인,,[13401],[10],[],0,1,[],[],554,,5,100,0,[]
220,220,Dev,,Sub,0,0,1,서브퀘스트 1,,테스트 서브퀘스트 1,"나와 로나 그리고 마일즈 이렇게 우리 셋은 바라기 마을에서 함께 자란 죽마고우였다. 어렸을 때는 우리 셋의 관계가 영원히 소중한 친구 사이로 지속될 줄 알았다. 그러나 점점 나이를 먹어 가면서 우리 셋의 관계는 점점 흔들리기 시작했다. 로나에 대한 마음이 소꿉친구에서 사랑하는 여자로 변모했다. 로나에게 이러한 감정을 느끼는 것은 마일즈 역시 마찬가지였다. 하지만 마일즈와 나는 둘도 없는 친구였기 때문에 표면적으로 로나에 대한 감정을 밖으로 표출시키지 않았다. 하지만 시간이 흐를수록 점점 강압적으로 억누른 감정이 폭발할 듯 흔들리기 시작했다. 마일즈와 나는 서로 감정을 숨겼다. 로나에 대한 감정이 밖으로 드러나는 순간, 우리의 우정이 금이 가게 될 거란 것을 본능적으로 감지하고 있었기 때문이었다. 로나에 대한 사랑과 마일즈에 대한 우정의 무게를 저울질하며 방황하고 있을 때, 마일즈가 먼저 우리 사이의 금기를 깨버렸다. 로나에게 자신의 마음을 고백한 것이다. 마일즈의 고백을 받은 로나는 잠시 망설이는 얼굴로 나를 바라보더니 다시 자신에게 고백한 마일즈를 바라보았다. 결국, 그녀는 마일즈의 고백을 받아들였다. 얼마 후, 로나와 마일즈는 바라기 마을 사람들의 축복 속에서 결혼식을 올렸다. 그때 로나가 망설이는 얼굴로 나를 바라봤던 건 무엇을 의미하는 것일까? 로나와 마일즈의 결혼식 후, 나는 여행을 떠나기로 마음먹었다. 두 친구와 함께했던 추억이 묻어 있는 바라기 마을에서의 삶이 하루하루 고통으로 다가왔기 때문이다. 사랑과 우정을 동시에 잃은 상실감을 여행으로 극복해 봐야겠단 마음을 먹었다.",[100],[],,0,1,[0],[20010],554,,5,100,0,[]
221,221,Dev,,Sub,0,0,1,서브퀘스트 2,,테스트 서브퀘스트 2,,[101],[],,0,1,[0],[20010],554,,5,100,100,[]
1000,1000,Dev,,Main,1,1,,정착을 위한 첫 걸음,Thiora Har Nas tyn,,"이니스 여왕의 은혜로 새로운 삶을 시작하게 된 개척자. 뱃길을 따라 도착한 새로운 정착지는, 누이 여신의 신도들로 이루어진 작은 섬 ‘이니스’다. 이곳에서의 삶은 모든 것을 스스로의 손으로 이루어야 한다. 다행히, 마중을 나와 준 옛 동료 메다드가 자급자족의 방식을 가르쳐 주겠다며 손을 내민다.","[100000,100001,100002,100005,100006,100007,100008]",[],[],0,0,[1001],[],8011000,,500,6000,0,[]
1001,1001,Dev,,Main,1,2,,허가 받지 않은 자,One Pes Okan,,이니스 섬에서 생활하기 위해서는 정식 허가증이 필요하다. 하지만 메다드가 말한 개척자의 허가증을 전달해주기로 한 인물이 아직 도착하지 않았다. 어쩌면 직접 나서서 그를 찾아야 할지도 모른다.,"[100101,100102,100103,100104,100106]",[],[],0,0,[1002],[],8011001,,530,6300,0,[]
