OID,Cid,Comment,Desc,FailCondition,Count,MonsterCids,StatusChangeCids,Time
1,1,플레이어 사망 시,캐릭터 사망 시,PlayerDead,1,[],[],0
2,2,몬스터 사망 시,,MonsterDead,3,"[10001101,10001102]",[],0
3,3,버프 획득 시,,StatusChange,2,[],[72500003],0
4,4,시간 초과 시,,TimeOver,1,[],[],60000
5,5,인스턴스 목표 테스트,플레이어 사망,PlayerDead,1,[],[],0
6,6,인스턴스 목표 테스트,피 묻은 손 마법사(10802103) 사망,MonsterDead,1,[10802103],[],0
7,7,인스턴스 목표 테스트,과일차(72500003) SC 시 실패,StatusChange,1,[],[72500003],0
8,8,인스턴스 목표 테스트,5분 이내 목표 달성 실패,TimeOver,1,[],[],300000
9,9,30분 타임 오버 조건,30분 내에 모든 목표 달성,TimeOver,1,[],[],1800000
10,10,인스턴스 목표 테스트,토끼 사망,MonsterDead,1,[95101101],[],0
