OID,Cid,Comment,WorldLocationCids,MonsterCids,MonsterRaces,NpcCids,DoodadCids,DoodadPhaseCids,ItemCids,SubStepCids,SequenceCids,CraftCids,StatusChangeCids,DungeonCids,QuestCids,QuestObjectCids,ItemGradeInfoCids,ItemGrades
0,0,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
100,100,아무거나 등급업하기,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
101,101,아무 무기 등급업하기,[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[1100,1200,1300,1400,1500,1600,1700]",[]
102,102,아무 첫걸음 무기 등급업하기,[],[],[],[],[],[],"[11010002,11010003,11010004,11010005]",[],[],[],[],[],[],[],[],[Uncommon]
103,103,첫걸음 활 희귀 만들기,[],[],[],[],[],[],[11010004],[],[],[],[],[],[],[],[],[Rare]
104,104,,[],[],[],[],[],[10100102],[],[],[],[],[],[],[],[],[],[]
12901,12901,아무튼 필드 안에서 이것저것 하기,[130011],[],[],[],[],[],[],[],[],[],[],[19],[],[],[],[]
12902,12902,불타는 달그늘 마을을 구하기,[],[10402302],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
13001,13001,마을 내부로 이동하기,[130021],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
13002,13002,주민들을 위협하는 피 묻은 손 암살자 처치,[],[10802104],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
13004,13004,마을 중앙으로 이동하기,[130041],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
13005,13005,피 묻은 손 전사와 궁수 처치하기,[],"[10802101,10802102]",[],[],[],[],[],[],[],[],[],[],[],[],[],[]
13101,13101,마을 촌장과 대화하기,[],[],[],[100002],[],[],[],[],[],[],[],[],[],[],[],[]
13201,13201,메아리가 들려오는 곳을 따라 내려가기,[132011],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
13202,13202,스켈레톤 처치하기,[],"[10402301,10402302,10402303,10402304,10402305,10402306,10402307,10402308,10402309,10402310,10402311,10402312,10402313,10402314,10402315]",[],[],[],[],[],[],[],[],[],[],[],[],[],[]
13203,13203,말카바돈 처치,[],[90002901],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
13204,13204,파괴된 벽 뒤의 숨겨진 통로로 이동하기,[132041],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
13401,13401,늑대를 무찌르기,[],[95105101],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
100000,100000,옛 동료를 만나러 이동하기,[1000001],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
100001,100001,메다드의 이야기 듣기,[1000081],[],[],[],[],[],[],[],[1],[],[],[],[],[],[],[]
100002,100002,굶주린 배를 채울 식재료 수급,[],[],[],[],[],[],[],"[100003,100004]",[],[],[],[],[],[],[],[]
100003,100003,거북알 채집하기,[],[],[],[],[901001],[],[],[],[],[],[],[],[],[],[],[]
100004,100004,바위 게의 집게 수집하기,[],[10001101],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
100005,100005,모닥불 불 붙이기,[],[],[],[],[901028],[],[],[],[],[],[],[],[],[],[],[]
100006,100006,해산물 스튜 제작하기,[],[],[],[],[901029],[],[],[],[],[40000001],[],[],[],[],[],[]
100007,100007,남은 스튜 챙기기,[],[],[],[],[901030],[],[],[],[],[],[],[],[],[],[],[]
100008,100008,해산물 스튜 맛보기,[],[],[],[],[],[],[80100002],[],[],[],[],[],[],[],[],[]
100101,100101,섬 관리실로 이동하기,[1001011],[],[],[],[],[],[],[],[1],[],[],[],[],[],[],[]
100102,100102,섬 관리인에게 입도 허가 받기,[],[],[],[100002],[],[],[],[],[1001022],[],[],[],[],[],[],[]
100103,100103,허가증을 갖고 올 신관 기다리기,[],[],[],[],[],[],[],[],[1001032],[],[],[],[],[],[],[]
100104,100104,망가진 달구지를 수리할 재료 수급,[],[],[],[],[],[],[],[100105],[],[],[],[],[],[],[],[]
100105,100105,수리에 사용할 목재 챙기기,[],[],[],[],[901037],[],[],[],[],[],[],[],[],[],[],[]
100106,100106,망가진 달구지 수리하기,[],[],[],[],[901003],[],[],[],[],[],[],[],[],[],[],[]
100201,100201,전투를 대비하여 장비 재료 수급,[],[],[],[],[],[],[],"[100202,100203]",[],[],[],[],[],[],[],[]
100202,100202,1T 채집물 채집하기,[],[],[],[],"[100001,101001,102001,103001]",[],"[51010001,51010002,51010003,51010004]",[],[],[],[],[],[],[],[],[]
100203,100203,1T 채집물 가공하기,[],[],[],[],[224001],[],[],[],[],"[1011,1021,1031,1041]",[],[],[],[],[],[]
100204,100204,전투를 대비하여 장비 제작,[],[],[],[],[],[],[],"[100205,100206]",[],[],[],[],[],[],[],[]
100205,100205,1T 무기 제작하기,[],[],[],[],[200002],[],[],[],[],"[11010006,11010007,11010008,11010009,11010010]",[],[],[],[],[],[]
100206,100206,1T 방어구 제작하기,[],[],[],[],[201002],[],[],[],[],"[12020001,12020002,12020003,12020004,12020005,12020006,12020007,12020008,12020009,12020010,12020011,12020012]",[],[],[],[],[],[]
100207,100207,달구지에 올라타기,[1002071],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
100301,100301,쓰러져있는 신관 구출,[],[],[],[],[],[],[],[100302],[],[],[],[],[],[],[],[]
100302,100302,근처 놀 무리 처치하기,[],"[10201101,10201102,10201103,10201104,10201105,10201106,10201107]",[],[],[],[],[],[],[],[],[],[],[],[],[],[]
100303,100303,신관의 상태 확인하기,[],[],[],[100003],[],[],[],[],[1003032],[],[],[],[],[],[],[]
100304,100304,흩어진 신관의 짐 탐색,[],[],[],[],[],[],[],[100305],[],[],[],[],[],[],[],[]
