OID,Cid,TargetCid,SpawnerCid,Kind,Zone,Location
7,7,80000,0,WorldLocation,800,"(X=-392280.000000,Y=392860.000000,Z=-1500.000000)"
20,20,100110,0,WorldLocation,800,"(X=-392280.000000,Y=392820.000000,Z=-1500.000000)"
61,61,90100,0,WorldLocation,901,"(X=-425780.000024,Y=361840.000029,Z=676.819703)"
62,62,90101,0,WorldLocation,901,"(X=-426228.108867,Y=362965.210438,Z=676.819703)"
60,60,90102,0,WorldLocation,901,"(X=-431097.379858,Y=362965.331846,Z=676.819703)"
59,59,90103,0,WorldLocation,901,"(X=-437826.044123,Y=363050.050259,Z=676.819703)"
56,56,90104,0,WorldLocation,901,"(X=-438350.335996,Y=357949.813203,Z=676.819703)"
58,58,90105,0,WorldLocation,901,"(X=-439402.508797,Y=353712.038740,Z=676.819703)"
54,54,90106,0,WorldLocation,901,"(X=-439894.089656,Y=352555.471293,Z=676.819703)"
55,55,90107,0,WorldLocation,901,"(X=-446489.489592,Y=356759.612071,Z=676.819703)"
57,57,90108,0,WorldLocation,901,"(X=-445686.203047,Y=357746.947235,Z=676.819703)"
63,63,90200,0,WorldLocation,902,"(X=-418259.999966,Y=355620.000093,Z=2230.649130)"
64,64,90300,0,WorldLocation,903,"(X=-445690.000010,Y=322180.000054,Z=2491.017483)"
65,65,90400,0,WorldLocation,904,"(X=-430370.000010,Y=324640.000054,Z=2491.017483)"
69,69,90500,0,WorldLocation,905,"(X=-451380.000010,Y=274980.000054,Z=2361.017483)"
123,123,90501,0,WorldLocation,905,"(X=-428100.000010,Y=264210.000054,Z=2361.017483)"
67,67,90502,0,WorldLocation,905,"(X=-445150.000010,Y=255570.000054,Z=2361.017483)"
112,112,90503,0,WorldLocation,905,"(X=-436540.000010,Y=281260.000054,Z=2361.017483)"
175,175,90601,0,WorldLocation,906,"(X=-442555.362777,Y=413853.307045,Z=292.141019)"
162,162,90602,0,WorldLocation,906,"(X=-424059.828173,Y=419209.885166,Z=-57.252156)"
144,144,9000011,0,WorldLocation,906,"(X=-443489.577743,Y=414035.645025,Z=291.797060)"
146,146,9000031,0,WorldLocation,906,"(X=-443084.521106,Y=417247.587607,Z=297.547585)"
138,138,9000071,0,WorldLocation,906,"(X=-440868.852540,Y=419705.469033,Z=292.435147)"
142,142,9000081,0,WorldLocation,906,"(X=-437661.803745,Y=421615.072417,Z=-135.303387)"
152,152,9000101,0,WorldLocation,906,"(X=-433370.379462,Y=421085.333647,Z=-192.528387)"
154,154,9000111,0,WorldLocation,906,"(X=-431288.348613,Y=417773.355285,Z=287.647184)"
158,158,9000141,0,WorldLocation,906,"(X=-429684.852172,Y=416694.721390,Z=307.330253)"
185,185,9000211,0,WorldLocation,906,"(X=-426487.705024,Y=415810.066846,Z=316.234385)"
156,156,9000221,0,WorldLocation,906,"(X=-424987.840259,Y=417660.965536,Z=-71.445484)"
169,169,9000281,0,WorldLocation,906,"(X=-427442.839203,Y=425734.423619,Z=-556.429736)"
171,171,9000301,0,WorldLocation,906,"(X=-431165.053839,Y=430465.749322,Z=-601.504167)"
221,221,100000,0,WorldLocation,1000,"(X=345180.156250,Y=-124450.406250,Z=-1852.412964)"
206,206,100001,0,WorldLocation,1000,"(X=357988.868284,Y=-132980.463420,Z=-525.265812)"
346,346,100002,0,WorldLocation,1000,"(X=373283.554834,Y=-137223.564990,Z=-283.444645)"
944,944,100003,0,WorldLocation,1000,"(X=381561.321884,Y=-155637.261172,Z=942.500328)"
888,888,100004,0,WorldLocation,1000,"(X=371851.562489,Y=-163056.263086,Z=1381.691965)"
549,549,100005,0,WorldLocation,1000,"(X=355528.931567,Y=-147057.182397,Z=2441.353474)"
248,248,100006,0,WorldLocation,1000,"(X=351120.156250,Y=-125050.406250,Z=-1990.353245)"
357,357,100007,0,WorldLocation,1000,"(X=371805.156250,Y=-137285.406250,Z=-345.982303)"
430,430,100008,0,WorldLocation,1000,"(X=387540.156250,Y=-143790.406250,Z=-348.515057)"
1018,1018,100009,0,WorldLocation,1000,"(X=387800.156250,Y=-161895.406250,Z=1358.494839)"
650,650,100010,0,WorldLocation,1000,"(X=367235.156250,Y=-172680.406250,Z=1868.442071)"
722,722,100011,0,WorldLocation,1000,"(X=366190.156250,Y=-156930.406250,Z=1447.211535)"
899,899,100012,0,WorldLocation,1000,"(X=380041.024110,Y=-155826.057852,Z=869.529106)"
333,333,100013,0,WorldLocation,1000,"(X=377531.835822,Y=-142859.111491,Z=132.414688)"
822,822,100014,0,WorldLocation,1000,"(X=373588.204095,Y=-174913.616977,Z=2013.920532)"
761,761,100015,0,WorldLocation,1000,"(X=371784.495846,Y=-173057.149049,Z=2013.920532)"
548,548,100016,0,WorldLocation,1000,"(X=350763.231705,Y=-150475.649972,Z=2591.374559)"
684,684,100098,0,WorldLocation,1000,"(X=371272.156250,Y=-156961.046875,Z=1449.087954)"
875,875,100099,0,WorldLocation,1000,"(X=371856.125000,Y=-156954.053696,Z=800.461792)"
893,893,100202,0,WorldLocation,1000,"(X=379748.893374,Y=-156247.101343,Z=861.691981)"
851,851,130011,0,WorldLocation,1000,"(X=377288.617709,Y=-155949.280393,Z=861.691981)"
916,916,130021,0,WorldLocation,1000,"(X=380360.231410,Y=-155794.535563,Z=861.691981)"
277,277,130041,0,WorldLocation,1000,"(X=383415.884344,Y=-155893.418619,Z=861.691981)"
237,237,1000001,0,WorldLocation,1000,"(X=348866.729330,Y=-124384.650995,Z=-1982.108311)"
222,222,1000081,0,WorldLocation,1000,"(X=352545.052511,Y=-124294.172194,Z=-1978.193430)"
219,219,1001011,0,WorldLocation,1000,"(X=358051.417795,Y=-133613.911567,Z=-527.821072)"
199,199,1002071,0,WorldLocation,1000,"(X=358516.678055,Y=-134375.017183,Z=-528.187787)"
393,393,1002072,0,WorldLocation,1000,"(X=372519.390712,Y=-136932.467173,Z=-340.659836)"
411,411,1004011,0,WorldLocation,1000,"(X=382381.554823,Y=-134973.682988,Z=-342.240231)"
339,339,1004030,0,WorldLocation,1000,"(X=377624.223714,Y=-143269.925734,Z=132.414688)"
335,335,1004081,0,WorldLocation,1000,"(X=379341.769179,Y=-144926.906071,Z=147.835014)"
427,427,1004101,0,WorldLocation,1000,"(X=387336.618271,Y=-144055.514340,Z=-343.276023)"
421,421,1005011,0,WorldLocation,1000,"(X=385187.384136,Y=-141370.332094,Z=-338.064328)"
