OID,Cid,Boundaries,Center
9999001,9999001,"((X=-100.000000,Y=100.000000,Z=100.000000),(X=-100.000000,Y=-100.000000,Z=100.000000),(X=100.000000,Y=-100.000000,Z=100.000000),(X=100.000000,Y=100.000000,Z=100.000000))","(X=-30720.000000,Y=-2070.000000,Z=-18280.000000)"
10000400,10000400,"((X=-147.144863,Y=1400.000107,Z=100.000000),(X=-435.006111,Y=1338.813553,Z=100.000000),(X=-703.855469,Y=1219.114258,Z=100.000000),(X=-941.942841,Y=1046.133850,Z=100.000000),(X=-1138.861954,Y=827.433197,Z=100.000000),(X=-1286.008179,Y=572.568779,Z=100.000000),(X=-1376.949539,Y=292.680264,Z=100.000000),(X=-1407.711472,Y=0.000917,Z=100.000000),(X=-1376.949753,Y=-292.679115,Z=100.000000),(X=-1286.008606,Y=-572.567657,Z=100.000000),(X=-1138.862808,Y=-827.431648,Z=100.000000),(X=-941.943054,Y=-1046.133423,Z=100.000000),(X=-703.856270,Y=-1219.113724,Z=100.000000),(X=-435.007099,Y=-1338.813232,Z=100.000000),(X=-147.146225,Y=-1399.999893,Z=100.000000),(X=147.145638,Y=-1399.999893,Z=100.000000),(X=435.006512,Y=-1338.813446,Z=100.000000),(X=703.855576,Y=-1219.114044,Z=100.000000),(X=941.942734,Y=-1046.133850,Z=100.000000),(X=1138.862381,Y=-827.432182,Z=100.000000),(X=1286.008392,Y=-572.568352,Z=100.000000),(X=1376.949539,Y=-292.679836,Z=100.000000),(X=1407.711472,Y=-0.000123,Z=100.000000),(X=1376.949753,Y=292.679569,Z=100.000000),(X=1286.008606,Y=572.567444,Z=100.000000),(X=1138.862595,Y=827.432076,Z=100.000000),(X=941.943054,Y=1046.133530,Z=100.000000),(X=703.855896,Y=1219.113831,Z=100.000000),(X=435.006805,Y=1338.813232,Z=100.000000),(X=147.145945,Y=1399.999893,Z=100.000000))","(X=353015.000000,Y=-127620.000000,Z=-1880.000000)"
10000401,10000401,"((X=-315.310421,Y=3000.000229,Z=100.000000),(X=-932.155952,Y=2868.886185,Z=100.000000),(X=-1508.261719,Y=2612.387695,Z=100.000000),(X=-2018.448944,Y=2241.715393,Z=100.000000),(X=-2440.418472,Y=1773.071136,Z=100.000000),(X=-2755.731812,Y=1226.933098,Z=100.000000),(X=-2950.606155,Y=627.171993,Z=100.000000),(X=-3016.524582,Y=0.001966,Z=100.000000),(X=-2950.606613,Y=-627.169533,Z=100.000000),(X=-2755.732727,Y=-1226.930695,Z=100.000000),(X=-2440.420303,Y=-1773.067818,Z=100.000000),(X=-2018.449402,Y=-2241.714478,Z=100.000000),(X=-1508.263435,Y=-2612.386551,Z=100.000000),(X=-932.158070,Y=-2868.885498,Z=100.000000),(X=-315.313339,Y=-2999.999771,Z=100.000000),(X=315.312080,Y=-2999.999771,Z=100.000000),(X=932.156811,Y=-2868.885956,Z=100.000000),(X=1508.261948,Y=-2612.387238,Z=100.000000),(X=2018.448715,Y=-2241.715393,Z=100.000000),(X=2440.419388,Y=-1773.068962,Z=100.000000),(X=2755.732269,Y=-1226.932182,Z=100.000000),(X=2950.606155,Y=-627.171078,Z=100.000000),(X=3016.524582,Y=-0.000264,Z=100.000000),(X=2950.606613,Y=627.170506,Z=100.000000),(X=2755.732727,Y=1226.930237,Z=100.000000),(X=2440.419846,Y=1773.068733,Z=100.000000),(X=2018.449402,Y=2241.714706,Z=100.000000),(X=1508.262634,Y=2612.386780,Z=100.000000),(X=932.157440,Y=2868.885498,Z=100.000000),(X=315.312738,Y=2999.999771,Z=100.000000))","(X=352965.000000,Y=-122910.000000,Z=-1860.000000)"
10020200,10020200,"((X=341.272342,Y=1999.162929,Z=100.000000),(X=-308.765741,Y=2133.377394,Z=100.000000),(X=-945.309279,Y=2174.352780,Z=100.000000),(X=-1540.537983,Y=2120.298464,Z=100.000000),(X=-2068.435592,Y=1973.577412,Z=100.000000),(X=-2505.934915,Y=1740.600892,Z=100.000000),(X=-2833.912608,Y=1431.551531,Z=100.000000),(X=-3038.034119,Y=1059.937350,Z=100.000000),(X=-3109.379472,Y=641.998020,Z=100.000000),(X=-3044.829765,Y=196.000220,Z=100.000000),(X=-2847.206313,Y=-258.562852,Z=100.000000),(X=-2525.146123,Y=-701.826325,Z=100.000000),(X=-2092.725597,Y=-1114.415747,Z=100.000000),(X=-1568.842018,Y=-1478.300664,Z=100.000000),(X=-976.392798,Y=-1777.576217,Z=100.000000),(X=-341.270570,Y=-1999.163224,Z=100.000000),(X=308.766656,Y=-2133.377552,Z=100.000000),(X=945.309610,Y=-2174.352573,Z=100.000000),(X=1540.537753,Y=-2120.298384,Z=100.000000),(X=2068.436991,Y=-1973.576365,Z=100.000000),(X=2505.935577,Y=-1740.600476,Z=100.000000),(X=2833.912809,Y=-1431.550954,Z=100.000000),(X=3038.034493,Y=-1059.936278,Z=100.000000),(X=3109.379685,Y=-641.997408,Z=100.000000),(X=3044.829664,Y=-196.000508,Z=100.000000),(X=2847.206053,Y=258.563589,Z=100.000000),(X=2525.146173,Y=701.826469,Z=100.000000),(X=2092.724841,Y=1114.416172,Z=100.000000),(X=1568.841384,Y=1478.300885,Z=100.000000),(X=976.392193,Y=1777.576428,Z=100.000000))","(X=360360.000000,Y=-132515.000000,Z=-260.000000)"
10030200,10030200,"((X=-277.924330,Y=2200.000000,Z=100.000000),(X=-816.310829,Y=2061.766006,Z=100.000000),(X=-1303.405334,Y=1793.983582,Z=100.000000),(X=-1708.602158,Y=1413.478348,Z=100.000000),(X=-2006.441223,Y=944.159142,Z=100.000000),(X=-2178.207626,Y=415.515911,Z=100.000000),(X=-2213.109665,Y=-139.236731,Z=100.000000),(X=-2108.954254,Y=-685.239567,Z=100.000000),(X=-1872.285065,Y=-1188.187317,Z=100.000000),(X=-1517.972977,Y=-1616.477493,Z=100.000000),(X=-1068.281342,Y=-1943.197601,Z=100.000000),(X=-551.466602,Y=-2147.818985,Z=100.000000),(X=-0.000194,Y=-2217.485260,Z=100.000000),(X=551.466225,Y=-2147.818985,Z=100.000000),(X=1068.281593,Y=-1943.197601,Z=100.000000),(X=1517.973312,Y=-1616.477493,Z=100.000000),(X=1872.284561,Y=-1188.188240,Z=100.000000),(X=2108.953918,Y=-685.240616,Z=100.000000),(X=2213.109665,Y=-139.237308,Z=100.000000),(X=2178.207626,Y=415.514820,Z=100.000000),(X=2006.440720,Y=944.159058,Z=100.000000),(X=1708.601990,Y=1413.478348,Z=100.000000),(X=1303.405251,Y=1793.983582,Z=100.000000),(X=816.310829,Y=2061.765671,Z=100.000000),(X=277.924623,Y=2199.999664,Z=100.000000))","(X=375958.000000,Y=-136159.000000,Z=-260.009900)"
10030201,10030201,"((X=-454.785267,Y=3600.000000,Z=950.000000),(X=-1335.781357,Y=3373.798920,Z=950.000000),(X=-2132.845093,Y=2935.609497,Z=950.000000),(X=-2795.894440,Y=2312.964569,Z=950.000000),(X=-3283.267456,Y=1544.987686,Z=950.000000),(X=-3564.339752,Y=679.935127,Z=950.000000),(X=-3621.452179,Y=-227.841923,Z=950.000000),(X=-3451.016052,Y=-1121.301109,Z=950.000000),(X=-3063.739197,Y=-1944.306519,Z=950.000000),(X=-2483.955780,Y=-2645.144989,Z=950.000000),(X=-1748.096741,Y=-3179.777893,Z=950.000000),(X=-902.399895,Y=-3514.612885,Z=950.000000),(X=-0.000317,Y=-3628.612244,Z=950.000000),(X=902.399277,Y=-3514.612885,Z=950.000000),(X=1748.097153,Y=-3179.777893,Z=950.000000),(X=2483.956329,Y=-2645.144989,Z=950.000000),(X=3063.738373,Y=-1944.308029,Z=950.000000),(X=3451.015503,Y=-1121.302826,Z=950.000000),(X=3621.452179,Y=-227.842867,Z=950.000000),(X=3564.339752,Y=679.933342,Z=950.000000),(X=3283.266632,Y=1544.987549,Z=950.000000),(X=2795.894165,Y=2312.964569,Z=950.000000),(X=2132.844955,Y=2935.609497,Z=950.000000),(X=1335.781357,Y=3373.798370,Z=950.000000),(X=454.785748,Y=3599.999451,Z=950.000000))","(X=381474.160921,Y=-131250.583548,Z=760.000000)"
10041000,10041000,"((X=-126.329241,Y=1000.000000,Z=100.000000),(X=-371.050377,Y=937.166367,Z=100.000000),(X=-592.456970,Y=815.447083,Z=100.000000),(X=-776.637344,Y=642.490158,Z=100.000000),(X=-912.018738,Y=429.163246,Z=100.000000),(X=-990.094376,Y=188.870869,Z=100.000000),(X=-1005.958939,Y=-63.289423,Z=100.000000),(X=-958.615570,Y=-311.472530,Z=100.000000),(X=-851.038666,Y=-540.085144,Z=100.000000),(X=-689.987717,Y=-734.762497,Z=100.000000),(X=-485.582428,Y=-883.271637,Z=100.000000),(X=-250.666637,Y=-976.281357,Z=100.000000),(X=-0.000088,Y=-1007.947845,Z=100.000000),(X=250.666466,Y=-976.281357,Z=100.000000),(X=485.582542,Y=-883.271637,Z=100.000000),(X=689.987869,Y=-734.762497,Z=100.000000),(X=851.038437,Y=-540.085564,Z=100.000000),(X=958.615417,Y=-311.473007,Z=100.000000),(X=1005.958939,Y=-63.289685,Z=100.000000),(X=990.094376,Y=188.870373,Z=100.000000),(X=912.018509,Y=429.163208,Z=100.000000),(X=776.637268,Y=642.490158,Z=100.000000),(X=592.456932,Y=815.447083,Z=100.000000),(X=371.050377,Y=937.166214,Z=100.000000),(X=126.329374,Y=999.999847,Z=100.000000))","(X=379661.000000,Y=-144650.000000,Z=116.000000)"
10070400,10070400,"((X=385.858551,Y=2548.597592,Z=500.000000),(X=-665.889542,Y=2781.449296,Z=500.000000),(X=-1675.797045,Y=2839.532084,Z=500.000000),(X=-2580.408275,Y=2719.196440,Z=500.000000),(X=-3322.882933,Y=2428.003757,Z=500.000000),(X=-3856.567167,Y=1984.251292,Z=500.000000),(X=-4147.930316,Y=1415.820237,Z=500.000000),(X=-4178.664003,Y=758.429374,Z=500.000000),(X=-3946.836498,Y=53.382194,Z=500.000000),(X=-3467.014355,Y=-655.020074,Z=500.000000),(X=-2769.347118,Y=-1322.263925,Z=500.000000),(X=-1897.673164,Y=-1906.423900,Z=500.000000),(X=-906.759693,Y=-2370.797228,Z=500.000000),(X=141.128737,Y=-2686.204864,Z=500.000000),(X=1180.148687,Y=-2832.828363,Z=500.000000),(X=2145.016509,Y=-2801.454622,Z=500.000000),(X=2975.103868,Y=-2594.054830,Z=500.000000),(X=3618.255735,Y=-2223.661337,Z=500.000000),(X=4034.058563,Y=-1713.547365,Z=500.000000),(X=4196.386730,Y=-1095.764905,Z=500.000000),(X=4095.040530,Y=-409.130991,Z=500.000000),(X=3736.388308,Y=303.210009,Z=500.000000),(X=3142.964576,Y=996.499380,Z=500.000000),(X=2352.056709,Y=1627.174389,Z=500.000000),(X=1413.360611,Y=2155.608266,Z=500.000000))","(X=382837.000000,Y=-162957.000000,Z=-260.000000)"
10080200,10080200,"((X=667.430645,Y=1640.798138,Z=100.000000),(X=125.649840,Y=1846.150182,Z=100.000000),(X=-424.025881,Y=1935.501657,Z=100.000000),(X=-947.058651,Y=1903.238333,Z=100.000000),(X=-1410.584213,Y=1751.387592,Z=100.000000),(X=-1785.476655,Y=1489.491059,Z=100.000000),(X=-2048.181846,Y=1134.003876,Z=100.000000),(X=-2182.192133,Y=707.263973,Z=100.000000),(X=-2179.087311,Y=236.083137,Z=100.000000),(X=-2039.062364,Y=-249.932270,Z=100.000000),(X=-1770.915529,Y=-720.242789,Z=100.000000),(X=-1391.496207,Y=-1145.296964,Z=100.000000),(X=-924.643273,Y=-1498.388644,Z=100.000000),(X=-399.691690,Y=-1757.331191,Z=100.000000),(X=150.373527,Y=-1905.854110,Z=100.000000),(X=690.990789,Y=-1934.625114,Z=100.000000),(X=1188.189963,Y=-1841.836216,Z=100.000000),(X=1610.731418,Y=-1633.318235,Z=100.000000),(X=1932.064232,Y=-1322.173048,Z=100.000000),(X=2131.998386,Y=-927.950866,Z=100.000000),(X=2197.971358,Y=-475.421786,Z=100.000000),(X=2125.837925,Y=6.979695,Z=100.000000),(X=1920.130036,Y=488.942752,Z=100.000000),(X=1593.773138,Y=940.183326,Z=100.000000),(X=1167.273731,Y=1332.348859,Z=100.000000))","(X=370736.000000,Y=-170494.000000,Z=-260.000000)"
10080201,10080201,"((X=260.225965,Y=3061.726122,Z=100.000000),(X=-846.095506,Y=3170.845386,Z=100.000000),(X=-1899.253360,Y=3080.728554,Z=100.000000),(X=-2833.074356,Y=2797.037959,Z=100.000000),(X=-3588.882845,Y=2337.599275,Z=100.000000),(X=-4119.187133,Y=1731.281597,Z=100.000000),(X=-4390.668962,Y=1016.180015,Z=100.000000),(X=-4386.269254,Y=237.229694,Z=100.000000),(X=-4106.263660,Y=-556.628242,Z=100.000000),(X=-3568.245969,Y=-1315.512165,Z=100.000000),(X=-2806.022497,Y=-1991.736356,Z=100.000000),(X=-1867.487985,Y=-2542.811290,Z=100.000000),(X=-811.610478,Y=-2934.112919,Z=100.000000),(X=295.263420,Y=-3141.053712,Z=100.000000),(X=1383.583956,Y=-3150.630672,Z=100.000000),(X=2384.969804,Y=-2962.241517,Z=100.000000),(X=3236.497974,Y=-2587.723602,Z=100.000000),(X=3884.666364,Y=-2050.609662,Z=100.000000),(X=4288.746146,Y=-1384.648891,Z=100.000000),(X=4423.348313,Y=-631.685520,Z=100.000000),(X=4280.015254,Y=160.969589,Z=100.000000),(X=3867.753555,Y=943.510315,Z=100.000000),(X=3212.466155,Y=1666.766943,Z=100.000000),(X=2355.327612,Y=2285.293700,Z=100.000000),(X=1350.195309,Y=2760.227332,Z=100.000000))","(X=377540.913918,Y=-173720.905032,Z=-260.000000)"
