OID,Cid,Comment,StartDate,EndDate
1,1,,2022-03-01 00:00:00,2023-02-28 23:59:59
2,2,,2022-06-16 00:00:00,2023-06-16 23:59:59
3,3,,2021-05-06 00:00:00,2023-05-11 23:59:59
4,4,,2021-03-01 00:00:00,2021-03-31 23:59:59
5,5,,2021-03-01 00:00:00,2022-03-04 16:00:00
6,6,,2021-03-01 00:00:00,2022-03-04 16:30:00
7,7,,2021-03-01 00:00:00,2022-04-22 16:30:00
8,8,,2021-03-01 00:00:00,2022-06-30 16:30:00
9,9,,2022-09-19 00:00:00,2022-09-20 23:59:59
108,108,,2022-11-21 00:00:00,2024-12-31 23:59:59
122,122,,2023-03-21 00:00:00,2023-06-21 08:00:00
501,501,,2023-03-21 00:00:00,2023-03-29 08:00:00
515,515,,2023-03-21 00:00:00,2023-04-19 08:00:00
516,516,,2023-03-21 00:00:00,2023-04-19 08:00:00
517,517,,2023-03-29 09:00:00,2023-04-12 08:00:00
518,518,,2023-04-01 00:00:00,2023-05-03 08:00:00
519,519,,2023-03-29 09:00:00,2023-04-12 08:00:00
40101,40101,,2023-03-29 09:00:00,2023-04-05 08:00:00
40105,40105,,2023-04-05 09:00:00,2023-04-12 08:00:00
40501,40501,,2023-04-05 09:00:00,2023-04-19 08:00:00
40502,40502,,2023-04-05 09:00:00,2023-04-19 08:00:00
40503,40503,,2023-04-05 09:00:00,2023-04-19 08:00:00
40504,40504,,2023-04-05 09:00:00,2023-04-19 08:00:00
40505,40505,,2023-04-05 09:00:00,2023-04-19 08:00:00
41201,41201,,2023-04-12 09:00:00,2023-04-26 08:00:00
41202,41202,,2023-04-12 09:00:00,2023-04-26 08:00:00
41203,41203,,2023-04-12 09:00:00,2023-04-26 08:00:00
41901,41901,,2023-04-19 09:00:00,2023-05-03 08:00:00
41902,41902,,2023-04-19 09:00:00,2023-05-03 08:00:00
41903,41903,,2023-04-19 09:00:00,2023-05-03 08:00:00
41906,41906,,2023-04-19 09:00:00,2023-05-03 08:00:00
41907,41907,,2023-04-19 09:00:00,2023-05-03 08:00:00
42601,42601,,2023-04-26 09:00:00,2023-05-10 08:00:00
42602,42602,,2023-04-26 09:00:00,2023-05-10 08:00:00
42603,42603,,2023-04-26 09:00:00,2023-05-10 08:00:00
42604,42604,,2023-04-26 09:00:00,2023-05-10 08:00:00
42610,42610,,2023-04-26 09:00:00,2023-05-03 08:00:00
50307,50307,,2023-05-03 09:00:00,2023-05-10 08:00:00
50316,50316,,2023-05-03 09:00:00,2023-05-31 08:00:00
50317,50317,,2023-05-03 09:00:00,2023-05-31 08:00:00
51005,51005,,2023-05-10 09:00:00,2023-05-17 08:00:00
51006,51006,,2023-05-10 09:00:00,2023-05-17 08:00:00
51007,51007,,2023-05-10 09:00:00,2023-05-17 08:00:00
51008,51008,,2023-05-10 09:00:00,2023-05-17 08:00:00
51009,51009,,2023-05-10 09:00:00,2023-05-17 08:00:00
51010,51010,,2023-05-10 09:00:00,2023-05-31 08:00:00
51011,51011,,2023-05-10 09:00:00,2023-05-17 08:00:00
51702,51702,,2023-05-17 09:00:00,2023-05-24 08:00:00
52401,52401,,2023-05-24 09:00:00,2023-05-31 08:00:00
52402,52402,,2023-05-25 09:00:00,2023-05-31 08:00:00
52403,52403,,2023-05-26 09:00:00,2023-05-31 08:00:00
52404,52404,,2023-05-27 09:00:00,2023-05-31 08:00:00
52405,52405,,2023-05-28 09:00:00,2023-05-31 08:00:00
52406,52406,,2023-05-29 09:00:00,2023-05-31 08:00:00
52407,52407,,2023-05-30 09:00:00,2023-05-31 08:00:00
53101,53101,,2023-05-31 09:00:00,2023-06-14 08:00:00
53102,53102,,2023-05-31 09:00:00,2023-06-07 08:00:00
53103,53103,,2023-05-31 09:00:00,2023-06-07 08:00:00
53104,53104,,2023-05-31 09:00:00,2023-06-07 08:00:00
53105,53105,,2023-05-31 09:00:00,2023-06-07 08:00:00
53108,53108,,2023-05-31 09:00:00,2023-06-07 08:00:00
60701,60701,,2023-06-07 09:00:00,2023-06-14 08:00:00
61402,61402,,2023-06-14 09:00:00,2023-06-21 08:00:00
61403,61403,,2023-06-14 09:00:00,2023-06-21 08:00:00
61404,61404,,2023-06-14 09:00:00,2023-06-21 08:00:00
61405,61405,,2023-06-14 09:00:00,2023-06-21 08:00:00
61406,61406,,2023-06-14 09:00:00,2023-06-21 08:00:00
61407,61407,,2023-06-14 09:00:00,2023-06-21 08:00:00
61408,61408,,2023-06-14 09:00:00,2023-06-21 08:00:00
62101,62101,,2023-06-21 09:00:00,2023-06-28 08:00:00
62102,62102,,2023-06-21 09:00:00,2023-06-28 08:00:00
62103,62103,,2023-06-21 09:00:00,2023-06-28 08:00:00
62104,62104,,2023-06-21 09:00:00,2023-06-28 08:00:00
62105,62105,,2023-06-21 09:00:00,2023-06-28 08:00:00
62110,62110,,2023-06-21 09:00:00,2023-07-05 08:00:00
62802,62802,,2023-06-28 09:00:00,2023-07-12 08:00:00
62803,62803,,2023-06-28 09:00:00,2023-07-12 08:00:00
62804,62804,,2023-06-28 09:00:00,2023-07-12 08:00:00
62805,62805,,2023-11-29 09:00:00,2023-12-06 08:00:00
62806,62806,,2023-11-29 09:00:00,2023-12-06 08:00:00
62807,62807,,2023-11-29 09:00:00,2023-12-06 08:00:00
62808,62808,,2023-11-29 09:00:00,2023-12-06 08:00:00
70502,70502,,2023-07-05 09:00:00,2023-07-12 08:00:00
71204,71204,,2023-12-13 09:00:00,2023-12-20 08:00:00
71205,71205,,2023-12-13 09:00:00,2023-12-20 08:00:00
71206,71206,,2023-12-13 09:00:00,2023-12-20 08:00:00
71901,71901,,2023-07-19 09:00:00,2023-07-26 08:00:00
71902,71902,,2023-07-19 09:00:00,2023-07-26 08:00:00
80201,80201,,2023-08-02 09:00:00,2023-08-09 08:00:00
80901,80901,,2023-08-09 09:00:00,2023-08-16 08:00:00
81601,81601,,2023-08-16 09:00:00,2023-08-23 08:00:00
81602,81602,,2023-08-16 09:00:00,2023-08-23 08:00:00
81603,81603,,2023-08-16 09:00:00,2023-08-23 08:00:00
81604,81604,,2023-08-16 09:00:00,2023-08-23 08:00:00
82308,82308,,2023-08-16 09:00:00,2023-08-29 22:59:59
82309,82309,,2023-08-16 09:00:00,2023-08-29 22:59:59
82310,82310,,2023-08-16 09:00:00,2023-08-29 22:59:59
83008,83008,,2023-08-30 09:00:00,2023-09-06 08:00:00
83009,83009,,2023-08-30 09:00:00,2023-09-06 08:00:00
83010,83010,,2023-08-30 09:00:00,2023-09-06 08:00:00
83011,83011,,2023-08-30 09:00:00,2023-09-06 08:00:00
90601,90601,,2023-09-06 09:00:00,2023-09-13 08:00:00
92701,92701,,2023-09-26 09:00:00,2023-10-25 08:00:00
92703,92703,,2023-09-26 09:00:00,2023-10-04 08:00:00
92704,92704,,2023-09-27 09:00:00,2023-10-11 08:00:00
100001,100001,,2023-01-31 00:00:00,2023-05-31 08:00:00
100002,100002,,2023-03-21 05:00:00,2023-05-03 08:00:00
100003,100003,,2023-03-21 05:00:00,2023-05-03 08:00:00
100004,100004,,2023-03-21 05:00:00,2023-05-17 08:00:00
100005,100005,,2023-03-21 05:00:00,2023-05-31 08:00:00
100006,100006,,2023-03-29 09:00:00,2023-04-12 08:00:00
100007,100007,,2023-03-29 09:00:00,2023-04-12 08:00:00
100008,100008,,2023-04-05 09:00:00,2023-04-26 08:00:00
100009,100009,,2023-04-05 09:00:00,2023-04-26 08:00:00
100010,100010,,2023-04-30 09:00:00,2023-06-21 08:00:00
100011,100011,,2023-04-26 09:00:00,2023-05-24 08:00:00
100012,100012,,2023-04-26 09:00:00,2023-05-24 08:00:00
100013,100013,,2023-05-03 09:00:00,2023-05-24 08:00:00
100014,100014,,2023-05-03 09:00:00,2023-05-24 08:00:00
100015,100015,,2023-04-05 09:00:00,2023-04-19 08:00:00
100016,100016,,2023-04-05 09:00:00,2023-04-26 08:00:00
100017,100017,,2023-05-24 09:00:00,2023-06-14 08:00:00
100018,100018,,2023-05-24 09:00:00,2023-06-14 08:00:00
100019,100019,,2023-05-24 09:00:00,2023-06-07 08:00:00
100020,100020,,2023-05-24 09:00:00,2023-06-07 08:00:00
100021,100021,,2023-05-24 09:00:00,2023-07-12 08:00:00
100022,100022,,2023-05-03 09:00:00,2023-05-10 08:00:00
100023,100023,,2023-05-03 09:00:00,2023-05-31 08:00:00
100026,100026,,2023-04-25 09:00:00,2023-06-21 08:00:00
100027,100027,,2023-06-14 09:00:00,2023-07-05 08:00:00
100028,100028,,2023-06-14 09:00:00,2023-07-05 08:00:00
100029,100029,,2023-05-31 09:00:00,2023-06-07 08:00:00
100030,100030,,2023-05-31 09:00:00,2023-06-28 08:00:00
100031,100031,,2023-06-28 09:00:00,2023-07-12 08:00:00
100032,100032,,2023-06-28 09:00:00,2023-07-12 08:00:00
100033,100033,,2023-07-12 09:00:00,2023-08-02 08:00:00
100034,100034,,2023-07-12 09:00:00,2023-08-02 08:00:00
100035,100035,,2023-07-19 09:00:00,2023-08-02 08:00:00
100036,100036,,2023-07-19 09:00:00,2023-08-02 08:00:00
100037,100037,,2023-07-26 09:00:00,2023-08-16 08:00:00
100038,100038,,2023-07-26 09:00:00,2023-08-16 08:00:00
100039,100039,,2023-08-02 09:00:00,2023-08-16 08:00:00
100040,100040,,2023-08-02 09:00:00,2023-08-16 08:00:00
100041,100041,,2023-08-16 09:00:00,2023-09-06 08:00:00
100042,100042,,2023-08-16 09:00:00,2023-09-06 08:00:00
100043,100043,,2023-08-23 09:00:00,2023-09-06 08:00:00
100044,100044,,2023-08-23 09:00:00,2023-09-06 08:00:00
100045,100045,,2023-07-26 09:00:00,2023-08-02 08:00:00
100046,100046,,2023-07-26 09:00:00,2023-08-30 08:00:00
100047,100047,,2023-08-30 09:00:00,2023-09-20 08:00:00
100048,100048,,2023-08-30 09:00:00,2023-09-20 08:00:00
100049,100049,,2023-09-06 09:00:00,2023-09-20 08:00:00
100050,100050,,2023-09-06 09:00:00,2023-09-20 08:00:00
100051,100051,,2023-09-13 09:00:00,2023-10-04 08:00:00
100052,100052,,2023-09-13 09:00:00,2023-10-04 08:00:00
100053,100053,,2023-09-20 09:00:00,2023-10-04 08:00:00
100054,100054,,2023-09-20 09:00:00,2023-10-04 08:00:00
100055,100055,,2023-08-30 09:00:00,2023-09-06 08:00:00
100056,100056,,2023-08-30 09:00:00,2023-09-27 08:00:00
100057,100057,,2023-09-26 09:00:00,2023-10-18 08:00:00
100058,100058,,2023-09-26 09:00:00,2023-10-18 08:00:00
100059,100059,,2023-09-26 09:00:00,2023-10-04 08:00:00
100060,100060,,2023-09-26 09:00:00,2023-10-25 08:00:00
100061,100061,,2023-10-04 09:00:00,2023-10-18 08:00:00
100062,100062,,2023-10-04 09:00:00,2023-10-18 08:00:00
100063,100063,,2023-10-11 09:00:00,2023-11-01 08:00:00
100064,100064,,2023-10-11 09:00:00,2023-11-01 08:00:00
100065,100065,,2023-10-18 09:00:00,2023-11-01 08:00:00
100066,100066,,2023-10-18 09:00:00,2023-11-01 08:00:00
100067,100067,,2023-10-25 09:00:00,2023-11-08 08:00:00
100068,100068,,2023-10-25 09:00:00,2023-11-08 08:00:00
100069,100069,,2023-11-01 09:00:00,2023-11-22 08:00:00
100070,100070,,2023-11-01 09:00:00,2023-11-22 08:00:00
100071,100071,,2023-11-15 09:00:00,2023-11-29 08:00:00
100072,100072,,2023-11-15 09:00:00,2023-11-29 08:00:00
100073,100073,,2023-11-22 09:00:00,2023-12-13 08:00:00
100074,100074,,2023-11-22 09:00:00,2023-12-13 08:00:00
100075,100075,,2023-11-29 09:00:00,2023-12-13 08:00:00
100076,100076,,2023-11-29 09:00:00,2023-12-13 08:00:00
100077,100077,,2023-12-06 09:00:00,2023-12-27 08:00:00
