OID,Cid,Milestone,Comment,DescName,Desc,GroupCid,SkillLevel,SkillCid,LevelUpPoint,UpgradeStepCondition
8000,8000,Dev,구르기,구르기,지정한 방향으로 굴러서 이동합니다.,8000,1,8000,1,1
10001,10001,Dev,어둠의 일격 단일 leap 테스트,투사체 스킬 (테스트용),어둠의 일격 단일 leap 테스트,10001,1,10001,1,0
30011,30011,Dev,유체화 1T,순풍,,30011,1,30011,1,0
30021,30021,Dev,유체화 2T,순풍,,30021,1,30021,1,0
30031,30031,Dev,유체화 3T,순풍,,30031,1,30031,1,0
30041,30041,Dev,유체화 4T,순풍,일정 시간 동안 이동 속도가 증가합니다. 레벨업 효과  이동 속도 증가,30041,1,30041,1,0
30051,30051,Dev,유체화 5T,순풍,,30051,1,30051,1,0
30061,30061,Dev,유체화 6T,순풍,,30061,1,30061,1,0
30071,30071,Dev,유체화 7T,순풍,,30071,1,30071,1,0
30111,30111,Dev,고양 1T,고양,,30111,1,30111,1,0
30121,30121,Dev,고양 2T,고양,,30121,1,30121,1,0
30131,30131,Dev,고양 3T,고양,,30131,1,30131,1,0
30141,30141,Dev,고양 4T,고양,,30141,1,30141,1,0
30151,30151,Dev,고양 5T,고양,,30151,1,30151,1,0
30161,30161,Dev,고양 6T,고양,,30161,1,30161,1,0
30171,30171,Dev,고양 7T,고양,,30171,1,30171,1,0
30211,30211,Dev,점멸 1T,섬광,,30211,1,30211,1,0
30241,30241,Dev,점멸 4T,섬광,지정한 방향으로 짧은 거리를 즉시 이동합니다. 레벨업 효과  이동거리 증가,30241,1,30241,1,0
30251,30251,Dev,점멸 5T,섬광,,30251,1,30251,1,0
30311,30311,Dev,정화 1T,축복,,30311,1,30311,1,0
30341,30341,Dev,정화 4T,축복,자신에게 적용된 해로운 상태 효과를 제거합니다. 레벨업 효과  재사용 대기시간 감소,30341,1,30341,1,0
30351,30351,Dev,정화 5T,축복,,30351,1,30351,1,0
30411,30411,Dev,회복 1T,치유,,30411,1,30411,1,0
30441,30441,Dev,회복 4T,치유,즉시 자신의 HP를 회복합니다. 레벨업 효과  회복량 증가,30441,1,30441,1,0
30451,30451,Dev,회복 5T,치유,,30451,1,30451,1,0
30511,30511,Dev,방어막 1T,방어막,,30511,1,30511,1,0
30521,30521,Dev,방어막 2T,방어막,,30521,1,30521,1,0
30531,30531,Dev,방어막 3T,방어막,,30531,1,30531,1,0
30541,30541,Dev,방어막 4T,방어막,일정 시간 동안 피해를 흡수하는 보호막을 생성합니다. 레벨업 효과  피해 흡수량 증가,30541,1,30541,1,0
30551,30551,Dev,방어막 5T,방어막,,30551,1,30551,1,0
30611,30611,Dev,탈진 1T,탈진,,30611,1,30611,1,0
30641,30641,Dev,탈진 4T,탈진,,30641,1,30641,1,0
30651,30651,Dev,탈진 5T,탈진,,30651,1,30651,1,0
30711,30711,Dev,억제 1T,억제,,30711,1,30711,1,0
30741,30741,Dev,억제 4T,억제,,30741,1,30741,1,0
30751,30751,Dev,억제 5T,억제,,30751,1,30751,1,0
30811,30811,Dev,총명 1T,총명,,30811,1,30811,1,0
30841,30841,Dev,총명 4T,총명,,30841,1,30841,1,0
30851,30851,Dev,총명 5T,총명,,30851,1,30851,1,0
30911,30911,Dev,점화 1T,화상,,30911,1,30911,1,0
30941,30941,Dev,점화 4T,화상,대상에게 화상 효과를 부여하여 일정 시간 동안 지속 피해를 입힙니다. 레벨업 효과  화상 피해 증가,30941,1,30941,1,0
