OID,Cid,Comment,MonsterCid,Interval,SpawnerScheduleCids
1,1,푸른 멧돼지,1,10000,
2,2,붉은 멧돼지,2,10000,
3,3,물소,3,10000,
4,4,늑대,4,10000,
5,5,스켈레톤 마법병,5,10000,
6,6,거북이,6,10000,
7,7,악어,7,10000,
95001101,95001101,허수아비,95001101,3000,
101103,101103,누이 신관,101103,60000,
101701,101701,이니스 마차,101701,3600000,
101801,101801,안드리온,101801,3600000,
95003111,95003111,몬스터 소환,95003111,3600000,
95003112,95003112,호위병 소환,95003112,3600000,
10290101,10290101,놀 투척꾼(퀘스트),10290101,20000,
10290102,10290102,놀 약탈꾼(퀘스트),10290102,20000,
10290103,10290103,놀 싸움꾼(퀘스트),10290103,20000,
10290801,10290801,놀 우두머리(퀘스트),10290801,300000,
10190301,10190301,"물 정령(선공,퀘스트)",10190301,40000,
10190302,10190302,"나무 정령(선공,퀘스트)",10190302,40000,
10190303,10190303,"바위 정령(선공,퀘스트)",10190303,40000,
10190304,10190304,"이끼 정령(선공,퀘스트)",10190304,40000,
10390801,10390801,오크 족장(퀘스트),10390801,0,
10890101,10890101,피 묻은 손 전사(퀘스트),10890101,0,
10890701,10890701,피 묻은 손 지휘관(퀘스트),10890701,0,
90101100,90101100,상자,90101101,5000,
90101101,90101101,상자,90101101,0,
90101102,90101102,상자,90101102,0,
90101103,90101103,상자,90101103,0,
90101104,90101104,목책,90101104,0,
90101105,90101105,목책,90101105,0,
90101106,90101106,상자,90101106,0,
90101107,90101107,상자,90101107,0,
90101108,90101108,통,90101108,0,
90101109,90101109,통,90101109,0,
10201101,10201101,놀 투척꾼,10201101,25000,
10201102,10201102,놀 약탈꾼,10201102,25000,
10201103,10201103,놀 싸움꾼,10201103,25000,
10201801,10201801,놀 우두머리,10201801,300000,
10201104,10201104,놀 지원병,10201104,0,
10201105,10201105,놀 투척꾼,10201105,25000,
10201106,10201106,놀 약탈꾼,10201106,25000,
10201107,10201107,놀 싸움꾼,10201107,25000,
10301101,10301101,오크 탐색꾼,10301101,25000,
10301102,10301102,오크 사냥꾼,10301102,25000,
10301103,10301103,오크 주술사,10301103,25000,
10301301,10301301,오크 전사,10301301,60000,
10301801,10301801,오크 족장,10301801,300000,
10302101,10302101,오크 탐색꾼,10302101,25000,
10302102,10302102,오크 사냥꾼,10302102,25000,
10302103,10302103,오크 주술사,10302103,25000,
10302301,10302301,오크 전사,10302301,60000,
10302801,10302801,오크 족장,10302801,300000,
10001101,10001101,이니스 바위게,10001101,10000,
10001102,10001102,이니스 악어거북,10001102,10000,
10001103,10001103,이니스 바위게,10001103,20000,
10001104,10001104,이니스 악어거북,10001104,20000,
10401101,10401101,스켈레톤 궁병,10401101,10000,
10401102,10401102,스켈레톤 창병,10401102,10000,
10401103,10401103,스켈레톤 마법병,10401103,10000,
10401104,10401104,스켈레톤 전사,10401104,10000,
95001106,95001106,허수아비- 1 - Mob,95001106,10000,
95001107,95001107,허수아비- 2 - Mob,95001107,10000,
10601101,10601101,나차쉬 투사,10601101,10000,
10601102,10601102,나차쉬 주술사,10601102,10000,
10601103,10601103,나차쉬 전사,10601103,10000,
10601104,10601104,나차쉬 지휘관,10601104,10000,
10701101,10701101,팬텀 궁병,10701101,10000,
10701102,10701102,팬텀 대검병,10701102,10000,
10701103,10701103,팬텀 창병,10701103,10000,
10701104,10701104,팬텀 검병,10701104,10000,
10701105,10701105,팬텀 양손도끼병,10701105,10000,
10901501,10901501,오우거 도끼,10901501,900000,
10901502,10901502,오우거 곤봉,10901502,900000,
10901503,10901503,오우거 대검,10901503,900000,
10402301,10402301,스켈레톤 전사,10402301,300000,
10402302,10402302,스켈레톤 궁병,10402302,300000,
10402303,10402303,스켈레톤 궁병,10402303,300000,
10402304,10402304,스켈레톤 창병,10402304,300000,
10402305,10402305,스켈레톤 마법병,10402305,300000,
10402306,10402306,스켈레톤 창병,10402306,300000,
10402307,10402307,스켈레톤 궁병,10402307,300000,
10402308,10402308,스켈레톤 전사,10402308,300000,
10402309,10402309,스켈레톤 전사,10402309,300000,
10402310,10402310,스켈레톤 창병,10402310,300000,
10402311,10402311,스켈레톤 마법병,10402311,300000,
10402312,10402312,스켈레톤 전사,10402312,300000,
10402313,10402313,스켈레톤 궁병,10402313,300000,
10402314,10402314,스켈레톤 마법병,10402314,300000,
10402315,10402315,스켈레톤 창병,10402315,300000,
10706301,10706301,팬텀 창병,10706301,300000,
10706302,10706302,팬텀 양손도끼병,10706302,300000,
10702301,10702301,팬텀 대검병,10702301,300000,
10702302,10702302,팬텀 대검병,10702302,300000,
10702801,10702801,팬텀 대장,10702801,300000,
10102105,10102105,2T 물정령_1인 던전,10102105,900000,
10102307,10102307,2T 물정령_1인 던전,10102307,900000,
10102308,10102308,2T 바위 정령_1인 던전,10102308,900000,
10402320,10402320,2T 스켈레톤 궁병_1인 던전,10402320,900000,
10402321,10402321,2T 스켈레톤 전사_1인 던전,10402321,900000,
10402322,10402322,2T 스켈레톤 전사_1인 던전,10402322,900000,
10402323,10402323,2T 스켈레톤 창병_1인 던전,10402323,900000,
10402324,10402324,2T 스켈레톤 궁병_1인 던전,10402324,900000,
10402325,10402325,2T 스켈레톤 전사_1인 던전,10402325,900000,
10402326,10402326,2T 스켈레톤 창병_1인 던전,10402326,900000,
10402327,10402327,2T 스켈레톤 마법병_1인 던전 (생명력 회복 버프)_1구역,10402327,900000,
10402328,10402328,2T 스켈레톤 마법병_1인 던전 (마나 회복 버프)_1구역,10402328,900000,
10402329,10402329,2T 스켈레톤 전사_1인 던전,10402329,900000,
10402330,10402330,2T 스켈레톤 창병_1인 던전_2구역 두번째_땅속 스폰,10402330,900000,
10402331,10402331,2T 스켈레톤 마법병_1인 던전 (생명력 회복 버프)_2구역 두번째,10402331,900000,
10402332,10402332,2T 스켈레톤 마법병_1인 던전 (마나 회복 버프)_2구역 두번째,10402332,900000,
10402333,10402333,2T 스켈레톤 마법병_1인 던전 (생명력 회복 버프)_2구역 첫번째,10402333,900000,
10402334,10402334,2T 스켈레톤 마법병_1인 던전 (마나 회복 버프)_2구역 첫번째,10402334,900000,
10402335,10402335,2T 스켈레톤 궁병_1인 던전_2구역 두번째_땅속 스폰,10402335,900000,
10402336,10402336,2T 스켈레톤 전사_1인 던전_3구역 첫번째 _기어오르는 스폰,10402336,900000,
10402337,10402337,2T 스켈레톤 창병_1인 던전_3구역 첫번째 _기어오르는 스폰,10402337,900000,
10402338,10402338,2T 스켈레톤 마법병_1인 던전_3구역 첫번째 _기어오르는 스폰,10402338,900000,
