OID,Cid,Comment,Category,Value
1,1,에러 방지,AttackVary,1
10,10,방어력 감소,PhysicalDefenseVary,-500
11,11,PC_공용_치명상 Lv.1 ,HealAcceptVaryper,-100
12,12,PC_공용_치명상 Lv.2,HealAcceptVaryper,-200
13,13,PC_공용_치명상 Lv.3,HealAcceptVaryper,-300
14,14,PC_공용_치명상 Lv.4,HealAcceptVaryper,-400
15,15,PC_공용_치명상 Lv.5,HealAcceptVaryper,-500
16,16,PC_공용_느려짐 Lv.1,MoveSpeedVaryper,-100
17,17,PC_공용_느려짐 Lv.2,MoveSpeedVaryper,-150
18,18,PC_공용_느려짐 Lv.3,MoveSpeedVaryper,-200
19,19,PC_공용_느려짐 Lv.4,MoveSpeedVaryper,-250
20,20,PC_공용_느려짐 Lv.5,MoveSpeedVaryper,-300
100,100,기본 크리 피해량,CriDamageVaryper,200
101,101,체력 Lv.1,MaxHpVary,1500
102,102,체력 Lv.2,MaxHpVary,1600
103,103,체력 Lv.3,MaxHpVary,1700
104,104,체력 Lv.4,MaxHpVary,1800
105,105,체력 Lv.5,MaxHpVary,1900
106,106,체력 Lv.6,MaxHpVary,2000
107,107,체력 Lv.7,MaxHpVary,2100
108,108,체력 Lv.8,MaxHpVary,2200
109,109,체력 Lv.9,MaxHpVary,2300
110,110,체력 Lv.10,MaxHpVary,2400
111,111,체력 Lv.11,MaxHpVary,2500
112,112,체력 Lv.12,MaxHpVary,2600
113,113,체력 Lv.13,MaxHpVary,2700
114,114,체력 Lv.14,MaxHpVary,2800
115,115,체력 Lv.15,MaxHpVary,2900
116,116,체력 Lv.16,MaxHpVary,3000
117,117,체력 Lv.17,MaxHpVary,3100
118,118,체력 Lv.18,MaxHpVary,3200
119,119,체력 Lv.19,MaxHpVary,3300
120,120,체력 Lv.20,MaxHpVary,3400
121,121,체력 Lv.21,MaxHpVary,3500
122,122,체력 Lv.22,MaxHpVary,3600
123,123,체력 Lv.23,MaxHpVary,3700
124,124,체력 Lv.24,MaxHpVary,3800
125,125,체력 Lv.25,MaxHpVary,3900
126,126,체력 Lv.26,MaxHpVary,4000
127,127,체력 Lv.27,MaxHpVary,4100
128,128,체력 Lv.28,MaxHpVary,4200
129,129,체력 Lv.29,MaxHpVary,4300
130,130,체력 Lv.30,MaxHpVary,4400
131,131,체력 Lv.31,MaxHpVary,4500
132,132,체력 Lv.32,MaxHpVary,4600
133,133,체력 Lv.33,MaxHpVary,4700
134,134,체력 Lv.34,MaxHpVary,4800
135,135,체력 Lv.35,MaxHpVary,4900
136,136,체력 Lv.36,MaxHpVary,5000
137,137,체력 Lv.37,MaxHpVary,5100
138,138,체력 Lv.38,MaxHpVary,5200
139,139,체력 Lv.39,MaxHpVary,5300
140,140,체력 Lv.40,MaxHpVary,5400
141,141,체력 Lv.41,MaxHpVary,5500
142,142,체력 Lv.42,MaxHpVary,5600
