OID,Cid,Comment,DescName,Description,StatusTagConditionCids,ConditionStatType,ConditionStatValue,LevelConditionKind,MinLevel,MaxLevel,ConditionComparisonOperators,Chance,DurationMin,DurationMax,OverlapKind,IngradualStackDecay,NeedWeapon,RemainOnChange,FrameHold,Negative,TagCids,StatusVisible,StatusChangeEffectCids,RemovalEffectCids,FullStackCount,FullStackSwitchStatusChangeCid
1,1,에러방지용,,,,None,0,None,0,999,None,1000,5000,5000,Overwrite,FALSE,None,FALSE,FALSE,None,,FALSE,[1],,,
2,2,캐슬 게이트,,,,None,0,None,0,999,None,1000,500000,500000,Overwrite,FALSE,None,FALSE,FALSE,None,,FALSE,[2],,,
3,3,공용 기절,,,,None,0,None,0,999,None,1000,2400,2400,Overwrite,FALSE,None,FALSE,FALSE,Stun,[101],TRUE,[3],,,
38,38,점프,,,,None,0,None,0,999,None,1000,450,450,Overwrite,FALSE,None,TRUE,FALSE,None,[38],FALSE,,,,
100,100,저주,저주,받는 피해 증가,,None,0,None,0,999,None,1000,10000,10000,Overwrite,FALSE,None,TRUE,FALSE,None,,TRUE,[100],,,
101,101,공용_중독 Lv.1,중독 Lv.1,"중독되었습니다. 
3초 동안 1초 간격으로 피해를 받습니다.",,None,0,None,0,999,None,1000,2900,2900,Overwrite,FALSE,None,TRUE,FALSE,None,[145],TRUE,[101],,,
102,102,공용_중독 Lv.2,중독 Lv.2,"중독되었습니다. 
3초 동안 1초 간격으로 피해를 받습니다.",,None,0,None,0,999,None,1000,2900,2900,Overwrite,FALSE,None,TRUE,FALSE,None,[145],TRUE,[102],,,
103,103,공용_중독 Lv.3,중독 Lv.3,"중독되었습니다. 
3초 동안 1초 간격으로 피해를 받습니다.",,None,0,None,0,999,None,1000,2900,2900,Overwrite,FALSE,None,TRUE,FALSE,None,[145],TRUE,[103],,,
104,104,공용_중독 Lv.4,중독 Lv.4,"중독되었습니다. 
3초 동안 1초 간격으로 피해를 받습니다.",,None,0,None,0,999,None,1000,2900,2900,Overwrite,FALSE,None,TRUE,FALSE,None,[145],TRUE,[104],,,
105,105,공용_중독 Lv.5,중독 Lv.5,"중독되었습니다. 
3초 동안 1초 간격으로 피해를 받습니다.",,None,0,None,0,999,None,1000,2900,2900,Overwrite,FALSE,None,TRUE,FALSE,None,[145],TRUE,[105],,,
106,106,치명상 Lv.1,치명상 Lv.1,치명상을 입어 치유 효과가 감소합니다.,,None,0,None,0,999,None,3000,3000,3000,Overwrite,FALSE,None,TRUE,FALSE,None,[170],TRUE,[106],,,
107,107,치명상 Lv.2,치명상 Lv.2,치명상을 입어 치유 효과가 감소합니다.,,None,0,None,0,999,None,3500,3500,3000,Overwrite,FALSE,None,TRUE,FALSE,None,[170],TRUE,[107],,,
108,108,치명상 Lv.3,치명상 Lv.3,치명상을 입어 치유 효과가 감소합니다.,,None,0,None,0,999,None,4000,4000,3000,Overwrite,FALSE,None,TRUE,FALSE,None,[170],TRUE,[108],,,
