OID,Cid,Comment
1,1,에러 방지(미사용)
10,10,마을
13,13,길드 거점
15,15,"마을, 바다"
38,38,점프
100,100,이로운 효과
101,101,기절
103,103,피해 면역
105,105,봉쇄
107,107,속박
109,109,어둠
111,111,대상 지정 불가
113,113,무적
115,115,부유
117,117,은신
119,119,정화
121,121,넘어짐
123,123,도발
125,125,매혹
127,127,공포
129,129,실명
131,131,유령화
133,133,화상
135,135,빙결
137,137,석화
139,139,당겨짐
140,140,밀림
141,141,느려짐
143,143,출혈
145,145,중독
147,147,약화
149,149,탈 것 탑승
151,151,이동속도 증가
153,153,평화 지역
155,155,공격속도 증가
157,157,시전시간 감소
159,159,변신 상태
160,160,띄워짐
161,161,창 꽂힘
162,162,변이
163,163,감속(공격 속도 감소)
164,164,약화(공격력 감소)
165,165,노출(방어력 감소)
166,166,치명상(체력 DOT 피해)
167,167,마력 고갈(마력 DOT 피해)
170,170,치명상
701,701,지역: 이니스 섬
4000,4000,정박 모드
4001,4001,쾌속정
4002,4002,돌격함
4003,4003,포격함
4004,4004,지원함
5000,5000,영웅 1티어
5100,5100,영웅 2티어
5200,5200,전설 이상 태그
6001,6001,연막
6002,6002,좌초
6003,6003,둔화
6004,6004,결함
6005,6005,손상
6006,6006,결박
6007,6007,침수
7000,7000,탈것 회복 체크용
7001,7001,탈것 질주 사용
7002,7002,등짐 착용(일반)
8000,8000,구르기 태그
90001,90001,던전: 이즈나의 메아리
100001,100001,신비한 가시 나무_SC 대미지 중첩 막는 테그
100002,100002,신비한 가시 나무 테그
100049,100049,신비한 가시 나무 1타 썼음
100051,100051,가시 덩쿨 자라남(부유)
100100,100100,치유 꽃잎
100150,100150,치유의 바람_치유
100200,100200,결정타
100701,100701,폭주하는 광휘 Lv.1
100751,100751,광휘의 심판(본인) Lv.1
200001,200001,결정타 Lv.1
200003,200003,결정타 Lv.2
200005,200005,결정타 Lv.3
200007,200007,결정타 Lv.4
200009,200009,결정타 Lv.5
200100,200100,휘몰이 1타 썼음
200401,200401,1티어 양손검 Q 스킬  1타 썼음
200451,200451,1티어 양손검 W 스킬 1타 썼음
200601,200601,2티어 양손검 Q 스킬 몰아치기(2중첩)
200606,200606,2티어 양손검 Q 스킬 일반 공격 강화(3타 띄우기) 체크
300001,300001,충격 사격 (Lv.1)
300002,300002,충격 사격 (Lv.2)
300003,300003,충격 사격 (Lv.3)
300004,300004,충격 사격 (Lv.4)
300005,300005,충격 사격 (Lv.5)
300301,300301,연속쏘기 Lv.1
300302,300302,연속쏘기 Lv.2
300303,300303,연속쏘기 Lv.3
300304,300304,연속쏘기 Lv.4
300305,300305,연속쏘기 Lv.5
300611,300611,2티어 활 Q 스킬 Lv.1
400050,400050,빙결 태그
400156,400156,심판의 낙뢰 사용했음
400157,400157,심판의 낙뢰 사용했음
400158,400158,심판의 낙뢰 사용했음
400159,400159,심판의 낙뢰 사용했음
400160,400160,심판의 낙뢰 사용했음
500001,500001,Q_내리꽂기 Lv.1
500002,500002,Q_내리꽂기 Lv.2
500003,500003,Q_내리꽂기 Lv.3
500004,500004,Q_내리꽂기 Lv.4
500005,500005,Q_내리꽂기 Lv.5
500151,500151,어둠의 일격 1타 사용했음
500251,500251,W_무기 연마 Lv.1
500252,500252,W_무기 연마 Lv.2
500253,500253,W_무기 연마 Lv.3
500254,500254,W_무기 연마 Lv.4
500255,500255,W_무기 연마 Lv.5
500301,500301,쌍수 달인 Lv.1 
500302,500302,쌍수 달인 Lv.2
500303,500303,쌍수 달인 Lv.3
500304,500304,쌍수 달인 Lv.4
500305,500305,쌍수 달인 Lv.5
500356,500356,암살자의 분노 반응형 기술 Lv.1
500357,500357,암살자의 분노 반응형 기술 Lv.2
500358,500358,암살자의 분노 반응형 기술 Lv.3
500359,500359,암살자의 분노 반응형 기술 Lv.4
500360,500360,암살자의 분노 반응형 기술 Lv.5
500451,500451,어둠의 일격 1타 사용했음
500551,500551,암살자의 분노
500601,500601,피냄새
500651,500651,침묵의 일격 Lv.1
500750,500750,전율의 매
500761,500761,전율의 매 사용 가능
800027,800027,이즈나의 메아리 몬스터 패시브 SC
800029,800029,이즈나의 메아리 탐험가 패시브 SC
13120004,13120004,은신_하드코딩_제거 금지
10000001,10000001,화상
20000001,20000001,보스 몬스터 그룹
30000001,30000001,몬스터 놀 그룹
30000002,30000002,몬스터 오크 그룹
30000003,30000003,몬스터 정령 그룹
21000001,21000001,이즈나의 메아리 - 외성 경비대장 데로스의 망령
21000006,21000006,이즈나의 메아리 - 내성 경비대장 폴라리우스의 망령(효과)
21000007,21000007,이즈나의 메아리 - 내성 경비대장 폴라리우스의 망령
29000002,29000002,안드리온+마상 / 확인용
29000008,29000008,[누이신전] PC가 경비병에게 감지되고 있음
29000011,29000011,[누이신전] PC가 경비병에게 발각됨
30410103,30410103,말카바돈_기술발동 대기상태 확인
49210003,49210003,날틀사용
90100005,90100005,모닥불의 온기
