OID,Cid,Comment,MonsterCid,OffsetDistance,OffsetAngle,Duration,CopyStats,UnitHidden
201135,201135,따뜻한 모닥불,201135,0,0,120000,TRUE,TRUE
201136,201136,은은한 모닥불,201136,0,0,120000,TRUE,TRUE
201137,201137,안전지대 모닥불,201137,0,0,120000,TRUE,TRUE
95001121,95001121,폭발토템,95001121,0,0,3000,FALSE,TRUE
95001114,95001114,축복의 성소,95001114,0,0,5000,FALSE,FALSE
95001115,95001115,이동속도 구슬,95001115,0,0,600,FALSE,FALSE
95001116,95001116,공격속도 구슬,95001116,0,0,600,FALSE,FALSE
95001117,95001117,이속 버프 구슬_v2,95001117,0,0,20000,FALSE,FALSE
95001118,95001118,공속 버프 구슬_v2,95001118,0,0,20000,FALSE,FALSE
95001119,95001119,시전 감소 버프 구슬_v2,95001119,0,0,20000,FALSE,FALSE
95001120,95001120,시전감소 구슬,95001120,0,0,600,FALSE,FALSE
90001101,90001101,말카바돈 화염 지역,90001101,0,0,10000,FALSE,FALSE
99901101,99901101,소환테스트용 놀1,10201104,200,0,10000,FALSE,FALSE
99901102,99901102,소환테스트용 놀2,10201102,200,120,10000,FALSE,FALSE
99901103,99901103,소환테스트용 놀3,10201103,200,240,10000,FALSE,FALSE
