OID,Cid,DescName,Description,StatusChangeCid
1,1,혈귀,"스킬 또는 기본 공격으로 적에게 피해를 줄 때마다 '혈귀' 중첩 1 획득
'혈귀' 중첩 1 당 공격력 1% 상승(최대 중첩 10)
최대 중첩 상태에서 적에게 피해를 주면, 피해량의 8% 만큼 체력 회복
5초 동안 피해를 입히지 않으면 중첩이 모두 사라집니다. ",1000
2,2,와다다다다,"적을 기본 공격으로 공격 시 6초 동안 '와다다다다' 중첩 1획득
'와다다다다' 중첩 1당 공격 속도가 10% 상승합니다. (최대 중첩 8)
6초 뒤 몇 스택을 쌓았든 모든 중첩이 사라집니다. ",1001
3,3,난 한놈만 패,동일한 대상에게 3회 연속으로 기본 공격을 가하면 추가 피해 (대상 최대 체력의 8%)를 입힙니다.  ,1002
4,4,같은 곳만 공격,"3초 내 같은 대상에게 스킬 3회 명중 시, 추가 피해 30% (3초 안에 공격이 연속되지 않을 경우 효과가 사라짐)",1012
5,5,그림자 속으로,"적 처치 시 1.5초 동안 은신 상태가 되며, 은신 중 이동속도 +15%, 쿨타임 감소 +30% (최대 2회까지 은신)",1013
6,6,빠른손,"기본 공격 시 2초 동안 공격 속도 80% 증가, 최대 3회의 기본 공격에만 적용",1014
7,7,마나 마법사,"공짜 마법 쿨타임이 돌면, 사용하는 첫 번째 스킬에 마나 소모 없고 추가 피해를 가함 (쿨타임 중)",1024
8,8,폭발 마법사,"마력 폭주 쿨타임이 돌아오면, 공격 스킬 적중 시 대상 주변 'n'm 폭발 피해를 입힙니다. (쿨타임 상)",1025
9,9,바람 마법사,"공격 적중 시 '바람 마법사' 스택 1씩 쌓입니다. 스택은 n 초 동안 유지되며, 3스택 시 N초 동안 이동 속도가 n 증가 합니다.  (쿨타임 중)",1026
10,10,내 손안에 있다,"적을 이동 불가 상태로 만들면, 2.5초 동안 방어력과 마법 저항력이 15% 증가하고, 주변 적에게 마법 피해를 입히는 폭발이 발생합니다. (쿨타임 10초)",1036
11,11,걸어다니는 성,전투 상태로 돌입 시 n초간 지속되는 방어막을 생성한다. 방어막이 피해를 입어 0이 되거나 n초가 지나면 방어막은 사라진다. (쿨타임 김),1037
12,12,헤비급 펀치,"n 초 마다 다음 기본 공격 시, 자신의 최대 체력의 n% 만큼의 추가 피해를 입히고 n 만큼 체력을 회복합니다 (쿨타임 매우 짧음)",1038
13,13,용기 북돋아 주기,"우호 관계 1명을 지정하여 회복 스킬을 사용 시, 공격력을 n 증가시켜줍니다. (쿨타임 중)",1048
14,14,요청의 치유,"우호 관계 1명을 지정하여 회복 스킬 사용 시, 요정이 날아가 추가 회복 (쿨타임 중)",1049
15,15,환자 케어,디버프 또는 상태 이상을 해제한 아군에게  n초간 피해를 막아주는 보호막을 걸어줍니다. (쿨타임 중),1050
16,16,호전광,"적에게 스킬 또는 기본 공격으로 피해를 줄 때마다 본인이 스택을 1 얻습니다. 스택 1당 공격력이 1% 증가하며, 최대 10까지 누적됩니다.",1003
17,17,그라데이션 분노,"매초 전투 상태가 지속될수록 스택이 1씩 누적되며, 스택 1당 공격 속도가 2% 증가합니다. 전투 상태가 끝나면 스택은 모두 사라집니다.",1004
18,18,갈증,적 처치 또는 처치 관여 시 잃은 체력의 7.5% 회복,1005
19,19,위기에 강한편이야,"도약 스킬 사용 시, 5초 동안 공격 속도 + 10%",1006
