OID,Cid,Comment,ZoneCid,SubZoneCid,IsItemWhereToGet,Kind,DescName,LevelTitle,Location,Radius,Yaw,IsTeleportable,CostCategory,CostItemIds,CostCount,CostMonsterKill,CostMonsterKillGuildOnly,CostMonsterKillDuration
80000,80000,None,800,0,False,None,개인 거주 구역,,"(X=-392280.000000,Y=392860.000000,Z=-1500.000000)",3.000000,-160.000000,True,Gold,,0,0,True,0
90100,90100,None,901,0,False,None,망자의 균열: 3단계 입구,,"(X=-425780.000024,Y=361840.000029,Z=676.819703)",3.000000,130.000000,True,Gold,,0,0,True,0
90101,90101,None,901,0,False,None,축복의 성소 영역,,"(X=-426228.108867,Y=362965.210438,Z=676.819703)",3.000000,130.000000,True,Gold,,0,0,True,0
90102,90102,None,901,0,False,None,균열 내부 오크 영역 A,,"(X=-431097.379858,Y=362965.331846,Z=676.819703)",3.000000,130.000000,True,Gold,,0,0,True,0
90103,90103,None,901,0,False,None,균열 내부 오크 영역 B,,"(X=-437826.044123,Y=363050.050259,Z=676.819703)",3.000000,130.000000,True,Gold,,0,0,True,0
90104,90104,None,901,0,False,None,균열 내부 오크 영역 C,,"(X=-438350.335996,Y=357949.813203,Z=676.819703)",3.000000,130.000000,True,Gold,,0,0,True,0
90105,90105,None,901,0,False,None,오크 족장 영역,,"(X=-439402.508797,Y=353712.038740,Z=676.819703)",3.000000,130.000000,True,Gold,,0,0,True,0
90106,90106,None,901,0,False,None,파괴해야하는 벽 위치,,"(X=-439894.089656,Y=352555.471293,Z=676.819703)",3.000000,130.000000,True,Gold,,0,0,True,0
90107,90107,None,901,0,False,None,오우거 영역,,"(X=-446489.489592,Y=356759.612071,Z=676.819703)",3.000000,130.000000,True,Gold,,0,0,True,0
90108,90108,None,901,0,False,None,보물 상자 영역,,"(X=-445686.203047,Y=357746.947235,Z=676.819703)",3.000000,130.000000,True,Gold,,0,0,True,0
90200,90200,None,902,0,False,None,망자의 균열: 4단계 입구,,"(X=-418259.999966,Y=355620.000093,Z=2230.649130)",3.000000,-50.000000,True,Gold,,0,0,True,0
90300,90300,None,903,0,False,None,망자의 균열: 5단계 입구,,"(X=-445690.000010,Y=322180.000054,Z=2491.017483)",3.000000,-40.000004,True,Gold,,0,0,True,0
90400,90400,None,904,0,False,None,망령의 제단 입구,,"(X=-430370.000010,Y=324640.000054,Z=2491.017483)",3.000000,-40.000004,True,Gold,,0,0,True,0
90401,90401,None,9988,0,False,None,망령의 제단 안쪽,,"(X=-19279.361276,Y=-1636.502461,Z=870.000000)",3.000000,0.000000,True,Gold,,0,0,False,0
90402,90402,None,9988,0,False,None,망령의 제단 스켈레톤 영역,,"(X=-10239.361276,Y=-3196.502461,Z=870.000000)",3.000000,0.000000,True,Gold,,0,0,False,0
90403,90403,None,9988,0,False,None,망령의 제단 나차쉬 영역,,"(X=-4239.361276,Y=-4776.502461,Z=870.000000)",3.000000,0.000000,True,Gold,,0,0,False,0
90404,90404,None,9988,0,False,None,망령의 제단 나차쉬 지휘관,,"(X=-1509.361276,Y=-7756.502461,Z=870.000000)",3.000000,0.000000,True,Gold,,0,0,False,0
90405,90405,None,9988,0,False,None,망령의 제단 팬텀 영역,,"(X=-1269.361276,Y=-9036.502461,Z=870.000000)",3.000000,0.000000,True,Gold,,0,0,False,0
90406,90406,None,9988,0,False,None,망령의 제단 팬텀 대장,,"(X=-1389.361276,Y=-11226.502461,Z=870.000000)",3.000000,0.000000,True,Gold,,0,0,False,0
90407,90407,None,9988,0,False,None,망령의 제단 숨겨진 통로,,"(X=6490.638724,Y=-3956.502461,Z=870.000000)",3.000000,0.000000,True,Gold,,0,0,False,0
90408,90408,None,9988,0,False,None,망령의 제단 숨겨진 보물 상자,,"(X=7350.638724,Y=1623.497539,Z=870.000000)",3.000000,0.000000,True,Gold,,0,0,False,0
90409,90409,None,9988,0,False,None,망령의 제단 오크 영역,,"(X=11320.638724,Y=8143.497539,Z=870.000000)",3.000000,0.000000,True,Gold,,0,0,False,0
90410,90410,None,9988,0,False,None,망령의 제단 오크 족장,,"(X=14310.638724,Y=7423.497539,Z=870.000000)",3.000000,0.000000,True,Gold,,0,0,False,0
90411,90411,None,9988,0,False,None,망령의 제단 오우거,,"(X=16810.638724,Y=10253.497539,Z=870.000000)",3.000000,0.000000,True,Gold,,0,0,False,0
90412,90412,None,9988,0,False,None,망령의 제단 말카바돈,,"(X=22220.638724,Y=1893.497539,Z=870.000000)",3.000000,0.000000,True,Gold,,0,0,False,0
90413,90413,None,9988,0,False,None,망령의 제단 최종 보상 상자,,"(X=23970.638724,Y=2263.497539,Z=870.000000)",3.000000,0.000000,True,Gold,,0,0,False,0
90500,90500,None,905,0,False,None,생명의 균열 북쪽 입구,,"(X=-451380.000010,Y=274980.000054,Z=2361.017483)",3.000000,-40.000004,True,Gold,,0,0,True,0
