OID,Cid,Comment,TrackCid,CategoryCid,ObjectiveOrder,QuestStepCid
1,1,이니스섬_몬스터_바위게,1,1,1,1000101
2,2,이니스섬_몬스터_악어거북,1,1,2,1000102
3,3,이니스섬_몬스터_놀 투척꾼,1,1,3,1000103
4,4,이니스섬_몬스터_놀 약탈꾼,1,1,4,1000104
5,5,이니스섬_몬스터_놀 싸움꾼,1,1,5,1000105
6,6,이니스섬_몬스터_놀 우두머리,1,1,6,1000106
7,7,이니스섬_던전_이즈나의 메아리,1,2,7,1000201
8,8,이니스섬_퀘스트_정착을 위한 첫걸음,1,3,8,1000301
9,9,이니스섬_퀘스트_허가 받지 않은 자,1,3,9,1000302
10,10,"이니스섬_퀘스트_낯선 땅, 첫 무장",1,3,10,1000303
11,11,이니스섬_수집_해산물 스튜,1,4,11,1000401
12,12,이니스섬_수집_특제 수프,1,4,12,1000402
13,13,이니스섬_수집_샐러드,1,4,13,1000403
14,14,이니스섬_수집_과일차,1,4,14,1000404
15,15,이니스섬_수집_발효주,1,4,15,1000405
16,16,이니스섬_탐험_이니스 부두,1,5,16,1000501
17,17,이니스섬_탐험_이니스 부두의 관리실,1,5,17,1000502
18,18,이니스섬_탐험_여명의 길,1,5,18,1000503
19,19,이니스섬_탐험_달그늘 쉼터,1,5,19,1000504
20,20,이니스섬_탐험_고요의 숲,1,5,20,1000505
21,21,이니스섬_탐험_신성의 숲,1,5,21,1000506
22,22,이니스섬_탐험_스툴,1,5,22,1000507
23,23,이니스섬_탐험_침대,1,5,23,1000508
24,24,이니스섬_탐험_가로등,1,5,24,1000509
25,25,,2,1,1,1000101
26,26,,2,2,2,1000201
27,27,,2,3,3,1000301
28,28,,2,4,4,1000401
29,29,,2,5,5,1000501
30,30,,3,1,1,1000101
31,31,,3,2,2,1000201
32,32,,3,3,3,1000301
33,33,,3,4,4,1000401
34,34,,3,5,5,1000501
