OID,Cid,Comment,TrackCid,RewardOrder,RequiredPoints,LootGroupCid,StatModifiedCids
1,1,이니스 섬_1,1,1,100,2011,[]
2,2,이니스 섬_2,1,2,200,2021,[]
3,3,이니스 섬_3,1,3,300,2031,[]
4,4,이니스 섬_4,1,4,400,2041,[2302]
5,5,이니스 섬_5,1,5,500,2051,[2402]
6,6,솔즈리드 반도_1,2,1,200,3021,[]
7,7,솔즈리드 반도_2,2,2,400,3031,[]
8,8,솔즈리드 반도_3,2,3,600,3041,[]
9,9,솔즈리드 반도_4,2,4,800,3051,[2303]
10,10,솔즈리드 반도_5,2,5,1000,3061,[2403]
11,11,릴리엇 구릉지_1,3,1,200,3021,[]
12,12,릴리엇 구릉지_2,3,2,400,3031,[]
13,13,릴리엇 구릉지_3,3,3,600,3041,[]
14,14,릴리엇 구릉지_4,3,4,800,3051,[]
15,15,릴리엇 구릉지_5,3,5,1000,,"[2304,2404]"
