OID,Cid,Comment,EnglishNameForIpnishText,DescName,Order,MapPath
1,1,Test,Test,테스트,100,
100,100,Ynys Island,Ynys Mintre,이니스 섬,1,
101,101,Solzreed Peninsula,Solzreed Minta,솔즈리드 반도,2,
102,102,Lilyut Hills,Lilyut Silvmunta,릴리엇 구릉지,3,
103,103,Dewstone Plains,Thuield Munta,가랑돌 평원,4,
104,104,White Arden,Elb Kinon,하얀 숲,5,
105,105,Marianople,Marianople,마리아노플,6,
106,106,Halcyona,Milsioni Munta,황금 평원,7,
107,107,Hellswamp,Thui Mehela,지옥 늪지대,8,
108,108,Sanddeep,Trar Selna,긴 모래톱,9,
109,109,Two Crowns,Den Beioneld,두 왕관,10,
110,110,Cinderstone Moor,Ganaxeld One Anya Minta,십자별 평원,11,
111,111,Dark Side of the Moon,Thioloen aen Jeka,달의 뒷면,12,
800,800,,Ibem,하우징,80,
9001,9001,PVP 던전 테스트,Battlefield of Silent Debris,침묵하는 잔해의 전장,13,
10001,10001,이니스 섬 - 누이 신전,Ynys Mintre,이니스 섬,1,
10002,10002,이즈나의 메아리_이니스 섬 1인 던전,Ynys Mintre,이니스 섬,1,
