root_id,root_type,root_name,nodeId,comment,use_exclusive,skill_category,skill_movable,tag_condition_cids,target_tag_condition_cids,default_skill_info,variation_skill_infos,cooldown_group,passive_skill_info,is_aggressive
1,skill_root,에러 방지용,10020002,에러 방지용,Any,Normal,false,[],[],10020003,[],0,,false
8000,skill_root,구르기,80000020002,구르기,Class,Active,false,[],[],80000020003,[],0,,false
9000,skill_root,공용 : 일반 공격 (왼쪽),90000020002,공용 : 일반 공격 (왼쪽),Class,Normal,false,[],[],90000020003,[],0,,true
9001,skill_root,공용 : 일반 공격 (오른쪽),90010020002,공용 : 일반 공격 (오른쪽),Class,Normal,false,[],[],90010020003,[],0,,true
9002,skill_root,한손검 : 평타 (1타),90020020002,한손검 : 평타 (1타),Class,Normal,false,[],[],90020020003,[],0,,true
9003,skill_root,한손검 : 평타 (2타),90030020002,한손검 : 평타 (2타),Class,Normal,false,[],[],90030020003,[],0,,true
9004,skill_root,양손검 : 평타 (1타),90040020002,양손검 : 평타 (1타),Class,Normal,false,[],[],90040020003,"[""90040020007"",""90040020012"",""90040020017"",""90040020022"",""90040020027"",""90040020032""]",0,,true
9005,skill_root,양손검 : 평타 (2타),90050020002,양손검 : 평타 (2타),Class,Normal,false,[],[],90050020003,"[""90050020007"",""90050020012"",""90050020017"",""90050020022"",""90050020027"",""90050020032""]",0,,true
9006,skill_root,단검 : 평타 (1타),90060020002,단검 : 평타 (1타),Class,Normal,false,[],[],90060020003,"[""90060020007"",""90060020012"",""90060020017"",""90060020022"",""90060020027"",""90060020032"",""90060020037"",""90060020042"",""90060020047"",""90060020052"",""90060020057""]",0,,true
9007,skill_root,단검 : 평타 (2타),90070020002,단검 : 평타 (2타),Class,Normal,false,[],[],90070020003,"[""90070020007"",""90070020012"",""90070020017"",""90070020022"",""90070020027"",""90070020032"",""90070020037"",""90070020042"",""90070020047"",""90070020052"",""90070020057""]",0,,true
9008,skill_root,활 : 평타 (1타),90080020002,활 : 평타 (1타),Class,Normal,false,[],[],90080020003,[],0,,true
9009,skill_root,활 : 평타 (2타),90090020002,활 : 평타 (2타),Class,Normal,false,[],[],90090020003,[],0,,true
9010,skill_root,지팡이 : 평타 (1타),90100020002,지팡이 : 평타 (1타),Class,Normal,false,[],[],90100020003,[],0,,true
9011,skill_root,지팡이 : 평타 (2타),90110020002,지팡이 : 평타 (2타),Class,Normal,false,[],[],90110020003,[],0,,true
9012,skill_root,힐러 지팡이 : 평타 (1타),90120020002,힐러 지팡이 : 평타 (1타),Class,Normal,false,[],[],90120020003,[],0,,true
9013,skill_root,힐러 지팡이 : 평타 (2타),90130020002,힐러 지팡이 : 평타 (2타),Class,Normal,false,[],[],90130020003,[],0,,true
9016,skill_root,2T 양손검 : 평타 (1타),90160020002,2T 양손검 : 평타 (1타),Class,Normal,false,[],[],90160020003,"[""90160020007"",""90160020012""]",0,,true
9017,skill_root,2T 양손검 : 평타 (2타),90170020002,2T 양손검 : 평타 (2타),Class,Normal,false,[],[],90170020003,"[""90170020007"",""90170020012""]",0,,true
9018,skill_root,2티어 등장 단검 : 평타 (1타),90180020002,단검 : 평타 (1타),Class,Normal,false,[],[],90180020003,[],0,,true
9019,skill_root,2티어 등장 단검 : 평타 (2타),90190020002,단검 : 평타 (1타),Class,Normal,false,[],[],90190020003,[],0,,true
10000,skill_root,보스 몬스터 카이팅 방지용,100000020002,보스 몬스터 카이팅 방지용,Any,MonsterAntiKite,false,[],[],100000020003,[],0,,false
10001,skill_root,단일 leap 테스트 스킬,100010020002,단일 leap 테스트 스킬,Class,Active,false,[],[],100010020003,[],0,,false
10002,skill_root,테스트 스킬,100020020002,테스트 스킬,Class,Active,false,[],[],100020020003,[],4,,true
20001,skill_root,하급 체력 물약,200010020002,하급 체력 물약,Class,ItemWithAction,true,[],[],200010020003,[],0,,false
20002,skill_root,중급 체력 물약,200020020002,중급 체력 물약,Any,ItemWithAction,true,[],[],200020020003,[],0,,false
20003,skill_root,상급 체력 물약,200030020002,상급 체력 물약,Any,ItemWithAction,true,[],[],200030020003,[],0,,false
20004,skill_root,하급 마력 물약,200040020002,하급 마력 물약,Class,ItemWithAction,true,[],[],200040020003,[],0,,false
20005,skill_root,중급 마력 물약,200050020002,중급 마력 물약,Any,ItemWithAction,true,[],[],200050020003,[],0,,false
20006,skill_root,상급 마력 물약,200060020002,상급 마력 물약,Any,ItemWithAction,true,[],[],200060020003,[],0,,false
20007,skill_root,테스트_음식1,200070020002,테스트_음식1,Class,ItemWithAction,false,[],[],200070020003,[],0,,false
20008,skill_root,테스트_음식2,200080020002,테스트_음식2,Class,ItemWithAction,false,[],[],200080020003,[],0,,false
20009,skill_root,하급 과일차,200090020002,하급 과일차,Class,ItemWithAction,true,[],[],200090020003,[],0,,false
20010,skill_root,하급 발효주,200100020002,하급 발효주,Class,ItemWithAction,true,[],[],200100020003,[],0,,false
20011,skill_root,하급 수프,200110020002,하급 수프,Class,ItemWithAction,true,[],[],200110020003,[],0,,false
20012,skill_root,하급 샐러드,200120020002,하급 샐러드,Class,ItemWithAction,true,[],[],200120020003,[],0,,false
20013,skill_root,해산물 스튜,200130020002,해산물 스튜,Class,ItemWithAction,true,[],[],200130020003,[],0,,false
20014,skill_root,중급 과일차,200140020002,중급 과일차,Class,ItemWithAction,true,[],[],200140020003,[],0,,false
20015,skill_root,중급 발효주,200150020002,중급 발효주,Class,ItemWithAction,true,[],[],200150020003,[],0,,false
20016,skill_root,중급 수프,200160020002,중급 수프,Class,ItemWithAction,true,[],[],200160020003,[],0,,false
20017,skill_root,중급 샐러드,200170020002,중급 샐러드,Class,ItemWithAction,true,[],[],200170020003,[],0,,false
20018,skill_root,아이템_은신 주문서,200180020002,,Class,ItemWithAction,true,[],[],200180020003,[],0,,false
20019,skill_root,아이템_수행원 복장,200190020002,,Class,ItemWithAction,true,[703],[],200190020003,[],0,,false
30011,skill_root,유체화 1T,300110020002,유체화 1T,Class,Immediately,false,[],[],300110020003,[],8,,false
30021,skill_root,유체화 2T,300210020002,유체화 2T,Class,Immediately,false,[],[],300210020003,[],8,,false
30031,skill_root,유체화 3T,300310020002,유체화 3T,Class,Immediately,false,[],[],300310020003,[],8,,false
30041,skill_root,순풍,300410020002,순풍,Class,Immediately,false,[],[],300410020003,[],8,,false
30051,skill_root,유체화 5T,300510020002,유체화 5T,Class,Immediately,false,[],[],300510020003,[],8,,false
30061,skill_root,유체화 6T,300610020002,유체화 6T,Class,Immediately,false,[],[],300610020003,[],8,,false
30071,skill_root,유체화 7T,300710020002,유체화 7T,Class,Immediately,false,[],[],300710020003,[],8,,false
30111,skill_root,고양 1T,301110020002,고양 1T,Class,Immediately,false,[],[],301110020003,[],8,,false
30121,skill_root,고양 2T,301210020002,고양 2T,Class,Immediately,false,[],[],301210020003,[],8,,false
30131,skill_root,고양 3T,301310020002,고양 3T,Class,Immediately,false,[],[],301310020003,[],8,,false
30141,skill_root,고양 4T,301410020002,고양 4T,Class,Immediately,false,[],[],301410020003,[],8,,false
30151,skill_root,고양 5T,301510020002,고양 5T,Class,Immediately,false,[],[],301510020003,[],8,,false
30161,skill_root,고양 6T,301610020002,고양 6T,Class,Immediately,false,[],[],301610020003,[],8,,false
30171,skill_root,고양 7T,301710020002,고양 7T,Class,Immediately,false,[],[],301710020003,[],8,,false
30211,skill_root,점멸 1T,302110020002,점멸 1T,Class,Immediately,false,[],[],302110020003,[],9,,false
30241,skill_root,섬광,302410020002,섬광,Class,Immediately,false,[],[],302410020003,[],9,,false
30251,skill_root,점멸 5T,302510020002,점멸 5T,Class,Immediately,false,[],[],302510020003,[],9,,false
30311,skill_root,정화 1T,303110020002,정화 1T,Class,Immediately,false,[],[],303110020003,[],8,,false
30341,skill_root,축복,303410020002,축복,Class,Immediately,false,[],[],303410020003,[],8,,false
30351,skill_root,정화 5T,303510020002,정화 5T,Class,Immediately,false,[],[],303510020003,[],8,,false
30411,skill_root,회복 1T,304110020002,회복 1T,Class,Immediately,false,[],[],304110020003,[],8,,false
30440,skill_root,회복 4T,304400020002,회복 4T,Class,Immediately,false,[],[],304400020003,[],8,,false
30441,skill_root,치유,304410020002,치유,Class,Immediately,false,[],[],304410020003,[],8,,false
30451,skill_root,회복 5T,304510020002,회복 5T,Class,Immediately,false,[],[],304510020003,[],8,,false
30511,skill_root,방어막 1T,305110020002,방어막 1T,Class,Immediately,false,[],[],305110020003,[],8,,false
30521,skill_root,방어막 2T,305210020002,방어막 2T,Class,Immediately,false,[],[],305210020003,[],8,,false
30531,skill_root,방어막 3T,305310020002,방어막 3T,Class,Immediately,false,[],[],305310020003,[],8,,false
30541,skill_root,방어막,305410020002,방어막,Class,Immediately,false,[],[],305410020003,[],8,,false
30551,skill_root,방어막 5T,305510020002,방어막 5T,Class,Immediately,false,[],[],305510020003,[],8,,false
30611,skill_root,탈진 1T,306110020002,탈진 1T,Class,Immediately,false,[],[],306110020003,[],8,,false
30641,skill_root,탈진 4T,306410020002,탈진 4T,Class,Immediately,false,[],[],306410020003,[],8,,false
30651,skill_root,탈진 5T,306510020002,탈진 5T,Class,Immediately,false,[],[],306510020003,[],8,,false
30711,skill_root,억제 1T,307110020002,억제 1T,Class,Immediately,false,[],[],307110020003,[],8,,false
30741,skill_root,억제 4T,307410020002,억제 4T,Class,Immediately,false,[],[],307410020003,[],8,,false
30751,skill_root,억제 5T,307510020002,억제 5T,Class,Immediately,false,[],[],307510020003,[],8,,false
30811,skill_root,총명 1T,308110020002,총명 1T,Class,Immediately,false,[],[],308110020003,[],8,,false
30841,skill_root,총명 4T,308410020002,총명 4T,Class,Immediately,false,[],[],308410020003,[],8,,false
30851,skill_root,총명 5T,308510020002,총명 5T,Class,Immediately,false,[],[],308510020003,[],8,,false
30911,skill_root,점화 1T,309110020002,점화 1T,Class,Immediately,false,[],[],309110020003,[],8,,true
30941,skill_root,화상,309410020002,화상,Class,Immediately,false,[],[],309410020003,[],8,,true
30951,skill_root,점화 5T,309510020002,점화 5T,Class,Immediately,false,[],[],309510020003,[],8,,true
100001,skill_root,신비한 가시 나무 Lv.1,1000010020002,신비한 가시 나무 Lv.1,Class,Active,false,[],[],1000010020003,[],4,,true
100002,skill_root,신비한 가시 나무 Lv.2,1000020020002,신비한 가시 나무 Lv.2,Class,Active,false,[],[],1000020020003,[],4,,true
100003,skill_root,신비한 가시 나무 Lv.3,1000030020002,신비한 가시 나무 Lv.3,Class,Active,false,[],[],1000030020003,[],4,,true
100004,skill_root,신비한 가시 나무 Lv.4,1000040020002,신비한 가시 나무 Lv.4,Class,Active,false,[],[],1000040020003,[],4,,true
100005,skill_root,신비한 가시 나무 Lv.5,1000050020002,신비한 가시 나무 Lv.5,Class,Active,false,[],[],1000050020003,[],4,,true
100051,skill_root,가시 나무 덩쿨 Lv.1,1000510020002,가시 나무 덩쿨 Lv.1,Class,Active,false,[],[],1000510020003,[],5,,true
100052,skill_root,가시 나무 덩쿨 Lv.2,1000520020002,가시 나무 덩쿨 Lv.2,Class,Active,false,[],[],1000520020003,[],5,,true
100053,skill_root,가시 나무 덩쿨 Lv.3,1000530020002,가시 나무 덩쿨 Lv.3,Class,Active,false,[],[],1000530020003,[],5,,true
100054,skill_root,가시 나무 덩쿨 Lv.4,1000540020002,가시 나무 덩쿨 Lv.4,Class,Active,false,[],[],1000540020003,[],5,,true
100055,skill_root,가시 나무 덩쿨 Lv.5,1000550020002,가시 나무 덩쿨 Lv.5,Class,Active,false,[],[],1000550020003,[],5,,true
100101,skill_root,치유의 꽃잎 Lv.1,1001010020002,치유의 꽃잎 Lv.1,Class,Active,false,[],[],1001010020003,[],6,,false
100102,skill_root,치유의 꽃잎 Lv.2,1001020020002,치유의 꽃잎 Lv.2,Class,Active,false,[],[],1001020020003,[],6,,false
100103,skill_root,치유의 꽃잎 Lv.3,1001030020002,치유의 꽃잎 Lv.3,Class,Active,false,[],[],1001030020003,[],6,,false
100104,skill_root,치유의 꽃잎 Lv.4,1001040020002,치유의 꽃잎 Lv.4,Class,Active,false,[],[],1001040020003,[],6,,false
100105,skill_root,치유의 꽃잎 Lv.5,1001050020002,치유의 꽃잎 Lv.5,Class,Active,false,[],[],1001050020003,[],6,,false
100150,skill_root,치유의 바람_정신 집중 Lv.1,1001500020002,치유의 바람_정신 집중 Lv.1,Class,Active,true,[],[],1001500020003,[],7,,false
100152,skill_root,치유의 바람_정신 집중 Lv.2,1001520020002,치유의 바람_정신 집중 Lv.2,Class,Active,true,[],[],1001520020003,[],7,,false
100154,skill_root,치유의 바람_정신 집중 Lv.3,1001540020002,치유의 바람_정신 집중 Lv.3,Class,Active,true,[],[],1001540020003,[],7,,false
100156,skill_root,치유의 바람_정신 집중 Lv.4,1001560020002,치유의 바람_정신 집중 Lv.4,Class,Active,true,[],[],1001560020003,[],7,,false
100158,skill_root,치유의 바람_정신 집중 Lv.5,1001580020002,치유의 바람_정신 집중 Lv.5,Class,Active,true,[],[],1001580020003,[],7,,false
100201,skill_root,휘두르기 Lv.1,1002010020002,휘두르기 Lv.1,Class,Active,false,[],[],1002010020003,[],5,1002010020007,true
100206,skill_root,1티어 한손검 Q 스킬 실드 회복,1002060020002,,Class,Proc,false,[],[],1002060020003,[],0,,false
100251,skill_root,방패 돌진 Lv.1,1002510020002,,Class,Active,false,[],[],1002510020003,[],0,,false
100301,skill_root,방패 투척 Lv.1,1003010020002,1티어 한손검 E 스킬 Lv.1,Class,Active,false,[],[],1003010020003,[],4,,true
100351,skill_root,파멸의 징벌 Lv.1,1003510020002,1티어 한손검 R 스킬 Lv.1,Class,Active,false,[],[],1003510020003,[],6,,true
100401,skill_root,제압 Lv.1,1004010020002,2티어 한손검 Q 스킬 Lv.1,Class,Active,false,[],[],1004010020003,[],4,,true
100451,skill_root,복수의 갑옷 Lv.1,1004510020002,2티어 한손검 W 스킬 Lv.1,Class,Buff,false,[],[],1004510020003,[],5,,true
100456,skill_root,2티어 한손검 W 스킬_Proc Lv.1,1004560020002,,Class,Active,false,[],[],1004560020003,[],0,,true
100501,skill_root,모두 쉿 Lv.1,1005010020002,2티어 한손검 E 스킬 Lv.1,Class,Active,false,[],[],1005010020003,[],6,,true
100551,skill_root,진공 폭발 Lv.1,1005510020002,2티어 한손검 R 스킬 Lv.1,Class,Active,false,[],[],1005510020003,[],7,,true
100601,skill_root,성스러운 일격 Lv.1,1006010020002,,Class,Active,false,[],[],1006010020003,[],4,1006010020008,true
100606,skill_root,성스러운 일격_Proc Lv.1,1006060020002,,Class,Active,false,[],[],1006060020003,[],0,,false
100651,skill_root,가호의 빛 Lv.1,1006510020002,,Class,Active,false,[],[],1006510020003,[],5,,true
100701,skill_root,폭주하는 광휘 Lv.1,1007010020002,,Class,Active,true,[],[],1007010020003,"[""1007010020006""]",6,1007010020010,true
100702,skill_root,폭주하는 광휘 Lv.2 백업용,1007020020002,,Class,Buff,true,[],[],1007020020003,"[""1007020020006""]",6,1007020020010,true
100706,skill_root,폭주하는 광휘_Proc_체력 회복 Lv.1,1007060020002,,Class,Proc,false,[],[],1007060020003,[],0,,false
100711,skill_root,폭주하는 광휘_강화 평타 Lv.1,1007110020002,,Class,Normal,false,[],[],1007110020003,[],0,,true
100751,skill_root,광휘의 심판 Lv.1,1007510020002,,Class,Active,false,[],[],1007510020003,"[""1007510020006""]",7,,true
100752,skill_root,광휘의 심판_백업용 Lv.1,1007520020002,,Class,Active,false,[],[],1007520020003,"[""1007520020008""]",7,,true
200000,skill_root,가벼운 손놀림 Lv.1,2000000020002,가벼운 손놀림 Lv.1,Class,Buff,true,[],[],2000000020003,[],4,,true
200001,skill_root,양손검 : 가벼운 손놀림 평타,2000010020002,양손검 : 가벼운 손놀림 평타,Class,Normal,false,[],[],2000010020003,[],0,,true
200002,skill_root,가벼운 손놀림 Lv.2,2000020020002,가벼운 손놀림 Lv.2,Class,Buff,true,[],[],2000020020003,[],4,,true
200004,skill_root,가벼운 손놀림 Lv.3,2000040020002,가벼운 손놀림 Lv.3,Class,Buff,true,[],[],2000040020003,[],4,,true
200006,skill_root,가벼운 손놀림 Lv.4,2000060020002,가벼운 손놀림 Lv.4,Class,Buff,true,[],[],2000060020003,[],4,,true
200008,skill_root,가벼운 손놀림 Lv.5,2000080020002,가벼운 손놀림 Lv.5,Class,Buff,true,[],[],2000080020003,[],4,,true
200051,skill_root,대지 가르기 Lv.1,2000510020002,대지 가르기(느려짐) Lv.1,Class,Active,false,[],[],2000510020003,[],5,,true
200052,skill_root,대지 가르기 Lv.2,2000520020002,대지 가르기 Lv.2,Class,Active,false,[],[],2000520020003,[],5,,true
200053,skill_root,대지 가르기 Lv.3,2000530020002,대지 가르기(느려짐) Lv.3,Class,Active,false,[],[],2000530020003,[],5,,true
200054,skill_root,대지 가르기 Lv.4,2000540020002,대지 가르기(느려짐) Lv.4,Class,Active,false,[],[],2000540020003,[],5,,true
200055,skill_root,대지 가르기 Lv.5,2000550020002,대지 가르기(느려짐) Lv.5,Class,Active,false,[],[],2000550020003,[],5,,true
200056,skill_root,(공용) 대지 가르기_기절을 넘어짐으로 변환,2000560020002,,Class,Active,false,[],[],2000560020003,[],0,,true
200100,skill_root,회오리 베기,2001000020002,회오리 베기,Class,Active,true,[],[],2001000020003,"[""2001000020008""]",6,,true
200101,skill_root,휘몰이 Lv.1,2001010020002,휘몰이 Lv.1,Class,Active,false,[],[],2001010020003,"[""2001010020015""]",6,,true
200102,skill_root,휘몰이 Lv.2,2001020020002,휘몰이 Lv.2,Class,Active,false,[],[],2001020020003,"[""2001020020015""]",6,,true
200103,skill_root,휘몰이 Lv.3,2001030020002,휘몰이 Lv.3,Class,Active,false,[],[],2001030020003,"[""2001030020015""]",6,,true
200104,skill_root,휘몰이 Lv.4,2001040020002,휘몰이 Lv.4,Class,Active,false,[],[],2001040020003,"[""2001040020015""]",6,,true
200105,skill_root,휘몰이 Lv.5,2001050020002,휘몰이 Lv.5,Class,Active,false,[],[],2001050020003,"[""2001050020015""]",6,,true
200151,skill_root,적진으로 Lv.1,2001510020002,적진으로 Lv.1,Class,Active,false,[],[],2001510020003,[],7,2001510020012,true
200151,skill_root,적진으로 Lv.1,2001510020007,적진으로 Lv.1,Class,Active,false,[],[],2001510020008,[],0,,true
200152,skill_root,적진으로 Lv.2,2001520020002,적진으로 Lv.2,Class,Active,false,[],[],2001520020003,[],7,2001520020012,true
200152,skill_root,적진으로 Lv.2,2001520020007,적진으로 Lv.2,Class,Active,false,[],[],2001520020008,[],0,,true
200153,skill_root,적진으로 Lv.3,2001530020002,적진으로 Lv.3,Class,Active,false,[],[],2001530020003,[],7,2001530020012,true
200153,skill_root,적진으로 Lv.3,2001530020007,적진으로 Lv.3,Class,Active,false,[],[],2001530020008,[],0,,true
200154,skill_root,적진으로 Lv.4,2001540020002,적진으로 Lv.4,Class,Active,false,[],[],2001540020003,[],7,2001540020012,true
200154,skill_root,적진으로 Lv.4,2001540020007,적진으로 Lv.4,Class,Active,false,[],[],2001540020008,[],0,,true
200155,skill_root,적진으로 Lv.5,2001550020002,적진으로 Lv.5,Class,Active,false,[],[],2001550020003,[],7,2001550020012,true
200155,skill_root,적진으로 Lv.5,2001550020007,적진으로 Lv.5,Class,Active,false,[],[],2001550020008,[],0,,true
200161,skill_root,적진으로 Proc_보호막 Lv.1,2001610020002,,Class,Proc,false,[],[],2001610020003,[],0,,false
200162,skill_root,적진으로 Proc_보호막 Lv.2,2001620020002,,Class,Proc,false,[],[],2001620020003,[],0,,false
200163,skill_root,적진으로 Proc_보호막 Lv.3,2001630020002,,Class,Proc,false,[],[],2001630020003,[],0,,false
200164,skill_root,적진으로 Proc_보호막 Lv.4,2001640020002,,Class,Proc,false,[],[],2001640020003,[],0,,false
200165,skill_root,적진으로 Proc_보호막 Lv.5,2001650020002,,Class,Proc,false,[],[],2001650020003,[],0,,false
200201,skill_root,결정타  Lv.1,2002010020002,결정타  Lv.1,Class,Active,false,[],[],2002010020003,[],4,,true
200202,skill_root,결정타  Lv.2,2002020020002,결정타  Lv.2,Class,Active,false,[],[],2002020020003,[],4,,true
200203,skill_root,결정타  Lv.3,2002030020002,결정타  Lv.3,Class,Active,false,[],[],2002030020003,[],4,,true
200204,skill_root,결정타  Lv.4,2002040020002,결정타  Lv.4,Class,Active,false,[],[],2002040020003,[],4,,true
200205,skill_root,결정타  Lv.5,2002050020002,결정타  Lv.5,Class,Active,false,[],[],2002050020003,[],4,,true
200251,skill_root,폭주 Lv.1,2002510020002,폭주 Lv.1,Class,Immediately,true,[],[],2002510020003,[],5,2002510020006,true
200252,skill_root,폭주 Lv.2,2002520020002,폭주 Lv.2,Class,Immediately,true,[],[],2002520020003,[],5,2002520020006,true
200253,skill_root,폭주 Lv.3,2002530020002,폭주 Lv.3,Class,Immediately,true,[],[],2002530020003,[],5,2002530020006,true
200254,skill_root,폭주 Lv.4,2002540020002,폭주 Lv.4,Class,Immediately,true,[],[],2002540020003,[],5,2002540020006,true
200255,skill_root,폭주 Lv.5,2002550020002,폭주 Lv.5,Class,Immediately,true,[],[],2002550020003,[],5,2002550020006,true
200256,skill_root,폭주_중첩 Lv.1,2002560020002,폭주_중첩 Lv.1,Class,Proc,true,[],[],2002560020003,[],0,,false
200257,skill_root,폭주_중첩 Lv.2,2002570020002,폭주_중첩 Lv.2,Class,Proc,true,[],[],2002570020003,[],0,,false
200258,skill_root,폭주_중첩 Lv.3,2002580020002,폭주_중첩 Lv.3,Class,Proc,true,[],[],2002580020003,[],0,,false
200259,skill_root,폭주_중첩 Lv.4,2002590020002,폭주_중첩 Lv.4,Class,Proc,true,[],[],2002590020003,[],0,,false
200260,skill_root,폭주_중첩 Lv.5,2002600020002,폭주_중첩 Lv.5,Class,Proc,true,[],[],2002600020003,[],0,,false
200301,skill_root,회오리 베기 Lv.1,2003010020002,회오리 베기 Lv.1,Class,Active,true,[],[],2003010020003,[],6,,true
200303,skill_root,회오리 베기 Lv.2,2003030020002,회오리 베기 Lv.2,Class,Active,true,[],[],2003030020003,[],6,,true
200305,skill_root,회오리 베기 Lv.3,2003050020002,회오리 베기 Lv.3,Class,Active,true,[],[],2003050020003,[],6,,true
200307,skill_root,회오리 베기 Lv.4,2003070020002,회오리 베기 Lv.4,Class,Active,true,[],[],2003070020003,[],6,,true
200309,skill_root,회오리 베기 Lv.5,2003090020002,회오리 베기 Lv.5,Class,Active,true,[],[],2003090020003,[],6,,true
200351,skill_root,기선 제압 Lv.1,2003510020002,기선 제압 Lv.1,Class,Active,false,[],[],2003510020003,[],7,,true
200352,skill_root,기선 제압 Lv.2,2003520020002,기선 제압 Lv.2,Class,Active,false,[],[],2003520020003,[],7,,true
200353,skill_root,기선 제압 Lv.3,2003530020002,기선 제압 Lv.3,Class,Active,false,[],[],2003530020003,[],7,,true
200354,skill_root,기선 제압 Lv.4,2003540020002,기선 제압 Lv.4,Class,Active,false,[],[],2003540020003,[],7,,true
200355,skill_root,기선 제압 Lv.5,2003550020002,기선 제압 Lv.5,Class,Active,false,[],[],2003550020003,[],7,,true
200401,skill_root,폭주 Lv.1,2004010020002,1티어 양손검 Q 스킬 Lv.1,Class,Active,false,[],[],2004010020003,"[""2004010020013""]",0,,true
200401,skill_root,폭주 Lv.1,2004010020007,,Class,Active,false,[],[],2004010020008,[],0,,true
200401,skill_root,폭주 Lv.1,2004010020017,,Class,Active,false,[],[],2004010020018,[],0,,true
200451,skill_root,분노의 일격 Lv.1,2004510020002,1티어 양손검 W 스킬 Lv.1,Class,Buff,true,[],[],2004510020003,[],0,,true
200501,skill_root,대지 분쇄 Lv.1,2005010020002,1티어 양손검 E 스킬 Lv.1,Class,Active,false,[],[],2005010020003,[],0,,true
200551,skill_root,공간 가르기 Lv.1,2005510020002,1티어 양손검 R 스킬 Lv.1,Class,Active,false,[],[],2005510020003,[],0,,true
200601,skill_root,2티어 양손검 Q 스킬 Lv.1,2006010020002,2티어 양손검 Q 스킬 Lv.1,Class,Buff,true,[],[],2006010020003,[],4,,true
200651,skill_root,찌르기 Lv.1,2006510020002,2티어 양손검 W 스킬 Lv.1,Class,Active,false,[],[],2006510020003,[],5,,true
200701,skill_root,결투 돌입 Lv.1,2007010020002,2티어 양손검 E 스킬 Lv.1,Class,Active,false,[],[],2007010020003,[],6,,true
200751,skill_root,섬광의 길 Lv.1,2007510020002,2티어 양손검 R 스킬 Lv.1,Class,Active,false,[],[],2007510020003,[],7,,true
300000,skill_root,충격 사격,3000000020002,충격 사격,Class,Buff,true,[],[],3000000020003,[],4,,true
300001,skill_root,충격 사격 Lv.1,3000010020002,,Class,Active,false,[],[],3000010020003,[],4,,true
300002,skill_root,충격 사격 Lv.2,3000020020002,,Class,Active,false,[],[],3000020020003,[],4,,true
300003,skill_root,충격 사격 Lv.3,3000030020002,,Class,Active,false,[],[],3000030020003,[],4,,true
300004,skill_root,충격 사격 Lv.4,3000040020002,,Class,Active,false,[],[],3000040020003,[],4,,true
300005,skill_root,충격 사격 Lv.5,3000050020002,,Class,Active,false,[],[],3000050020003,[],4,,true
300051,skill_root,발묶음 Lv.1,3000510020002,발묶음 Lv.1,Class,Active,false,[],[],3000510020003,[],7,,true
300052,skill_root,발묶음 Lv.2,3000520020002,발묶음 Lv.2,Class,Active,false,[],[],3000520020003,[],7,,true
300053,skill_root,발묶음 Lv.3,3000530020002,발묶음 Lv.3,Class,Active,false,[],[],3000530020003,[],7,,true
300054,skill_root,발묶음 Lv.4,3000540020002,발묶음 Lv.4,Class,Active,false,[],[],3000540020003,[],7,,true
300055,skill_root,발묶음 Lv.5,3000550020002,발묶음 Lv.5,Class,Active,false,[],[],3000550020003,[],7,,true
300101,skill_root,불화살 소나기  Lv.1,3001010020002,불화살 소나기  Lv.1,Class,Active,false,[],[],3001010020003,[],6,,true
300102,skill_root,불화살 소나기  Lv.2,3001020020002,불화살 소나기  Lv.2,Class,Active,false,[],[],3001020020003,[],6,,true
300103,skill_root,불화살 소나기  Lv.3,3001030020002,불화살 소나기  Lv.3,Class,Active,false,[],[],3001030020003,[],6,,true
300104,skill_root,불화살 소나기  Lv.4,3001040020002,불화살 소나기  Lv.4,Class,Active,false,[],[],3001040020003,[],6,,true
300105,skill_root,불화살 소나기  Lv.5,3001050020002,불화살 소나기  Lv.5,Class,Active,false,[],[],3001050020003,[],6,,true
300151,skill_root,급습 Lv.1,3001510020002,,Class,Immediately,false,[],[],3001510020003,[],6,,true
300152,skill_root,급습 Lv.2,3001520020002,,Class,Immediately,false,[],[],3001520020003,[],6,,true
300153,skill_root,급습 Lv.3,3001530020002,,Class,Immediately,false,[],[],3001530020003,[],6,,true
300154,skill_root,급습 Lv.4,3001540020002,,Class,Immediately,false,[],[],3001540020003,[],6,,true
300155,skill_root,급습 Lv.5,3001550020002,,Class,Immediately,false,[],[],3001550020003,[],6,,true
300200,skill_root,연쇄 : 느려짐을 기절로 변경,3002000020002,연쇄 : 느려짐을 기절로 변경,Class,Active,false,[],[],3002000020003,[],0,,false
300201,skill_root,저격 Lv.1,3002010020002,저격 Lv.1,Class,Active,false,[],[],3002010020003,[],4,,true
300202,skill_root,저격 Lv.2,3002020020002,저격 Lv.2,Class,Active,false,[],[],3002020020003,[],4,,true
300203,skill_root,저격 Lv.3,3002030020002,저격 Lv.3,Class,Active,false,[],[],3002030020003,[],4,,true
300204,skill_root,저격 Lv.4,3002040020002,저격 Lv.4,Class,Active,false,[],[],3002040020003,[],4,,true
