root_id,root_type,root_name,nodeId,comment,range,range_offset,angle,angle_offset,angle_mirror,indicator_asset_name,indicator_start_mode,apply_target,tag_condition_cids,apply_selected_target,max_target_count,homing_effect,skill_effects,self_skill_effects,delay
1,skill_root,에러 방지용,10020004,,[0],[],0,0,false,,Relative,All,[],Always,0,,"[""10020005""]",[],0
8000,skill_root,구르기,80000020004,,[0],[],0,0,false,,Relative,Self,[],Always,1,,"[""80000020005""]",[],0
9000,skill_root,공용 : 일반 공격 (왼쪽),90000020004,공용 : 일반 공격 (왼쪽),[0],[],0,0,false,,Relative,Hostile,[],Always,1,,"[""90000020005""]",[],0
9001,skill_root,공용 : 일반 공격 (오른쪽),90010020004,공용 : 일반 공격 (오른쪽),[0],[],0,0,false,,Relative,Hostile,[],Always,1,,"[""90010020005""]",[],0
9002,skill_root,한손검 : 평타 (1타),90020020004,한손검 : 평타 (1타),[0],[],0,0,false,,Relative,Hostile,[],Always,1,,"[""90020020005""]",[],0
9003,skill_root,한손검 : 평타 (2타),90030020004,한손검 : 평타 (2타),[0],[],0,0,false,,Relative,Hostile,[],Always,1,,"[""90030020005""]",[],0
9004,skill_root,양손검 : 평타 (1타),90040020004,양손검 : 평타 (1타),[0],[],0,0,false,,Relative,Hostile,[],Always,1,,"[""90040020005""]",[],0
9004,skill_root,양손검 : 평타 (1타),90040020008,가벼운 손놀림 (강화 평타),[0],[],0,0,false,,Relative,Hostile,[],Always,1,,"[""90040020009"",""90040020011""]","[""90040020011""]",0
9004,skill_root,양손검 : 평타 (1타),90040020013,가벼운 손놀림 (강화 평타),[0],[],0,0,false,,Relative,Hostile,[],Always,1,,"[""90040020014"",""90040020016""]","[""90040020016""]",0
9004,skill_root,양손검 : 평타 (1타),90040020018,가벼운 손놀림 (강화 평타),[0],[],0,0,false,,Relative,Hostile,[],Always,1,,"[""90040020019"",""90040020021""]","[""90040020021""]",0
9004,skill_root,양손검 : 평타 (1타),90040020023,가벼운 손놀림 (강화 평타),[0],[],0,0,false,,Relative,Hostile,[],Always,1,,"[""90040020024"",""90040020026""]","[""90040020026""]",0
9004,skill_root,양손검 : 평타 (1타),90040020028,가벼운 손놀림 (강화 평타),[0],[],0,0,false,,Relative,Hostile,[],Always,1,,"[""90040020029"",""90040020031""]","[""90040020031""]",0
