root_id,root_type,root_name,nodeId,comment,offset_distance,offset_angle,life_time,status_change_cid,area_type,range,apply_target,channeling
601,skill_area_root,"몬스터 누이신관 평화,회복 영역",6010040002,,0,0,36000000,602,Sphere,[400],All,
100001,skill_root,신비한 가시 나무 Lv.1,1000010020006,신비한 가시 나무 장판,0,0,3000,100001,Sphere,[250],Hostile,
100002,skill_root,신비한 가시 나무 Lv.2,1000020020006,신비한 가시 나무 장판,0,0,3000,100002,Sphere,[250],Hostile,
100003,skill_root,신비한 가시 나무 Lv.3,1000030020006,신비한 가시 나무 장판,0,0,3000,100003,Sphere,[250],Hostile,
100004,skill_root,신비한 가시 나무 Lv.4,1000040020006,신비한 가시 나무 장판,0,0,3000,100004,Sphere,[250],Hostile,
100005,skill_root,신비한 가시 나무 Lv.5,1000050020006,신비한 가시 나무 장판,0,0,3000,100005,Sphere,[250],Hostile,
100150,skill_area_root,치유의 바람_정신 집중 Lv.1,1001500040002,치유의 바람 정신 집중 회복 틱,0,0,4900,100151,Sphere,[350],Friendly,
100152,skill_area_root,치유의 바람_정신 집중 Lv.2,1001520040002,치유의 바람 정신 집중 회복 틱,0,0,4900,100153,Sphere,[350],Friendly,
100154,skill_area_root,치유의 바람_정신 집중 Lv.3,1001540040002,치유의 바람 정신 집중 회복 틱,0,0,4900,100155,Sphere,[350],Friendly,
100156,skill_area_root,치유의 바람_정신 집중 Lv.4,1001560040002,치유의 바람 정신 집중 회복 틱,0,0,4900,100157,Sphere,[350],Friendly,
100158,skill_area_root,치유의 바람_정신 집중 Lv.5,1001580040002,치유의 바람 정신 집중 회복 틱,0,0,4900,100159,Sphere,[350],Friendly,
100501,skill_root,모두 쉿 Lv.1,1005010020006,,0,0,4900,100501,Sphere,[300],Hostile,
200301,skill_area_root,회오리 베기_정신 집중 Lv.1,2003010040002,회오리 베기_정신 집중 Lv.1,0,0,2000,200302,Sphere,[350],Hostile,
200303,skill_area_root,회오리 베기_정신 집중 Lv.2,2003030040002,회오리 베기_정신 집중 Lv.2,0,0,2000,200304,Sphere,[350],Hostile,
200305,skill_area_root,회오리 베기_정신 집중 Lv.3,2003050040002,회오리 베기_정신 집중 Lv.3,0,0,2000,200306,Sphere,[350],Hostile,
200307,skill_area_root,회오리 베기_정신 집중 Lv.4,2003070040002,회오리 베기_정신 집중 Lv.4,0,0,2000,200308,Sphere,[350],Hostile,
200309,skill_area_root,회오리 베기_정신 집중 Lv.5,2003090040002,회오리 베기_정신 집중 Lv.5,0,0,2000,200310,Sphere,[350],Hostile,
200751,skill_root,섬광의 길 Lv.1,2007510020008,,0,0,5000,200751,Box,"[250,400]",Friendly,
400051,skill_root,다후타의 손짓 Lv.1,4000510020006,다후타의 손짓,0,0,4900,400051,Sphere,[300],Hostile,
400052,skill_root,다후타의 손짓 Lv.2,4000520020006,다후타의 손짓,0,0,4900,400052,Sphere,[300],Hostile,
400053,skill_root,다후타의 손짓 Lv.3,4000530020006,다후타의 손짓,0,0,4900,400053,Sphere,[300],Hostile,
400054,skill_root,다후타의 손짓 Lv.4,4000540020006,다후타의 손짓,0,0,4900,400054,Sphere,[300],Hostile,
400055,skill_root,다후타의 손짓 Lv.5,4000550020006,다후타의 손짓,0,0,4900,400055,Sphere,[300],Hostile,
400201,skill_root,화염 장막 Lv.1,4002010020006,,0,0,2900,400201,Box,"[300,50]",Hostile,
710001,skill_area_root,모두 치유 Lv.1,7100010040002,,0,0,1000,710001,Sphere,[300],Friendly,
800002,skill_area_root,길잡이의 축복,8000020040002,,0,0,30000,800003,Sphere,[800],Friendly,
800005,skill_area_root,토템 이동속도 구슬 효과 영역,8000050040002,,0,0,60000,90004,Sphere,[1400],Friendly,
800008,skill_area_root,토템 공격속도 구슬 효과 영역,8000080040002,,0,0,60000,800009,Sphere,[1400],Friendly,
800017,skill_area_root,토템 시전감소 구슬 효과 영역,8000170040002,,0,0,60000,90005,Sphere,[1400],Friendly,
800020,skill_area_root,강인한 생명력 구슬 영역,8000200040002,,0,0,1000,800022,Sphere,[100],All,
800024,skill_area_root,샘솟는 마나샘 구슬 영역,8000240040002,,0,0,1000,800026,Sphere,[100],All,
20310002,skill_root,접근 시 영역 회복 구슬,203100020020006,,0,0,1000,800022,Sphere,[500],All,
20310003,skill_root,스폰 시 지속 회복 영역,203100030020006,,0,0,5000,800033,Sphere,[500],All,
20310004,skill_root,접근 시 창꽂힘 영역,203100040020006,,0,0,4900,400051,Sphere,[150],All,
21000002,skill_area_root,몬스터 이즈나의 메아리 - 데로스 직속 부하의 망령 강화(영역),210000020040002,,0,0,900000,21000003,Sphere,[1000],Friendly,
29000007,skill_area_root,[누이신전] 경비병 시야영역 Area 표시 및 대상 감지용,290000070040002,,0,0,3600000,29000008,Sphere,[300],Hostile,
29000010,skill_area_root,[누이신전] PC에 의해 발생한 몬스터 어그로 디버프,290000100040002,,0,0,300000,29000010,Sphere,[1500],Hostile,
30350001,skill_area_root,말카바돈 화염지대,303500010040002,,0,0,10000,30350002,Sphere,[300],Friendly,
